symbol,GSM1480091,GSM1480092,GSM1480093,GSM1480094,GSM1480095,GSM1480096,GSM1480097,GSM1480098,GSM1480099,GSM1480100,GSM1480101,GSM1480102,GSM1480103,GSM1480104,GSM1480105,GSM1480106,GSM1480107,GSM1480108,GSM1480109,GSM1480110,GSM1480111,GSM1480112,GSM1480113,GSM1480114,GSM1480115,GSM1480116,GSM1480117,GSM1480118,GSM1480119,GSM1480120,GSM1480121,GSM1480122,GSM1480123,GSM1480124,GSM1480125,GSM1480126,GSM1480127,GSM1480157,GSM1480158,GSM1480159,GSM1480160,GSM1480161,GSM1480128,GSM1480129,GSM1480130,GSM1480131,GSM1480132,GSM1480133,GSM1480134,GSM1480135,GSM1480136,GSM1480137,GSM1480138,GSM1480139,GSM1480140,GSM1480141,GSM1480142,GSM1480143,GSM1480144,GSM1480145,GSM1480146,GSM1480147,GSM1480148,GSM1480149,GSM1480150,GSM1480151,GSM1480152,GSM1480153,GSM1480154,GSM1480155,GSM1480156,GSM1480162,GSM1480163,GSM1480164,GSM1480165,GSM1480166,GSM1480167
EEF1A1,12.787762,12.67030475,12.73227775,12.9894335,12.804987,12.8516515,12.8614625,12.8750865,12.84197575,13.0132755,12.9261245,12.8016765,13.26536375,12.90482875,13.158903,12.59423075,12.8573845,12.369606,12.871549,12.8638965,12.936867,12.5421825,12.43577125,12.6808915,12.8716945,12.9199045,13.0825295,12.921699,13.0129335,12.55110325,12.733918,13.06852725,12.81730775,12.904376,12.8708045,12.69261925,12.99386475,12.88087875,13.04803525,12.85991725,12.8861285,13.02435375,12.85402525,12.798113,12.64647825,12.52408475,11.8803355,12.54971575,12.759376,13.232721,12.47754525,12.9436385,12.80524425,12.8697125,12.88181125,12.91088675,13.00395875,13.1826155,12.4211245,12.7379375,13.13314475,12.644495,12.6891545,11.51407025,13.02330375,12.846814,13.116473,13.08413475,12.94622975,12.989796,12.78305475,13.3171145,13.273749,12.9567285,12.8878685,13.11196775,12.6314765
GAPDH,12.171234,12.00699167,12.255338,11.76845167,11.90676467,11.69761,12.11756133,12.15935167,12.02649167,11.74529933,12.02305533,11.85212067,11.83001067,12.66578567,11.34881733,11.71814267,11.700816,11.48884167,12.04834633,12.12358467,11.97044133,12.11033267,12.171111,11.87960967,11.75217167,11.789615,11.598817,11.49948267,12.00152233,12.376604,11.93486533,11.94362533,11.476469,12.073061,12.072895,11.771338,12.00417967,12.09454933,12.78317633,12.037201,11.94484567,11.44361533,11.97797,11.517393,11.948437,11.25941667,11.60762133,12.46604567,11.64869533,11.50272333,12.36364867,12.30767567,11.84322067,11.972037,11.64615667,11.67512567,11.414108,12.22150633,12.54678433,11.68108067,11.608409,11.53327867,11.601536,12.397656,11.3743,11.818325,11.615259,12.035915,11.856813,11.65747033,11.54357933,11.894106,11.500736,11.77955567,12.15211667,11.623801,11.832427
SLC35E2,4.856572,4.911122,5.347659,4.59871,4.595811,4.898328,4.757115,5.058501,4.785405,4.59801,4.846228,4.76181,4.555311,4.602806,5.223165,4.894031,4.785063,4.70559,4.869111,5.055469,5.086012,5.101872,4.669482,4.993812,4.849367,5.19968,5.09867,4.70145,4.6432,4.613055,4.814797,4.952376,4.976355,5.201311,4.976768,5.002018,4.686225,4.896054,5.033603,5.042603,4.804922,5.052838,5.203171,4.815615,5.180734,4.61978,4.640116,4.848886,4.816867,4.777265,4.719709,4.904724,4.701764,4.79951,5.085912,5.120732,5.171926,5.0743,4.688338,4.774227,4.702463,4.688761,5.1092,4.936539,5.309976,4.627837,5.230515,4.86435,4.765963,4.987268,5.123994,4.774677,5.019756,5.415771,5.141987,4.880128,4.869491
DUSP22,7.7361045,7.5395285,7.7202965,8.07795175,7.56551925,7.64108525,7.84287625,7.796688,7.7535375,7.7331965,7.71194625,7.84060975,7.7833575,7.86351575,7.65209225,8.12928875,8.058544,7.916405,7.92393,7.42704575,7.691548,7.91654775,7.7909195,7.58476975,7.9624415,8.1270655,8.35186325,8.062263,7.85345175,7.606544,7.72976175,7.87370675,7.88810325,7.8656295,7.75180325,7.6126615,7.8592795,7.538979,7.761473,7.80330875,7.649196,7.8052615,7.297388,8.40984025,8.4162315,7.300458,8.0259355,7.79260075,7.72293775,7.854385,7.58691375,7.519237,7.39637025,7.57783125,7.76212225,7.60723575,7.79653125,7.859132,7.6013375,7.842495,7.633953,7.81046025,7.77751025,7.5724215,7.87373975,8.10041775,7.754762,7.7299295,7.70023625,7.7788225,7.58047075,7.781124,7.704359,7.577634,7.7573275,7.7956585,7.4679735
RPS28,11.385761,11.686889,11.440593,11.06805,11.192133,11.774249,11.734095,11.358481,12.013855,11.442397,11.143097,11.506561,12.043166,10.558914,10.171971,12.101812,11.403892,11.485047,11.911494,10.934291,11.5665,11.848788,10.50353,10.291751,10.486315,10.574333,11.290415,10.999492,11.090362,11.00717,10.851752,10.849759,10.86344,10.923199,11.178196,10.594196,11.28872,11.18112,10.361334,10.958834,10.516637,10.749768,10.407297,10.638065,10.913882,10.384264,10.049104,11.004544,11.162051,11.634476,10.977538,11.186649,11.290415,10.977538,11.19618,11.533063,10.982199,11.082663,10.440698,11.156926,10.918784,10.639087,11.285732,12.12204,11.739741,11.589915,11.654065,10.59724,11.066723,11.413874,10.644411,11.027855,10.714667,10.505448,11.165967,10.983567,10.651575
IPO13,7.108868,7.793156,6.9408,6.509609,7.059847,7.171448,7.030857,7.098276,7.111593,6.823798,6.806969,7.068694,6.843911,6.82307,7.025934,6.890391,6.646679,5.634123,7.134022,6.690518,6.941075,6.605289,7.567505,6.900775,6.819177,6.951874,6.771674,6.612836,7.063129,7.333799,7.160587,6.728097,7.17098,6.58855,6.951987,7.520584,7.206513,7.142394,7.616552,6.656744,7.333409,7.438828,7.168416,7.209048,5.736428,7.839538,7.013996,7.096881,7.148099,6.550626,6.824699,7.550785,6.660505,7.413769,7.065565,6.946386,6.665116,6.540957,7.222691,6.16432,7.012241,6.866223,6.917761,7.619251,7.152398,6.894144,6.355931,7.404167,7.190313,6.964169,7.007823,6.954217,7.329681,7.217596,7.032639,7.094456,7.156449
FAM86FP,6.607153,5.177518,5.767542,5.384402,5.335995,5.542308,5.794569,5.974433,6.258057,4.830415,5.519938,5.218328,5.20582,5.383549,5.035191,5.157463,4.746036,5.02741,5.301647,5.512887,5.213896,5.406257,6.288057,4.84074,5.067212,5.895163,5.384198,5.602089,5.519324,5.611069,5.38516,5.933316,5.157345,5.423172,5.739555,5.033704,5.61228,5.526366,5.02033,5.250254,5.649293,5.596971,5.041839,5.607916,4.780097,6.153674,4.937794,4.854417,4.880572,6.382733,5.164049,4.924181,4.826583,6.002441,5.353954,5.642979,5.378046,4.987611,5.349926,5.360753,4.976231,5.16866,5.557186,5.314862,5.718739,4.92989,5.218328,5.481406,5.402819,5.333654,4.972714,5.319742,5.140602,5.734313,5.699445,5.059686,5.089805
AFAP1,6.830105,7.086163,6.3310615,6.547784,6.699691,6.19109,6.478983,6.600937,6.159588,6.2911985,6.459849,6.497076,6.520137,6.600295,6.4515165,6.0659085,6.524371,5.678517,6.6559685,6.09536,6.236606,5.928697,6.2289565,6.6198065,6.629803,6.8689975,6.2518985,6.205124,6.525319,5.75424,6.3937985,6.7452055,6.0156215,6.3284825,6.513759,6.6463145,6.2699215,6.3557755,6.601924,6.23446,6.539004,6.584329,6.7658765,6.592512,6.1881215,6.240494,6.0592445,6.477934,6.5646965,6.300992,6.522743,6.704553,7.0576705,6.27059,6.814361,6.7398295,6.551602,6.6501075,6.7989555,5.8830305,6.5028645,6.539651,5.954,7.0015665,6.4198325,6.3147655,6.700231,6.714648,6.623809,6.442744,6.101706,6.2094165,7.12887,6.369858,6.3887465,6.3472245,6.41311
CDT1,4.43806,4.882494,4.70559,4.7055,4.77086,4.565783,4.58774,4.747331,4.66221,4.62114,4.747307,4.524239,4.613547,4.593395,4.547784,4.916894,4.649045,4.635802,4.688631,5.038471,4.62624,4.638697,4.597061,4.50934,4.521383,5.090332,4.586746,4.597857,4.652995,4.585262,4.640817,4.72946,6.038131,4.930127,4.541358,4.49731,4.556635,4.826219,4.672042,4.729424,4.521398,4.738122,4.518546,4.475777,4.523059,5.288407,4.629481,4.572944,4.531274,4.571145,4.793434,4.762901,4.720254,4.585673,4.510632,4.601455,4.828392,4.596089,4.499158,4.684875,5.194369,4.752976,4.56068,4.608997,4.887184,4.537305,4.665717,4.583046,5.107136,4.615296,4.484342,4.531063,4.740047,4.521295,4.607503,4.718081,4.928961
TRPV1,4.662069,4.7417316,4.6041688,4.5611982,4.5630904,4.6271406,4.618519,4.6517562,4.6853038,4.5507846,4.7573242,4.7102674,4.6048602,4.6279078,4.7746574,4.5237452,4.5818014,4.5616464,4.7215004,4.6498896,4.5933772,4.5775126,4.6308908,4.586117,4.5885846,4.6901418,4.523391,4.6407938,4.6599248,4.8527152,4.6167846,4.62335,4.644245,4.6110598,4.6789694,4.6871358,4.5297128,4.6490716,4.6353656,4.670409,4.650911,4.6375958,4.591607,4.592271,4.6267072,4.616527,4.630545,4.5658074,4.5717138,4.5342158,4.5806252,4.596733,4.6214152,4.5310392,4.5832108,4.6168334,4.6249552,4.5246796,4.695137,4.5300286,4.6673364,4.630067,4.6656258,4.7160578,4.6273922,4.6572132,4.6998404,4.5990372,4.5542746,4.566477,4.5303664,4.6718564,4.6053936,4.6520298,4.5544684,4.6035816,4.7926204
