symbol,GSM1480043,GSM1480044,GSM1480045,GSM1480046,GSM1480047,GSM1480048,GSM1480049,GSM1480050,GSM1480051,GSM1480052,GSM1480053,GSM1480054,GSM1480055,GSM1480056,GSM1480057,GSM1480058,GSM1480059,GSM1480060,GSM1480061,GSM1480062,GSM1480063,GSM1480064,GSM1480065,GSM1480066,GSM1480067,GSM1480068,GSM1480069,GSM1480070,GSM1480071,GSM1480072,GSM1480073,GSM1480074,GSM1480075,GSM1480076,GSM1480077,GSM1480078,GSM1480079,GSM1480080,GSM1480081,GSM1480082,GSM1480083,GSM1480084,GSM1480085,GSM1480086,GSM1480087,GSM1480088,GSM1480089,GSM1480090
EEF1A1,14.214198,14.21271967,14.26993667,14.35174967,14.32966033,14.18327367,14.323594,14.23747033,14.316445,14.17330133,14.233595,14.22204367,14.32206367,14.18913733,14.27174233,14.22102633,14.17372467,14.13849967,14.30553,14.17646,14.30474467,14.224649,14.27347433,14.359704,14.299169,14.46051,14.431371,14.37191533,14.294763,14.33973367,14.162745,14.11559933,14.134783,14.33973367,14.31045767,14.25096467,14.275996,14.24273167,14.27860933,14.28699467,14.28650067,14.29991133,14.34688267,14.34535233,14.26348633,14.21999,14.26867933,14.356698
GAPDH,11.283947,12.554491,11.72192233,11.98628233,11.804943,12.02976267,11.84412,11.95468167,12.32893333,12.39973733,11.99998967,11.86927967,12.13910967,12.379197,11.89265167,12.04111667,12.36464767,12.61698067,11.94130233,12.29385467,12.62218267,11.992439,12.630755,11.56279467,11.703306,11.44632967,11.56217233,11.72965333,11.73548333,11.51993433,11.52725533,11.62531967,11.70949733,11.93183667,11.69164133,12.036652,11.70452033,12.78629967,11.44037033,11.43689567,11.680141,12.34540667,12.00758333,11.524149,11.819979,11.54443167,11.64327,11.380136
SLC35E2,5.015658,5.04038,4.884698,4.858574,4.878779,4.73291,4.74385,4.842534,5.290695,4.76351,4.781507,4.765924,4.899344,4.788207,5.044329,4.828251,4.804824,4.714741,4.909073,4.945206,4.813279,4.890524,4.864197,4.773072,4.831649,4.979994,4.609169,4.838862,4.9835,4.888399,4.707686,4.976236,4.677078,4.813847,4.923371,5.086495,4.691932,4.748788,4.811245,5.256567,4.78562,4.831076,4.901768,4.861067,4.69679,4.751909,4.767666,5.082673
DUSP22,8.16717875,7.935494,7.76301725,8.05175275,7.99868375,7.957891,8.12662775,7.94224775,7.9249685,7.86549125,7.9662815,8.203598,7.66842375,7.783528,7.79634475,7.56107325,7.7824585,8.04500425,8.05250475,7.555297,7.68252525,8.0723375,7.5557125,7.88847275,8.07211425,8.099735,7.778049,7.8445885,7.8040115,8.119703,7.951505,7.713008,7.673044,7.76803825,7.86797,8.14472975,8.07165875,7.933613,7.76276725,7.67872875,7.9986255,7.82649225,7.868666,7.84096325,7.7918475,7.4334975,7.87004425,8.048213
RPS28,11.291909,11.512959,11.563935,11.623568,11.412954,11.40641,11.491238,11.493237,11.845331,11.434606,11.439193,11.286475,11.109509,11.172089,11.395934,11.700524,11.300737,11.35967,11.398295,11.418372,11.262492,11.203047,11.065154,11.551566,11.460796,11.457774,11.621265,11.748979,11.643812,11.582055,11.951814,11.868545,11.790616,11.816344,12.117226,11.97436,11.224096,11.315412,11.55413,11.515166,11.194006,11.6642,11.29612,11.286475,11.717681,11.383499,11.68324,11.491238
IPO13,7.664512,7.771776,7.466346,7.28012,7.164799,7.176752,7.003444,7.18148,7.612904,7.387054,7.047893,7.504883,7.473466,8.191484,7.524457,7.979078,7.986462,8.229964,7.73885,7.938218,7.219579,7.307653,7.428288,7.11884,7.827923,7.940618,7.770565,7.424898,7.807581,7.94929,7.081924,7.731981,6.7964,7.303968,7.262816,7.094184,7.95172,8.062685,7.765063,7.903371,7.18148,7.571568,7.124161,7.125475,7.438824,7.091696,7.003549,7.437316
AFAP1,6.7271615,6.8306035,6.929471,6.6565135,6.646344,7.0876525,6.4718775,7.1389045,6.696927,6.374097,6.5023065,6.6030505,6.9752955,7.286019,6.803537,7.0192015,6.583697,6.949305,6.8733395,6.619588,6.806941,7.0572235,7.0163645,6.8035885,7.153753,7.2149955,6.7091715,7.0266765,6.4238915,6.7500075,6.602517,6.7703205,6.881642,6.4982755,6.8279645,7.239552,7.2101485,6.6031265,6.747678,6.5437765,6.814984,6.954231,6.604086,6.7074755,6.444339,7.356984,6.8708635,7.241491
CDT1,6.479674,4.676397,4.963576,4.673687,4.972293,5.251812,5.089129,5.19903,4.636576,4.73533,4.977669,5.146482,5.264866,4.937388,5.010574,4.931781,4.490577,4.558168,4.699908,4.542018,4.804759,4.904394,4.604365,5.537828,4.741161,4.658135,4.665606,4.992842,4.468131,4.595505,6.130779,6.490712,4.815789,4.824774,4.877793,4.895292,4.65873,4.635435,4.937311,4.586285,4.782124,4.712907,5.173649,5.337193,5.243885,4.712591,4.940126,5.212381
TRPV1,4.9659782,4.697253,4.7390324,4.679933,4.703953,4.6536512,4.6347058,4.758372,4.8733334,4.6831884,4.6129094,4.6905244,4.6830074,4.7218546,4.6293476,4.7336518,4.6804492,4.6510266,4.6246356,4.6714314,4.5567044,4.6655498,4.5532598,4.5596236,4.7037522,4.6590012,4.6906108,4.6197706,4.751798,4.7547694,4.763331,4.7989472,4.5374498,4.6812248,4.6519532,4.6762384,4.6452066,4.8984574,4.6907988,4.8201228,4.6786888,4.5729814,4.6812942,4.7611086,4.6926736,4.6069918,4.7750324,4.6605106
LPP,10.410442,10.6915,10.6690555,10.9646345,11.3506295,10.0696915,11.139263,10.8411275,10.4629855,10.233849,10.576666,10.158719,11.233929,11.801998,10.745551,10.933376,10.1172375,12.715701,11.9908875,10.413696,10.852344,10.82117,10.05348,10.9064865,12.9012685,12.905303,11.1325435,11.053545,10.005028,12.648283,10.1718725,10.406022,10.171349,11.236389,10.778771,10.9832655,13.0948,10.992014,11.085009,10.8685565,11.191714,10.5900895,11.106841,11.343979,10.4551525,10.627681,10.8434435,12.2209665
