Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
NOS3,Nitric Oxide Synthase 3,Protein Coding,P29474,62,GC07P165997,81.97,
NOS2,Nitric Oxide Synthase 2,Protein Coding,P35228,62,GC17M027756,73.76,
ELAC2,ElaC Ribonuclease Z 2,Protein Coding,Q9BQ52,54,GC17M012991,65.75,
CARS2,"Cysteinyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q9HA77,53,GC13M110641,63.62,
CPT2,Carnitine Palmitoyltransferase 2,Protein Coding,P23786,62,GC01P053196,62.91,
CAT,Catalase,Protein Coding,P04040,64,GC11P034460,60.96,
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,66,GC21P031659,60.47,
FARS2,"Phenylalanyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,O95363,57,GC06P009483,60.18,
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene (lncRNA),,20,GC06M159772,60.09,
NOS1,Nitric Oxide Synthase 1,Protein Coding,P29475,62,GC12M117208,57.68,
GFM1,G Elongation Factor Mitochondrial 1,Protein Coding,Q96RP9,57,GC03P158644,57.35,
MTO1,Mitochondrial TRNA Translation Optimization 1,Protein Coding,Q9Y2Z2,55,GC06P073461,51.44,
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,64,GC02M177227,50.67,
AIFM1,Apoptosis Inducing Factor Mitochondria Associated 1,Protein Coding,O95831,63,GC0XM130129,50.25,
TP53,Tumor Protein P53,Protein Coding,P04637,66,GC17M007661,49.87,
HMOX1,Heme Oxygenase 1,Protein Coding,P09601,65,GC22P035380,47.37,
TNF,Tumor Necrosis Factor,Protein Coding,P01375,65,GC06P181893,46.39,
SOD2,Superoxide Dismutase 2,Protein Coding,P04179,61,GC06M159669,44.35,
BDNF-AS,BDNF Antisense RNA,RNA Gene (lncRNA),,31,GC11P027466,44.2,
AARS2,"Alanyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5JTZ9,57,GC06M106778,43.43,
GSR,Glutathione-Disulfide Reductase,Protein Coding,P00390,62,GC08M030678,40.89,
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,64,GC06P182012,40.87,
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,62,GC10P048306,40.73,
TSFM,"Ts Translation Elongation Factor, Mitochondrial",Protein Coding,P43897,55,GC12P057782,40.04,
OXSR1,Oxidative Stress Responsive Kinase 1,Protein Coding,O95747,53,GC03P038506,39.51,
RMND1,Required For Meiotic Nuclear Division 1 Homolog,Protein Coding,Q9NWS8,50,GC06M151404,38.15,
XDH,Xanthine Dehydrogenase,Protein Coding,P47989,60,GC02M031334,38.03,
MTRFR,Mitochondrial Translation Release Factor In Rescue,Protein Coding,Q9H3J6,46,GC12P138940,37.9,
MPO,Myeloperoxidase,Protein Coding,P05164,65,GC17M058269,37.68,
TXN,Thioredoxin,Protein Coding,P10599,59,GC09M110243,37.28,
TUFM,"Tu Translation Elongation Factor, Mitochondrial",Protein Coding,P49411,57,GC16M050902,36.68,
IL6,Interleukin 6,Protein Coding,P05231,64,GC07P022725,35.95,
EARS2,"Glutamyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5JPH6,55,GC16M050689,35.35,
OSGIN1,Oxidative Stress Induced Growth Inhibitor 1,Protein Coding,Q9UJX0,41,GC16P122411,35.02,
NARS2,"Asparaginyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q96I59,56,GC11M078435,34.98,
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,65,GC22M021759,33.53,
TXN2,Thioredoxin 2,Protein Coding,Q99757,55,GC22M036467,33.18,
OSER1,Oxidative Stress Responsive Serine Rich 1,Protein Coding,Q9NX31,40,GC20M044195,33.12,
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,62,GC10P067884,32.87,
CYCS,"Cytochrome C, Somatic",Protein Coding,P99999,61,GC07M025118,32.76,
VARS2,"Valyl-TRNA Synthetase 2, Mitochondrial",Protein Coding,Q5ST30,55,GC06P181878,32.66,
PARK7,Parkinsonism Associated Deglycase,Protein Coding,Q99497,60,GC01P075179,32.29,
OLR1,Oxidized Low Density Lipoprotein Receptor 1,Protein Coding,P78380,56,GC12M035795,32.03,
CASP3,Caspase 3,Protein Coding,P42574,62,GC04M184627,31.9,
PNPT1,Polyribonucleotide Nucleotidyltransferase 1,Protein Coding,Q8TCS8,57,GC02M055634,31.25,
G6PD,Glucose-6-Phosphate Dehydrogenase,Protein Coding,P11413,62,GC0XM154625,31.17,
MSRA,Methionine Sulfoxide Reductase A,Protein Coding,Q9UJ68,55,GC08P010054,31.11,
APP,Amyloid Beta Precursor Protein,Protein Coding,P05067,63,GC21M025880,30.83,
ACADVL,Acyl-CoA Dehydrogenase Very Long Chain,Protein Coding,P49748,59,GC17P153721,30.38,
MTFMT,Mitochondrial Methionyl-TRNA Formyltransferase,Protein Coding,Q96DP5,53,GC15M065001,30.32,
CP,Ceruloplasmin,Protein Coding,P00450,62,GC03M149162,29.71,
IL1B,Interleukin 1 Beta,Protein Coding,P01584,60,GC02M112829,29.49,
NQO1,NAD(P)H Quinone Dehydrogenase 1,Protein Coding,P15559,61,GC16M069706,29.15,
OSGIN2,Oxidative Stress Induced Growth Inhibitor Family Member 2,Protein Coding,Q9Y236,39,GC08P089901,29.13,
PON1,Paraoxonase 1,Protein Coding,P27169,60,GC07M095297,29.07,
INS,Insulin,Protein Coding,P01308,61,GC11M002159,28.95,
NDUFS4,NADH:Ubiquinone Oxidoreductase Subunit S4,Protein Coding,O43181,55,GC05P053560,28.94,
HADHB,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Beta,Protein Coding,P55084,59,GC02P026243,28.89,
RYR2,Ryanodine Receptor 2,Protein Coding,Q92736,60,GC01P237042,28.78,
G3BP1,G3BP Stress Granule Assembly Factor 1,Protein Coding,Q13283,54,GC05P151771,28.5,
HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,P11021,61,GC09M125234,28.4,
HADHA,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha,Protein Coding,P40939,59,GC02M026190,28.19,
ACOX1,Acyl-CoA Oxidase 1,Protein Coding,Q15067,58,GC17M075941,28.18,
