"probes","moduleColor","GS.PE","p.GS.PE","MEblack","MEblack","MEmagenta","MEmagenta","MEyellow","MEyellow","MEblue","MEblue","MEpurple","MEpurple","MEturquoise","MEturquoise","MEpink","MEpink","MEbrown","MEbrown","MEgreen","MEgreen","MEgrey","MEgrey"
"GAPDH","black",-0.526668865303055,0.000120365255009643,0.508354916509662,0.000225215664772601,0.216888895749762,0.138678315628943,0.374562811487738,0.0087187989535536,-0.143234223592706,0.331439974721196,-0.350489346548091,0.0145949471488891,0.119865128907195,0.417083545451913,-0.216104791668844,0.140146130684002,-0.35202370974421,0.0141391881324536,-0.100952975533748,0.494775248200609,0.56426339422147,2.95365337400475e-05
"IPO13","black",-0.0880870385440646,0.551604776151282,0.744702043184216,1.29091964657618e-09,0.333116821559688,0.020690896935999,0.0853974896928404,0.563864269532009,0.50436414498594,0.00025696336795857,-0.11304005700014,0.444285077397882,-0.403730825119312,0.00443239191553371,0.44376192052919,0.00158158570985043,-0.032999049172693,0.823801520963399,-0.330423164132979,0.0218055580252289,0.43892976672969,0.00180307780106184
"NOC2LP2","black",-0.00102687867566095,0.994473188608954,0.718488717982687,8.92159106637055e-09,0.541618413165261,7.02352088607501e-05,0.602598573955232,5.84445078520189e-06,0.0215243906763877,0.884544133591601,0.012788379209261,0.931253001402486,-0.532089700549698,9.92973510112112e-05,0.0793218215831893,0.592015792584352,-0.125765207696975,0.394353877572268,-0.446032878073617,0.00148612123346699,0.213928636833849,0.144280329108586
"ZFPM1","black",-0.26570810144453,0.0679527108952293,0.548544841133543,5.42453007740057e-05,0.406571147892227,0.00413642954125184,0.18638896359889,0.204636898481119,0.334698199921475,0.0200591693684523,-0.147947788485259,0.315605426777244,-0.0297870920570258,0.840717607736295,-0.0692626966832226,0.63994237503238,-0.465034326704117,0.000867800317376371,-0.366867346267562,0.010321985712155,0.389089464841464,0.00627117276487363
"SKIV2L2","black",0.122926961805125,0.405196186913981,-0.496889008481478,0.000327547879003761,-0.298490748280016,0.039328677918263,-0.33286892828759,0.0207914294322534,0.0940778156377016,0.52476192247964,-0.0511074743066572,0.730113152481973,-0.194028466794687,0.186357213221472,-0.181779461972352,0.21625768498371,0.51174500293251,0.000201089493523169,0.362066883730307,0.0114455065371109,-0.334791697994574,0.0200223341008575
"NUMBL","black",-0.103216315785211,0.485101069346814,0.722054593953533,6.94738113831183e-09,0.676796637641037,1.28410129631592e-07,0.531359227558428,0.000101925069565372,0.230028822207858,0.115753234849578,0.0543697849376427,0.713598662063562,-0.369110925327788,0.00983030368840044,-0.039596159503272,0.789312301910284,-0.466923197809728,0.000821209921455957,-0.572991096441867,2.07915279618981e-05,0.201125315956595,0.170449627905877
"HDAC8","black",-0.247287794505096,0.0901647381988096,0.466977899594955,0.000819894739506359,0.183746549666466,0.211243613409155,0.0504977328203449,0.7332135206845,0.23692473226979,0.104937753725872,0.190388796950018,0.194914969042441,-0.24167169772434,0.0979555877966709,0.319827829098502,0.0266924223196844,0.00012188449524889,0.999343994798588,-0.219883285236433,0.133178171299098,0.315432136098095,0.0289724737753181
"MED14","black",-0.193516362312526,0.187544784875225,0.760762078210475,3.50586903470965e-10,0.592962444368843,8.95612057382041e-06,0.487665586986723,0.000438576773312885,0.232783679011661,0.111335220456515,-0.138031167113065,0.34948494583288,-0.398060448927926,0.00507918795123536,0.00922201049117946,0.950396344279483,-0.357944626161366,0.0124925038821088,-0.391981539557803,0.00586276802354654,0.330657902322247,0.0217064530296483
"CAT","black",0.415757819502834,0.00329444755036184,-0.552450660134536,4.67732815712889e-05,-0.18908939504578,0.198036651623913,-0.26296322391658,0.070954787358603,0.0330058337652736,0.823765870054859,0.0905298504060886,0.540580916554529,0.111104819099849,0.452172322448096,-0.308497135802667,0.0328978253886269,0.115873037984147,0.43287716908285,0.128280051792571,0.384890372238973,-0.529508250151761,0.000108870029734157
"MSH5","black",0.0872481986572695,0.555414749262794,0.681510108887861,9.70787707297605e-08,0.530130687313981,0.000106487890451396,0.459952470008417,0.0010051297951836,0.123836850350634,0.401701730389433,0.258150568140321,0.0764712813086632,-0.406050431810511,0.00418935345759719,0.37485686627422,0.0086620672815026,-0.223639408087278,0.126511724290408,-0.603381719601923,5.64171701667955e-06,0.105313650848364,0.476225677331243
