"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"GSM1480043",0,0.00342793321608133,0,0,0,0.150008439593306,0,0,0.0266486473022099,0.0113417044633176,0.0548581203297251,0.00851353882751769,0.399444197386124,0.00854517267078635,0.0684579264028766,0.180789340607791,0,0,0.0713632510142057,0,0,0.0166017281860579,0.099,0.107314517664347,1.06530748167956
"GSM1480044",0,0.00700891896204056,0,0,0,0.113501400171805,0.00528075115412872,0,0.0211935371327551,0,0.140249545181427,0.0718104200800692,0.0748598874197654,0,0.00875380197747213,0.427130852676093,0,0.00667781228744876,0.114478161681201,0,0,0.00905491127579502,0.096,0.11089433063256,1.06208789822941
"GSM1480045",0,0,0.00047686092244591,0,0,0.156831787952563,0.00134109414827346,0,0.00640636892074692,0.0333905495538886,0.258056588575353,0.091895169004329,0.072356256317517,0,0.0202052980659505,0.189695084014972,0,0,0.16934494252396,0,0,0,0.015,0.210990387552028,1.03898700911237
"GSM1480046",0.00628140432782901,0.00122566286323715,0,0,0,0.0591790560320671,0.016269790378706,0,0.0378579701981388,0,0.200640593162358,0.134054018447709,0.197010478881543,0.0365094583453676,0.0114320806105898,0.143332215575111,0,0.00374238245426838,0.136923037233546,0,0,0.0155418514895283,0.027,0.192432885967567,1.04105345118836
"GSM1480047",0.00512129449417015,0,0,0,0,0.148356035985668,0.0111882230514605,0,0.0160751786295976,0,0.184335678329815,0.120374120217707,0.1632153808719,0.0172590008926903,0.0135286824198273,0.158830055660386,0,0,0.161716349446779,0,0,0,0.012,0.220569273672103,1.01946340855195
"GSM1480048",0.00473447632252751,0,0,0.030001519684469,0,0.135504753092069,0.00955925934598793,0,0.0153711162417855,0.0123103932611446,0.16913608498306,0.00491337712133574,0.291453619559916,0.0607610993795132,1.822100591831e-05,0.0612818744932887,0,0.026178484000294,0.0778179192586322,0,0,0.100957802250058,0.0629999999999999,0.141785113575846,1.04991672624486
"GSM1480049",0.0139712512457077,0.0176422195477002,0,0,0.0318162945158289,0.127302420590175,0.000296417074137445,0,0.0460303512101453,0.0904417888040785,0.113577420247338,0.0116451030705235,0.259524116197139,0.0394464710280161,0.00651789363138585,0.074367004429501,0,0.0064904396154979,0.0790402860300318,0,0,0.0818905227627942,0.001,0.443118959029568,0.896238045502677
"GSM1480050",0.0104989411496013,0,0,0.0694657431086721,0,0.16297463802474,0.0449041595961195,0,0.0268925526974721,0,0.222502718765766,0.0285074464248025,0.21548224866268,0,0.0330808899351171,0.0677185998919372,0.00454296962646773,0,0.113429092116625,0,0,0,0.005,0.292869640980593,0.976587459848829
"GSM1480051",0.00322609624625254,0.00275687863109306,0,0.0229569890519773,0.0727421871906614,0.0301119711390273,0.012579572827828,0,0.00735977288925428,0.00955629381268151,0.11401549335594,0.0353682735740839,0.360871847774099,0.0254321435544858,0.0112590437878812,0.15074359115862,0,0.015353055782296,0.104489460353041,0,0,0.0211773288707779,0.018,0.203434814286696,1.01676644065764
"GSM1480052",0.00705960521264061,9.7125843176179e-05,0,0,0.0408804279319845,0.10870309760299,0,0,0,0.035027467385212,0.10565680538439,0,0.43415889400466,0.0623717929643578,0,0.0373793092961898,0,8.47639975610622e-05,0,0,0,0.168580710376838,0,0.661575274585141,0.751469460633291
"GSM1480053",0.0102564503838051,0,0,0.0100224514412323,0.05081139668352,0.0747687443842816,0.0219813666921748,0,0.0273082821182205,0,0.20414418878237,0.0142928575011327,0.297628558314846,0.0151467475111093,0.0103797458975056,0.100880459736889,0,0.00401470551614253,0.105419384805616,0,0,0.0529446602311538,0.002,0.370772504242924,0.934707351107434
"GSM1480054",0.0181825371816039,0,0,0.0383454399830194,0.0470352509821829,0,0.00989135462312709,0,0.00113831275862644,0.00279582762127988,0.178930562525402,0,0.463362944780071,0.0256394350318431,0.00530393640963721,0.0734475829658822,0,0,0.0108715398528798,0,0,0.125055275284445,0,0.530379122447052,0.849450507413444
"GSM1480055",0.0085930060211373,0,0,0,0,0.15230515781152,0.0220156496754864,0,0.0305584458166678,0.0417124684339691,0.256436527880099,0,0.252383920517059,0,0.0179190890004676,0.113669141242599,0,0.00163513014600494,0.0955765331377898,0,0,0.00719493031720001,0.00800000000000001,0.249836417001082,0.999811682633173
"GSM1480056",0.00621826273702451,0,0,0.029327491820992,0,0.17361022073121,0.00120842208271456,0,0.0529396622699121,0,0.080428937024807,0.0627141677343436,0.323088581746589,0.0217802207476672,0.0168469067279113,0.147798497670965,0,0,0.084038628705864,0,0,0,0.049,0.159229320751323,1.0324498894455
"GSM1480057",0.0123722922082649,0,0,0.102064617462846,0.0718290994093044,0,0.049341758741098,0,0.025841473646489,0,0.172167655081503,0,0.29553915568827,0.0751537340089743,0.00645979400326671,0.109264276045926,0,0.00489557693964909,0.0104004754068975,0.00446252631496206,0,0.0602075650425496,0.002,0.34247646885193,0.950128843814383
"GSM1480058",0.00828284152543036,0,0,0.0620783059053306,0.0248362257096681,0.0458700958192572,0.0148789756079806,0,0.025541692476042,0,0.131592301316897,0.126350795646153,0.0488627928888207,0.0664756126984887,0.0339451541882467,0.239159006510278,0.00284549453305674,0,0.16928070517435,0,0,0,0.00800000000000001,0.243366825645981,1.0031331203643
"GSM1480059",6.79302449908316e-05,0,0,0,0,0.0528171533020763,0.00417354711339971,0,0.0321925711256744,0,0.159443303872016,0.0433170978365183,0.26393201567493,0,0,0.320336448607846,0,0.00964863243323927,0.114071299789309,0,0,0,0.053,0.151975934959281,1.04395378122205
"GSM1480060",0,0,0.00101742977178879,0.0851366249660831,0,0.0857339538261883,0,0.0260916973433619,0,0.00375282643700971,0.102048484269016,0.0823141001313761,0.0997020427246457,0,0.0181513244529216,0.387615777581042,0,0.0454493783917254,0.0629863601048419,0,0,0,0.00600000000000001,0.274388306911343,0.982487580587391
"GSM1480061",0.0122363705543021,0,0,0.0227891042875189,0,0.31990193874618,0.000676549388810493,0,0.0321600259965789,0,0.135381428381298,0.00391387511067239,0.00502785258566937,0,0.0194958055415993,0.352631944483401,0,0.0130320800629619,0.0827530248610083,0,0,0,0.152,0.0857867628371202,1.06202669359391
