NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LEFTY1	LEFTY1	0	0.3993411958217621	0.1650163	Yes	
row_1	SHH	SHH	108	0.16639834642410278	0.22825105	Yes	
row_2	LEFTY2	LEFTY2	187	0.1410401612520218	0.2825046	Yes	
row_3	WT1	WT1	260	0.12440554052591324	0.33019415	Yes	
row_4	WNT3	WNT3	286	0.12098387628793716	0.37889647	Yes	
row_5	BMP4	BMP4	383	0.10878963023424149	0.41889402	Yes	
row_6	EPB41L5	EPB41L5	1421	0.06087423115968704	0.39050663	Yes	
row_7	LDB1	LDB1	1422	0.060855500400066376	0.4156534	Yes	
row_8	HEY2	HEY2	1443	0.060427963733673096	0.4395909	Yes	
row_9	SIX2	SIX2	1527	0.058507274836301804	0.45948195	Yes	
row_10	DDIT3	DDIT3	1530	0.05837951973080635	0.48350233	Yes	
row_11	ETS2	ETS2	1719	0.05433753877878189	0.49624902	Yes	
row_12	HOXD8	HOXD8	2888	0.03752296417951584	0.45144868	No	
row_13	TDRD5	TDRD5	4518	0.02272072248160839	0.37672955	No	
row_14	SKI	SKI	5107	0.01859104074537754	0.3540524	No	
row_15	RIPPLY2	RIPPLY2	5395	0.016917936503887177	0.346225	No	
row_16	TMED2	TMED2	5427	0.016776666045188904	0.3515569	No	
row_17	LHX1	LHX1	5704	0.01525820791721344	0.3436116	No	
row_18	NEUROG1	NEUROG1	5862	0.014489383436739445	0.34149277	No	
row_19	TDRD7	TDRD7	6644	0.011005054228007793	0.30571604	No	
row_20	CDX2	CDX2	6827	0.010319549590349197	0.30058336	No	
row_21	CDX4	CDX4	6906	0.010023867711424828	0.3006982	No	
row_22	BASP1	BASP1	6940	0.009920699521899223	0.3030938	No	
row_23	TIFAB	TIFAB	8091	0.005823081824928522	0.24612372	No	
row_24	TBX6	TBX6	8335	0.00502680242061615	0.23565443	No	
row_25	RNF2	RNF2	8724	0.0037652424070984125	0.21717726	No	
row_26	ZIC3	ZIC3	9221	0.002326425863429904	0.19252934	No	
row_27	NRARP	NRARP	10004	-6.555838626809418E-5	0.15218055	No	
row_28	WNT8A	WNT8A	10008	-6.882708112243563E-5	0.1520541	No	
row_29	CER1	CER1	11540	-0.004816933069378138	0.07499665	No	
row_30	MESP2	MESP2	11725	-0.0054215784184634686	0.06773675	No	
row_31	WNT5A	WNT5A	11831	-0.005748620722442865	0.064690895	No	
row_32	NODAL	NODAL	12240	-0.007124295458197594	0.046569128	No	
row_33	OTX2	OTX2	12520	-0.008081072941422462	0.035503194	No	
row_34	FOXA2	FOXA2	13014	-0.010099385865032673	0.014222119	No	
row_35	PLD6	PLD6	13284	-0.011323370039463043	0.0050122887	No	
row_36	GDF3	GDF3	13380	-0.011784533970057964	0.004976911	No	
row_37	CDX1	CDX1	13414	-0.012087228707969189	0.00826777	No	
row_38	WLS	WLS	13557	-0.012762291356921196	0.0062097395	No	
row_39	SRF	SRF	13649	-0.013203156180679798	0.0069670933	No	
row_40	FRS2	FRS2	14222	-0.016518274322152138	-0.015740454	No	
row_41	PRICKLE1	PRICKLE1	14408	-0.017824724316596985	-0.017926736	No	
row_42	TBX3	TBX3	14522	-0.01864767074584961	-0.016055487	No	
row_43	TDRD1	TDRD1	14930	-0.02151239849627018	-0.02818015	No	
row_44	SMAD4	SMAD4	15381	-0.0256344024091959	-0.040821668	No	
row_45	TDRD6	TDRD6	15490	-0.026654647663235664	-0.03538361	No	
row_46	CTNNB1	CTNNB1	15739	-0.02883240580558777	-0.03627407	No	
row_47	PCSK6	PCSK6	16050	-0.03192105144262314	-0.039089397	No	
row_48	TDRKH	TDRKH	16064	-0.03207077831029892	-0.026508277	No	
row_49	MESP1	MESP1	16099	-0.0323665589094162	-0.014889198	No	
row_50	AURKA	AURKA	17116	-0.04733341187238693	-0.047787685	No	
row_51	FZD5	FZD5	17480	-0.0551907904446125	-0.043723933	No	
row_52	DCANP1	DCANP1	17731	-0.061767976731061935	-0.031107977	No	
row_53	PGAP1	PGAP1	18136	-0.07607784867286682	-0.020530138	No	
row_54	GPC3	GPC3	19300	-0.21024201810359955	0.0062988433	No	
