NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHAG	RHAG	990	0.07283952087163925	-0.011446483	No	
row_1	AQP6	AQP6	4571	0.02232075296342373	-0.1837828	No	
row_2	AQP5	AQP5	11793	-0.005613074172288179	-0.5527971	No	
row_3	AQP1	AQP1	11955	-0.006184831261634827	-0.5577333	No	
row_4	RHBG	RHBG	12154	-0.006865594536066055	-0.5642062	No	
row_5	RHCG	RHCG	15219	-0.02401978336274624	-0.70903265	No	
row_6	HBB	HBB	17260	-0.050217851996421814	-0.7868677	Yes	
row_7	HBA1	HBA1	17976	-0.0697547122836113	-0.7858203	Yes	
row_8	HBA2	HBA2	18539	-0.09683753550052643	-0.7621793	Yes	
row_9	HBE1	HBE1	18990	-0.13707391917705536	-0.71091276	Yes	
row_10	CA2	CA2	19281	-0.20321257412433624	-0.6154784	Yes	
row_11	HBD	HBD	19348	-0.2405616044998169	-0.48821595	Yes	
row_12	HBG2	HBG2	19398	-0.29316332936286926	-0.33150652	Yes	
row_13	HBG1	HBG1	19402	-0.29819613695144653	-0.1696933	Yes	
row_14	HBZ	HBZ	19407	-0.31422170996665955	7.7280175E-4	Yes	
