NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZFPM2	ZFPM2	396	0.10677903890609741	0.008526731	No	
row_1	EGLN1	EGLN1	790	0.08053907752037048	0.010087547	No	
row_2	FOXH1	FOXH1	1222	0.06602039188146591	0.005745965	No	
row_3	FKBP1A	FKBP1A	1371	0.06222262606024742	0.014988517	No	
row_4	HEY2	HEY2	1443	0.060427963733673096	0.027720496	No	
row_5	PTCD2	PTCD2	1593	0.05672357603907585	0.035419106	No	
row_6	EDNRA	EDNRA	2030	0.04880685359239578	0.026148006	No	
row_7	TGFBR1	TGFBR1	2309	0.04484757035970688	0.023961931	No	
row_8	BMPR1A	BMPR1A	2898	0.037389710545539856	0.0037429	No	
row_9	RBPJ	RBPJ	3734	0.02894379012286663	-0.031523764	No	
row_10	NOG	NOG	4272	0.024415796622633934	-0.052629825	No	
row_11	BMP10	BMP10	4883	0.020182661712169647	-0.078654535	No	
row_12	NAGLU	NAGLU	5308	0.017399657517671585	-0.09582902	No	
row_13	TNNI3	TNNI3	6115	0.013293999247252941	-0.133845	No	
row_14	TGFB1	TGFB1	6464	0.011741040274500847	-0.14863029	No	
row_15	TBX20	TBX20	8027	0.006025864277034998	-0.22766018	No	
row_16	FOXC2	FOXC2	8431	0.004745135083794594	-0.24718429	No	
row_17	RYR2	RYR2	8579	0.004265679512172937	-0.2536181	No	
row_18	MYL3	MYL3	8590	0.004208930302411318	-0.25299233	No	
row_19	ACTC1	ACTC1	8736	0.003730705939233303	-0.25946802	No	
row_20	NRG1	NRG1	10843	-0.0025893538258969784	-0.36752388	No	
row_21	TGFBR3	TGFBR3	11009	-0.003095099935308099	-0.37520492	No	
row_22	POU4F1	POU4F1	11646	-0.005190068390220404	-0.40664092	No	
row_23	WNT5A	WNT5A	11831	-0.005748620722442865	-0.41458306	No	
row_24	TTN	TTN	12812	-0.00927751138806343	-0.46267477	No	
row_25	NKX2-5	NKX2-5	12978	-0.00995279848575592	-0.4684948	No	
row_26	TNNI1	TNNI1	13770	-0.013819299638271332	-0.5055936	No	
row_27	XIRP2	XIRP2	14066	-0.015567425638437271	-0.51660347	No	
row_28	COL11A1	COL11A1	14721	-0.019935093820095062	-0.5449676	No	
row_29	S1PR1	S1PR1	14789	-0.02047560177743435	-0.54287106	No	
row_30	ENG	ENG	14984	-0.021937519311904907	-0.5469364	No	
row_31	SMAD4	SMAD4	15381	-0.0256344024091959	-0.5604302	No	
row_32	ZFPM1	ZFPM1	15468	-0.026471909135580063	-0.55768764	No	
row_33	TCAP	TCAP	16884	-0.04332983121275902	-0.6190028	Yes	
row_34	MED1	MED1	16918	-0.04378323629498482	-0.6088254	Yes	
row_35	TPM1	TPM1	16980	-0.04463605955243111	-0.5998625	Yes	
row_36	NOTCH1	NOTCH1	17212	-0.049398668110370636	-0.59838635	Yes	
row_37	TNNT2	TNNT2	17363	-0.05260134115815163	-0.591858	Yes	
row_38	PKP2	PKP2	17461	-0.05475673824548721	-0.58200777	Yes	
row_39	MYH6	MYH6	17483	-0.05522289127111435	-0.5681062	Yes	
row_40	HEG1	HEG1	17498	-0.055628471076488495	-0.55373305	Yes	
row_41	MYLK2	MYLK2	17586	-0.05759255588054657	-0.5425968	Yes	
row_42	DLL4	DLL4	17735	-0.06189636141061783	-0.5334428	Yes	
row_43	HAND1	HAND1	17794	-0.06363897025585175	-0.5191681	Yes	
row_44	FOXC1	FOXC1	17879	-0.06630975008010864	-0.5055113	Yes	
row_45	MYBPC3	MYBPC3	17899	-0.06688894331455231	-0.4883406	Yes	
row_46	PROX1	PROX1	18329	-0.08517911285161972	-0.4873797	Yes	
row_47	BMP2	BMP2	18332	-0.08525584638118744	-0.46434677	Yes	
row_48	CHD7	CHD7	18358	-0.08621162176132202	-0.44224223	Yes	
row_49	MYL2	MYL2	18755	-0.11138032376766205	-0.43246683	Yes	
row_50	DSP	DSP	18800	-0.11529025435447693	-0.40345234	Yes	
row_51	TGFB2	TGFB2	19048	-0.1465643048286438	-0.3764342	Yes	
row_52	MYH7	MYH7	19072	-0.15131600201129913	-0.33655876	Yes	
row_53	TNNC1	TNNC1	19140	-0.16637499630451202	-0.29486895	Yes	
row_54	SMAD7	SMAD7	19186	-0.1770508885383606	-0.24914585	Yes	
row_55	ISL1	ISL1	19244	-0.19235455989837646	-0.19988944	Yes	
row_56	LRP2	LRP2	19266	-0.1985355168581009	-0.14709656	Yes	
row_57	ANKRD1	ANKRD1	19307	-0.21380466222763062	-0.091141224	Yes	
row_58	WNT2	WNT2	19419	-0.3575458526611328	1.5512606E-4	Yes	
