NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	PIK3R1	520	0.09574928134679794	0.015346463	No	
row_1	STAT6	STAT6	948	0.07420706003904343	0.02600327	No	
row_2	JAK1	JAK1	2803	0.038369178771972656	-0.052686047	No	
row_3	STAT3	STAT3	3039	0.03585353121161461	-0.04901639	No	
row_4	SHOC2	SHOC2	3215	0.033708151429891586	-0.043198	No	
row_5	SOCS2	SOCS2	3912	0.02743191458284855	-0.06700262	No	
row_6	GHRL	GHRL	6821	0.010374299250543118	-0.2123553	No	
row_7	LYN	LYN	6971	0.009799155406653881	-0.21572271	No	
row_8	MBD5	MBD5	7827	0.006671687588095665	-0.2568644	No	
row_9	JAK3	JAK3	8682	0.0039170878008008	-0.2991673	No	
row_10	PTK2	PTK2	10101	-3.1994073651731014E-4	-0.37213054	No	
row_11	LEPROTL1	LEPROTL1	10462	-0.0013941765064373612	-0.3900763	No	
row_12	JAK2	JAK2	11913	-0.006047338712960482	-0.4621677	No	
row_13	PTPN1	PTPN1	13088	-0.010452982038259506	-0.5180905	No	
row_14	PXN	PXN	14242	-0.016698181629180908	-0.57018113	No	
row_15	LEPROT	LEPROT	15086	-0.022831931710243225	-0.6035894	No	
row_16	TYK2	TYK2	15158	-0.02348744124174118	-0.59690917	No	
row_17	STAT5A	STAT5A	16144	-0.033021703362464905	-0.633152	No	
row_18	STAT5B	STAT5B	17490	-0.05545641854405403	-0.67807734	Yes	
row_19	GHR	GHR	17540	-0.05636335164308548	-0.65578884	Yes	
row_20	GDF15	GDF15	19159	-0.17197775840759277	-0.6634886	Yes	
row_21	GH2	GH2	19351	-0.24366095662117004	-0.56606096	Yes	
row_22	CSHL1	CSHL1	19408	-0.31488993763923645	-0.43031403	Yes	
row_23	GH1	GH1	19409	-0.3155275881290436	-0.29139936	Yes	
row_24	CSH1	CSH1	19411	-0.32520225644111633	-0.14827685	Yes	
row_25	CSH2	CSH2	19415	-0.337963730096817	3.6093564E-4	Yes	
