NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C3	C3	33	0.2248881608247757	0.1374305	Yes	
row_1	ABCC8	ABCC8	115	0.1639806181192398	0.23470452	Yes	
row_2	STON1	STON1	120	0.1625034362077713	0.33503452	Yes	
row_3	C1QL1	C1QL1	133	0.15736907720565796	0.4317756	Yes	
row_4	SNAI2	SNAI2	279	0.12174884229898453	0.49962237	Yes	
row_5	PIK3R1	PIK3R1	520	0.09574928134679794	0.546486	Yes	
row_6	PLXNC1	PLXNC1	672	0.08706671744585037	0.5925666	Yes	
row_7	TGFBR1	TGFBR1	2309	0.04484757035970688	0.53596526	No	
row_8	FER	FER	3796	0.02845497615635395	0.4769558	No	
row_9	EPHA4	EPHA4	4169	0.02532358653843403	0.47344357	No	
row_10	CX3CL1	CX3CL1	4725	0.021196579560637474	0.45794314	No	
row_11	DKK1	DKK1	7149	0.009027503430843353	0.33860555	No	
row_12	MAP4K4	MAP4K4	8127	0.00569460354745388	0.29175743	No	
row_13	TREM2	TREM2	9157	0.002540034241974354	0.2402767	No	
row_14	C1QB	C1QB	11003	-0.0030710375867784023	0.14705396	No	
row_15	ITGB1	ITGB1	11161	-0.0036122333258390427	0.14119428	No	
row_16	ARF6	ARF6	12599	-0.008355565369129181	0.0722762	No	
row_17	C1QA	C1QA	13530	-0.012650908902287483	0.032154925	No	
row_18	C1QC	C1QC	13587	-0.012925510294735432	0.037264377	No	
row_19	DUSP3	DUSP3	13875	-0.014429154805839062	0.03139442	No	
row_20	PRICKLE1	PRICKLE1	14408	-0.017824724316596985	0.014993732	No	
row_21	IQSEC1	IQSEC1	14690	-0.01969158463180065	0.01268883	No	
row_22	ADGRB3	ADGRB3	15204	-0.023875577375292778	0.0010112165	No	
row_23	MAPRE2	MAPRE2	17082	-0.04668315500020981	-0.06687977	No	
row_24	ITGAM	ITGAM	17534	-0.056257303804159164	-0.055327203	No	
row_25	TGFB3	TGFB3	18717	-0.10810568928718567	-0.049385693	No	
row_26	CX3CR1	CX3CR1	19003	-0.13849329948425293	0.021602413	No	
