NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELOVL1	ELOVL1	2356	0.0442865751683712	-0.09763814	No	
row_1	LSR	LSR	5145	0.018390662968158722	-0.23151214	No	
row_2	ALOX12B	ALOX12B	7393	0.00807869154959917	-0.3430427	No	
row_3	NFKBIZ	NFKBIZ	7417	0.007992696017026901	-0.3399213	No	
row_4	KLF4	KLF4	7873	0.006553985644131899	-0.3598548	No	
row_5	ALOX12	ALOX12	8566	0.00431340467184782	-0.39321864	No	
row_6	PLEC	PLEC	10017	-1.0242943972116336E-4	-0.46794423	No	
row_7	FLG2	FLG2	10469	-0.0014136760728433728	-0.49044177	No	
row_8	HRNR	HRNR	12508	-0.008043629117310047	-0.59121245	No	
row_9	ALOXE3	ALOXE3	13618	-0.013064036145806313	-0.6413662	No	
row_10	TMPRSS11F	TMPRSS11F	13623	-0.013077307492494583	-0.6345246	No	
row_11	SRF	SRF	13649	-0.013203156180679798	-0.6286982	No	
row_12	FLG	FLG	13786	-0.013895023614168167	-0.62822354	No	
row_13	FA2H	FA2H	14435	-0.01802750863134861	-0.6519271	No	
row_14	CYP26B1	CYP26B1	14909	-0.021422646939754486	-0.6647756	No	
row_15	CYSRT1	CYSRT1	15513	-0.026929955929517746	-0.6813605	Yes	
row_16	HDAC3	HDAC3	15622	-0.02786768041551113	-0.67191136	Yes	
row_17	GRHL3	GRHL3	15626	-0.027930889278650284	-0.657013	Yes	
row_18	IL18	IL18	15854	-0.029957832768559456	-0.6525746	Yes	
row_19	STMN1	STMN1	16292	-0.03478015214204788	-0.6563676	Yes	
row_20	KRT16	KRT16	16582	-0.03859131783246994	-0.65047383	Yes	
row_21	CLDN4	CLDN4	16747	-0.041118890047073364	-0.6367712	Yes	
row_22	SFN	SFN	17143	-0.04788065701723099	-0.6313377	Yes	
row_23	TMEM79	TMEM79	17608	-0.05814747139811516	-0.6239296	Yes	
row_24	GRHL1	GRHL1	18295	-0.083181232213974	-0.614479	Yes	
row_25	KDF1	KDF1	18762	-0.11206120252609253	-0.5781178	Yes	
row_26	KRT1	KRT1	18823	-0.1168966293334961	-0.5182119	Yes	
row_27	UGCG	UGCG	18827	-0.11724551022052765	-0.45517838	Yes	
row_28	ABCA12	ABCA12	18833	-0.11780466884374619	-0.39194664	Yes	
row_29	MET	MET	18884	-0.1243860051035881	-0.32748872	Yes	
row_30	CLDN1	CLDN1	18974	-0.13432763516902924	-0.25968423	Yes	
row_31	ZNF750	ZNF750	19316	-0.21868711709976196	-0.15941146	Yes	
row_32	TP63	TP63	19406	-0.30583497881889343	8.251464E-4	Yes	
