NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RHAG	RHAG	990	0.07283952087163925	-0.022167582	No	
row_1	NGB	NGB	2653	0.040113985538482666	-0.09193917	No	
row_2	AQP6	AQP6	4571	0.02232075296342373	-0.18190451	No	
row_3	IPCEF1	IPCEF1	9637	0.0010286084143444896	-0.44256598	No	
row_4	AQP5	AQP5	11793	-0.005613074172288179	-0.55141866	No	
row_5	AQP1	AQP1	11955	-0.006184831261634827	-0.55726665	No	
row_6	RHBG	RHBG	12154	-0.006865594536066055	-0.564752	No	
row_7	RHCG	RHCG	15219	-0.02401978336274624	-0.7131648	No	
row_8	MB	MB	16781	-0.04171726107597351	-0.77709526	No	
row_9	HBB	HBB	17260	-0.050217851996421814	-0.7818357	Yes	
row_10	CYGB	CYGB	17543	-0.05640507489442825	-0.774022	Yes	
row_11	HBA1	HBA1	17976	-0.0697547122836113	-0.7686504	Yes	
row_12	HBA2	HBA2	18539	-0.09683753550052643	-0.75924873	Yes	
row_13	BPGM	BPGM	18829	-0.11736986041069031	-0.72764015	Yes	
row_14	HBE1	HBE1	18990	-0.13707391917705536	-0.6815753	Yes	
row_15	HBM	HBM	19155	-0.17033573985099792	-0.6225375	Yes	
row_16	CA2	CA2	19281	-0.20321257412433624	-0.54846287	Yes	
row_17	HBD	HBD	19348	-0.2405616044998169	-0.45654863	Yes	
row_18	HBQ1	HBQ1	19370	-0.2557762563228607	-0.35628656	Yes	
row_19	HBG2	HBG2	19398	-0.29316332936286926	-0.24152008	Yes	
row_20	HBG1	HBG1	19402	-0.29819613695144653	-0.123522446	Yes	
row_21	HBZ	HBZ	19407	-0.31422170996665955	7.733514E-4	Yes	
