NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNB1	KCNB1	15	0.25733447074890137	0.13554192	Yes	
row_1	GRIA3	GRIA3	83	0.1788523644208908	0.22682586	Yes	
row_2	HOMER2	HOMER2	104	0.16879038512706757	0.31520578	Yes	
row_3	DAGLA	DAGLA	122	0.16233760118484497	0.40032238	Yes	
row_4	SLC1A1	SLC1A1	217	0.13278169929981232	0.46580788	Yes	
row_5	FYN	FYN	686	0.08589377254247665	0.48715052	Yes	
row_6	NECAB2	NECAB2	1954	0.050149012356996536	0.44831535	Yes	
row_7	GRIK2	GRIK2	1969	0.049883726984262466	0.4740173	Yes	
row_8	CPEB4	CPEB4	1992	0.04946987330913544	0.49908707	Yes	
row_9	PRNP	PRNP	2443	0.042820874601602554	0.4985421	Yes	
row_10	APP	APP	2508	0.04187840595841408	0.5174225	Yes	
row_11	GNAQ	GNAQ	3166	0.03428271412849426	0.5016697	No	
row_12	GRIN2B	GRIN2B	4070	0.026123208925127983	0.46889654	No	
row_13	PTK2B	PTK2B	4526	0.02266712673008442	0.45741758	No	
row_14	CX3CL1	CX3CL1	4725	0.021196579560637474	0.4584255	No	
row_15	GRIN1	GRIN1	5539	0.01606982946395874	0.42497244	No	
row_16	HOMER1	HOMER1	5574	0.01588854193687439	0.43163395	No	
row_17	GRIA2	GRIA2	6234	0.012726656161248684	0.40435916	No	
row_18	SSTR1	SSTR1	6323	0.012292515486478806	0.40632838	No	
row_19	PLP1	PLP1	6609	0.011143455281853676	0.39752015	No	
row_20	GRIK5	GRIK5	6909	0.010019119828939438	0.38739368	No	
row_21	GRM6	GRM6	7729	0.006996288895606995	0.34882444	No	
row_22	GRIA4	GRIA4	8281	0.005192993208765984	0.32313365	No	
row_23	GRIK3	GRIK3	8829	0.0034789179917424917	0.29674134	No	
row_24	FMR1	FMR1	8841	0.003442789427936077	0.29799727	No	
row_25	NLGN3	NLGN3	8985	0.003056012326851487	0.2922347	No	
row_26	GRID2	GRID2	9105	0.002670892048627138	0.28750697	No	
row_27	GRIN3A	GRIN3A	9433	0.0016893831780180335	0.2715227	No	
row_28	TRPM1	TRPM1	9486	0.001529989647679031	0.26964903	No	
row_29	GRIK1	GRIK1	9759	6.930355448275805E-4	0.255976	No	
row_30	GRM8	GRM8	9918	1.9075335876550525E-4	0.24792136	No	
row_31	GRM3	GRM3	10143	-4.403908096719533E-4	0.23659216	No	
row_32	GRM4	GRM4	10769	-0.002384423278272152	0.20559385	No	
row_33	GRID1	GRID1	10859	-0.002615252509713173	0.2023852	No	
row_34	GRM7	GRM7	11229	-0.0038755573332309723	0.18539104	No	
row_35	GRIN2A	GRIN2A	11439	-0.004555883817374706	0.1770162	No	
row_36	GRIN2D	GRIN2D	12219	-0.0070710149593651295	0.14055128	No	
row_37	GRIK4	GRIK4	13113	-0.010554157197475433	0.10004699	No	
row_38	GRIA1	GRIA1	13248	-0.0111463638022542	0.09903464	No	
row_39	HOMER3	HOMER3	13608	-0.013034633360803127	0.08740845	No	
row_40	FRRS1L	FRRS1L	13804	-0.013985969126224518	0.0847516	No	
row_41	NCSTN	NCSTN	15258	-0.024440620094537735	0.022697087	No	
row_42	MEF2C	MEF2C	15656	-0.028294047340750694	0.017192682	No	
row_43	GRIN3B	GRIN3B	15865	-0.030106041580438614	0.022403978	No	
row_44	GRM5	GRM5	16090	-0.03232850879430771	0.027966676	No	
row_45	CDK5R1	CDK5R1	16558	-0.03830302134156227	0.024150986	No	
row_46	GRIN2C	GRIN2C	16585	-0.038639605045318604	0.04327723	No	
row_47	GRM2	GRM2	16749	-0.0412306934595108	0.056704342	No	
row_48	CLN3	CLN3	17784	-0.06327154487371445	0.036847536	No	
row_49	PLCB1	PLCB1	18429	-0.08995525538921356	0.05125684	No	
