NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPGR	RPGR	459	0.10113931447267532	0.045372352	Yes	
row_1	ARL3	ARL3	715	0.08468829840421677	0.0900378	Yes	
row_2	IFT46	IFT46	1023	0.07167746871709824	0.123137034	Yes	
row_3	IFT22	IFT22	1113	0.06922302395105362	0.16580802	Yes	
row_4	TRAF3IP1	TRAF3IP1	1163	0.06767033040523529	0.20948265	Yes	
row_5	CLUAP1	CLUAP1	1168	0.06756555289030075	0.25540748	Yes	
row_6	DYNC2LI1	DYNC2LI1	1461	0.05993133783340454	0.28126082	Yes	
row_7	BBS12	BBS12	1695	0.0548117458820343	0.30666277	Yes	
row_8	IFT52	IFT52	1766	0.05332577973604202	0.33946	Yes	
row_9	DYNC2H1	DYNC2H1	1782	0.053071342408657074	0.3749212	Yes	
row_10	FUZ	FUZ	1872	0.05144939944148064	0.40545702	Yes	
row_11	IFT43	IFT43	2478	0.042306333780288696	0.40312767	Yes	
row_12	SSNA1	SSNA1	2623	0.040463171899318695	0.42332482	Yes	
row_13	IFT57	IFT57	2724	0.03933015093207359	0.44501853	Yes	
row_14	RABL2B	RABL2B	2797	0.03841032460331917	0.46752888	Yes	
row_15	TUB	TUB	3317	0.03265586867928505	0.46304765	Yes	
row_16	WDR19	WDR19	3440	0.031462859362363815	0.4782348	Yes	
row_17	WDR35	WDR35	3503	0.0309394970536232	0.49616027	Yes	
row_18	KIF3B	KIF3B	3825	0.02819967083632946	0.4988522	Yes	
row_19	MAK	MAK	3958	0.027072791010141373	0.51052606	Yes	
row_20	IFT27	IFT27	4120	0.025658797472715378	0.5197382	Yes	
row_21	IFT81	IFT81	4201	0.02510484866797924	0.5327513	Yes	
row_22	DYNLL1	DYNLL1	4470	0.023015981540083885	0.5346385	Yes	
row_23	IFT172	IFT172	6614	0.011125716380774975	0.43166822	No	
row_24	IFT122	IFT122	6638	0.011030389927327633	0.4380127	No	
row_25	LCA5L	LCA5L	6651	0.010977539233863354	0.44488862	No	
row_26	IFT80	IFT80	7293	0.008441719226539135	0.41758037	No	
row_27	PCM1	PCM1	8261	0.005254758056253195	0.37127647	No	
row_28	LCA5	LCA5	8677	0.003931147512048483	0.3525489	No	
row_29	WDPCP	WDPCP	9452	0.0016224822029471397	0.3137227	No	
row_30	IFT74	IFT74	9618	0.0010952189331874251	0.30595744	No	
row_31	IFT140	IFT140	9626	0.0010638139210641384	0.3063226	No	
row_32	CEP131	CEP131	10059	-2.2016176080796868E-4	0.2841842	No	
row_33	SSX2IP	SSX2IP	10644	-0.0019585897680372	0.2553904	No	
row_34	CCDC38	CCDC38	10978	-0.0029799293261021376	0.24024409	No	
row_35	IFT88	IFT88	11204	-0.003782205982133746	0.23121773	No	
row_36	TTC21B	TTC21B	12869	-0.009499052539467812	0.15185048	No	
row_37	INTU	INTU	16197	-0.03370823711156845	0.0032110761	No	
row_38	IFT20	IFT20	16383	-0.035957466810941696	0.018216541	No	
row_39	TTC21A	TTC21A	18158	-0.07710036635398865	-0.020670453	No	
row_40	DAW1	DAW1	18897	-0.12571564316749573	0.027086888	No	
