NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNAI2	SNAI2	279	0.12174884229898453	0.015403215	No	
row_1	BMP4	BMP4	383	0.10878963023424149	0.036722664	No	
row_2	ADAMTS5	ADAMTS5	771	0.08157870918512344	0.03671193	No	
row_3	HEY2	HEY2	1443	0.060427963733673096	0.01685496	No	
row_4	TGFBR1	TGFBR1	2309	0.04484757035970688	-0.016836228	No	
row_5	EXOC4	EXOC4	2541	0.041523270308971405	-0.018598564	No	
row_6	BMPR1A	BMPR1A	2898	0.037389710545539856	-0.02782868	No	
row_7	RBPJ	RBPJ	3734	0.02894379012286663	-0.06386481	No	
row_8	NOG	NOG	4272	0.024415796622633934	-0.085619524	No	
row_9	MSX1	MSX1	4669	0.02160118892788887	-0.10078151	No	
row_10	SMAD2	SMAD2	4728	0.021160872653126717	-0.098595336	No	
row_11	WNT11	WNT11	4738	0.021118180826306343	-0.09388901	No	
row_12	SNAI1	SNAI1	5268	0.017656471580266953	-0.11688569	No	
row_13	TAF10	TAF10	5371	0.017034122720360756	-0.117982395	No	
row_14	TGFBR2	TGFBR2	5521	0.01618342474102974	-0.12171472	No	
row_15	ROBO2	ROBO2	6428	0.01191225927323103	-0.16558808	No	
row_16	TGFB1	TGFB1	6464	0.011741040274500847	-0.16452067	No	
row_17	FGFR1	FGFR1	7226	0.008701389655470848	-0.20169176	No	
row_18	ACVR1	ACVR1	8006	0.006108710076659918	-0.24042732	No	
row_19	ROBO1	ROBO1	8018	0.006041903048753738	-0.23951595	No	
row_20	TBX20	TBX20	8027	0.006025864277034998	-0.23845358	No	
row_21	FOXC2	FOXC2	8431	0.004745135083794594	-0.25810456	No	
row_22	ACTC1	ACTC1	8736	0.003730705939233303	-0.27289107	No	
row_23	SMAD3	SMAD3	11658	-0.005234162788838148	-0.42246413	No	
row_24	WNT5A	WNT5A	11831	-0.005748620722442865	-0.42993942	No	
row_25	MDM2	MDM2	12327	-0.007381610106676817	-0.45369613	No	
row_26	APC	APC	12392	-0.0076128640212118626	-0.45513725	No	
row_27	HEY1	HEY1	12991	-0.01002294197678566	-0.48356664	No	
row_28	TBX2	TBX2	13269	-0.01124546304345131	-0.49511865	No	
row_29	GATA5	GATA5	14036	-0.01538107916712761	-0.53091234	No	
row_30	TBX3	TBX3	14522	-0.01864767074584961	-0.5513939	No	
row_31	FGF8	FGF8	14873	-0.02117071859538555	-0.56428564	No	
row_32	SOX9	SOX9	14934	-0.02155303582549095	-0.5621067	No	
row_33	ENG	ENG	14984	-0.021937519311904907	-0.55926555	No	
row_34	SMAD4	SMAD4	15381	-0.0256344024091959	-0.57343996	No	
row_35	MYC	MYC	16821	-0.04233448579907417	-0.6373907	Yes	
row_36	MDM4	MDM4	16964	-0.04447869583964348	-0.63383293	Yes	
row_37	NOTCH1	NOTCH1	17212	-0.049398668110370636	-0.6344932	Yes	
row_38	HEYL	HEYL	17496	-0.055589061230421066	-0.6354968	Yes	
row_39	LEF1	LEF1	17589	-0.05768170952796936	-0.62612385	Yes	
row_40	ACTA2	ACTA2	17600	-0.058025021106004715	-0.61243194	Yes	
row_41	DCHS1	DCHS1	17818	-0.06450611352920532	-0.6078436	Yes	
row_42	FOXC1	FOXC1	17879	-0.06630975008010864	-0.5947053	Yes	
row_43	BMP2	BMP2	18332	-0.08525584638118744	-0.5971725	Yes	
row_44	TWIST1	TWIST1	18490	-0.09303095936775208	-0.58250064	Yes	
row_45	ACTG2	ACTG2	18622	-0.10196211189031601	-0.56429905	Yes	
row_46	TGFB3	TGFB3	18717	-0.10810568928718567	-0.5426823	Yes	
row_47	ACVRL1	ACVRL1	18808	-0.11607060581445694	-0.5189086	Yes	
row_48	OSR1	OSR1	18872	-0.1228155866265297	-0.49208888	Yes	
row_49	NOS3	NOS3	18912	-0.12766864895820618	-0.46284133	Yes	
row_50	TMEM100	TMEM100	18997	-0.1379186511039734	-0.43340793	Yes	
row_51	MSX2	MSX2	19006	-0.1386520266532898	-0.39986995	Yes	
row_52	TGFB2	TGFB2	19048	-0.1465643048286438	-0.36609876	Yes	
row_53	BMP5	BMP5	19132	-0.16361625492572784	-0.33032125	Yes	
row_54	WNT3A	WNT3A	19157	-0.17176386713981628	-0.28950164	Yes	
row_55	FOXF1	FOXF1	19167	-0.1735306829214096	-0.24747469	Yes	
row_56	ISL1	ISL1	19244	-0.19235455989837646	-0.20429862	Yes	
row_57	BMP7	BMP7	19304	-0.21276208758354187	-0.1552475	Yes	
row_58	APLNR	APLNR	19410	-0.3165382146835327	-0.083160795	Yes	
row_59	ACTA1	ACTA1	19416	-0.3419373035430908	3.097632E-4	Yes	
