NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WARS2	WARS2	8	0.30260902643203735	0.09024197	Yes	
row_1	MRPL43	MRPL43	400	0.106317900121212	0.101830795	Yes	
row_2	MRPL40	MRPL40	539	0.09458762407302856	0.123016275	Yes	
row_3	TARS2	TARS2	1014	0.07198143750429153	0.12001729	Yes	
row_4	NSUN3	NSUN3	1018	0.07181155681610107	0.14137535	Yes	
row_5	MRPL34	MRPL34	1165	0.06764383614063263	0.15407436	Yes	
row_6	RMND1	RMND1	1459	0.059979137033224106	0.15685938	Yes	
row_7	MRPS34	MRPS34	1471	0.059701915830373764	0.17417502	Yes	
row_8	MRPL50	MRPL50	1532	0.058288898319005966	0.1885281	Yes	
row_9	MPV17L2	MPV17L2	1561	0.05738051235675812	0.20426732	Yes	
row_10	RCC1L	RCC1L	1713	0.05442706495523453	0.21274771	Yes	
row_11	FASTKD3	FASTKD3	1727	0.05414348095655441	0.22829449	Yes	
row_12	MRPS33	MRPS33	1742	0.053797315806150436	0.24368575	Yes	
row_13	MRPS18A	MRPS18A	1765	0.053336355835199356	0.25852436	Yes	
row_14	MRPL16	MRPL16	1972	0.04984763637185097	0.26278263	Yes	
row_15	RARS2	RARS2	2085	0.047899700701236725	0.27132857	Yes	
row_16	MRPL33	MRPL33	2128	0.047324951738119125	0.2833298	Yes	
row_17	MRPS14	MRPS14	2135	0.04720642790198326	0.29716113	Yes	
row_18	MRPL24	MRPL24	2217	0.046092454344034195	0.30677208	Yes	
row_19	TRUB2	TRUB2	2295	0.04511507600545883	0.31629756	Yes	
row_20	MRPL35	MRPL35	2335	0.04456128925085068	0.32762632	Yes	
row_21	FASTKD2	FASTKD2	2476	0.042347077280282974	0.33305776	Yes	
row_22	DAP3	DAP3	2589	0.040918778628110886	0.33951235	Yes	
row_23	RPUSD3	RPUSD3	2625	0.04045115038752556	0.34981707	Yes	
row_24	MRPL18	MRPL18	2691	0.03971351683139801	0.35834616	Yes	
row_25	LARS2	LARS2	2694	0.039689403027296066	0.37013277	Yes	
row_26	MRPL53	MRPL53	3033	0.035897139459848404	0.36337128	Yes	
row_27	MTRF1	MTRF1	3065	0.03549760952591896	0.3723993	Yes	
row_28	MTRF1L	MTRF1L	3098	0.03504379093647003	0.38123953	Yes	
row_29	ALKBH1	ALKBH1	3105	0.03497131168842316	0.39140543	Yes	
row_30	MRPS23	MRPS23	3178	0.03410721570253372	0.3978922	Yes	
