NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS9	LGALS9	181	0.14274580776691437	0.022041025	No	
row_1	IL13RA2	IL13RA2	327	0.11577755212783813	0.04001131	No	
row_2	BCR	BCR	753	0.08306319266557693	0.03629817	No	
row_3	S100A13	S100A13	787	0.08056439459323883	0.05231569	No	
row_4	STXBP1	STXBP1	1269	0.0648745745420456	0.041703712	No	
row_5	GATA1	GATA1	1385	0.06187918409705162	0.049368005	No	
row_6	MYD88	MYD88	1932	0.0505363903939724	0.032238696	No	
row_7	SLC18A2	SLC18A2	2753	0.03898083418607712	-0.0016085167	No	
row_8	FER	FER	3796	0.02845497615635395	-0.049256835	No	
row_9	IFI35	IFI35	3910	0.027459748089313507	-0.04906161	No	
row_10	CLNK	CLNK	5313	0.01735866628587246	-0.117776066	No	
row_11	VAMP3	VAMP3	5400	0.01689867675304413	-0.1185075	No	
row_12	STXBP3	STXBP3	5458	0.016513628885149956	-0.11782331	No	
row_13	SNX6	SNX6	5845	0.014573502354323864	-0.13458702	No	
row_14	PLA2G3	PLA2G3	6017	0.013705259189009666	-0.14041856	No	
row_15	ENPP3	ENPP3	6291	0.012470769695937634	-0.15179875	No	
row_16	SPHK2	SPHK2	6430	0.011909859254956245	-0.15631802	No	
row_17	LYN	LYN	6971	0.009799155406653881	-0.18209943	No	
row_18	VAMP2	VAMP2	7007	0.00963679514825344	-0.18179001	No	
row_19	CD84	CD84	7128	0.00912002194672823	-0.18599182	No	
row_20	TICAM1	TICAM1	7608	0.007390174083411694	-0.20914733	No	
row_21	GAB2	GAB2	7724	0.007020182907581329	-0.21355246	No	
row_22	VAMP7	VAMP7	7756	0.006911960430443287	-0.21363558	No	
row_23	TREX1	TREX1	7948	0.006281629670411348	-0.2221351	No	
row_24	PYCARD	PYCARD	8139	0.005653630010783672	-0.23072104	No	
row_25	FES	FES	8934	0.003185492940247059	-0.27109838	No	
row_26	TREM2	TREM2	9157	0.002540034241974354	-0.2820249	No	
row_27	PDPK1	PDPK1	9468	0.001569475862197578	-0.29771766	No	
row_28	C12orf4	C12orf4	10275	-8.382766973227262E-4	-0.33923224	No	
row_29	CPLX2	CPLX2	10531	-0.0016057483153417706	-0.35207158	No	
row_30	CBL	CBL	10639	-0.001941133406944573	-0.35718024	No	
row_31	NR4A3	NR4A3	10831	-0.0025534825399518013	-0.36649996	No	
row_32	PTGDR	PTGDR	11185	-0.00370171875692904	-0.38394827	No	
row_33	MRGPRX2	MRGPRX2	11278	-0.004021753557026386	-0.38782313	No	
row_34	IL13	IL13	11418	-0.004477706737816334	-0.3940293	No	
row_35	SNAP23	SNAP23	11848	-0.0058068386279046535	-0.41494638	No	
row_36	RABGEF1	RABGEF1	12387	-0.007596522103995085	-0.44110888	No	
row_37	PRKCE	PRKCE	12540	-0.008152442052960396	-0.44717914	No	
row_38	SBNO2	SBNO2	12612	-0.00844365544617176	-0.4489947	No	
row_39	PTAFR	PTAFR	12821	-0.009346705861389637	-0.4576994	No	
row_40	STX4	STX4	13121	-0.010580104775726795	-0.47084066	No	
row_41	SCN11A	SCN11A	13328	-0.011517641134560108	-0.47896424	No	
row_42	GATA2	GATA2	13484	-0.012429112568497658	-0.4842488	No	
row_43	LAT	LAT	13491	-0.01248909067362547	-0.4818115	No	
row_44	IL4R	IL4R	13521	-0.012624277733266354	-0.4805344	No	
row_45	CCR2	CCR2	13740	-0.013665190897881985	-0.48880634	No	
row_46	GRN	GRN	13940	-0.014755760319530964	-0.49585536	No	
row_47	DNASE1	DNASE1	13962	-0.014920203946530819	-0.49365926	No	
row_48	IFNG	IFNG	15024	-0.022307157516479492	-0.5436431	No	
row_49	HAVCR2	HAVCR2	15151	-0.02341158501803875	-0.5450111	No	
row_50	PTGDS	PTGDS	15493	-0.026687053963541985	-0.5567816	No	
row_51	SPI1	SPI1	15610	-0.027751760557293892	-0.55667734	No	
row_52	BTK	BTK	15722	-0.028714006766676903	-0.5561027	No	
row_53	DOCK2	DOCK2	16279	-0.034609757363796234	-0.57725334	No	
row_54	PIK3CG	PIK3CG	16391	-0.03609277307987213	-0.57505536	No	
row_55	FGR	FGR	16661	-0.039561547338962555	-0.5802684	No	
row_56	TYROBP	TYROBP	16861	-0.04303206130862236	-0.5810964	Yes	
row_57	ITGB2	ITGB2	16871	-0.04315502569079399	-0.5720676	Yes	
row_58	CD177	CD177	16900	-0.04354306682944298	-0.5639364	Yes	
row_59	LAT2	LAT2	17004	-0.04516562819480896	-0.5593284	Yes	
row_60	IL33	IL33	17091	-0.04688636213541031	-0.55346227	Yes	
row_61	PTPN6	PTPN6	17093	-0.04690447822213173	-0.54319465	Yes	
row_62	LBP	LBP	17224	-0.049540966749191284	-0.5390209	Yes	
row_63	SYK	SYK	17226	-0.04958707094192505	-0.52816314	Yes	
row_64	SNX4	SNX4	17314	-0.05119079351425171	-0.52140176	Yes	
row_65	CHGA	CHGA	17348	-0.05224010720849037	-0.5116158	Yes	
row_66	FCER1G	FCER1G	17482	-0.05521639809012413	-0.5063486	Yes	
row_67	VAMP8	VAMP8	17507	-0.05580850690603256	-0.49531198	Yes	
row_68	ITGAM	ITGAM	17534	-0.056257303804159164	-0.48428005	Yes	
row_69	ADORA2B	ADORA2B	17538	-0.05632597208023071	-0.4720431	Yes	
row_70	SUCNR1	SUCNR1	17814	-0.06427828967571259	-0.4721287	Yes	
row_71	STXBP2	STXBP2	17856	-0.06559672951698303	-0.45981807	Yes	
row_72	PLCG2	PLCG2	17890	-0.0666060745716095	-0.4468715	Yes	
row_73	SLAMF1	SLAMF1	18144	-0.07644376158714294	-0.4431424	Yes	
row_74	KIT	KIT	18159	-0.07710602879524231	-0.42690277	Yes	
row_75	PIK3CD	PIK3CD	18171	-0.0777207687497139	-0.4103727	Yes	
row_76	RAC2	RAC2	18271	-0.08177906274795532	-0.3975025	Yes	
row_77	DNASE1L3	DNASE1L3	18312	-0.08414288610219955	-0.38105986	Yes	
row_78	CD300A	CD300A	18347	-0.08594178408384323	-0.363911	Yes	
row_79	RASGRP1	RASGRP1	18368	-0.08663962781429291	-0.34588432	Yes	
row_80	GRP	GRP	18499	-0.09370701760053635	-0.3319937	Yes	
row_81	NMI	NMI	18555	-0.09762069582939148	-0.31336185	Yes	
row_82	TNF	TNF	18593	-0.10033243149518967	-0.29320213	Yes	
row_83	UNC13D	UNC13D	18664	-0.10461045801639557	-0.27380854	Yes	
row_84	F2RL1	F2RL1	18817	-0.11650831997394562	-0.25603962	Yes	
row_85	ANXA3	ANXA3	18847	-0.11981383711099625	-0.23117998	Yes	
row_86	DYSF	DYSF	18891	-0.12506525218486786	-0.20588928	Yes	
row_87	LILRA2	LILRA2	18942	-0.13065694272518158	-0.17973052	Yes	
row_88	PRAM1	PRAM1	18943	-0.13086707890033722	-0.15093875	Yes	
row_89	CX3CR1	CX3CR1	19003	-0.13849329948425293	-0.123521544	Yes	
row_90	FCER1A	FCER1A	19037	-0.14424246549606323	-0.09349436	Yes	
row_91	CCL3	CCL3	19147	-0.16818290948867798	-0.062132	Yes	
row_92	SCNN1B	SCNN1B	19162	-0.17307476699352264	-0.024778504	Yes	
row_93	FOXF1	FOXF1	19167	-0.1735306829214096	0.013192658	Yes	
