NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1L1	ALDH1L1	37	0.2203405350446701	0.19643241	Yes	
row_1	ACACB	ACACB	200	0.13739705085754395	0.3117603	Yes	
row_2	RBKS	RBKS	240	0.127468541264534	0.4244909	Yes	
row_3	PGD	PGD	1272	0.06484243273735046	0.42971724	Yes	
row_4	G6PD	G6PD	1447	0.06033278629183769	0.47505718	Yes	
row_5	PRPS2	PRPS2	1584	0.05687113106250763	0.5192398	Yes	
row_6	RPTOR	RPTOR	2072	0.04816694185137749	0.53749543	Yes	
row_7	NNT	NNT	2093	0.047784458845853806	0.5794778	Yes	
row_8	H6PD	H6PD	2384	0.0438779853284359	0.60402685	Yes	
row_9	DERA	DERA	3102	0.035005297511816025	0.59858	No	
row_10	RPE	RPE	4763	0.020946254953742027	0.5318722	No	
row_11	ALDH1L2	ALDH1L2	5286	0.01753108948469162	0.52074695	No	
row_12	PGLS	PGLS	6135	0.013202706351876259	0.4889223	No	
row_13	TP53	TP53	6748	0.010618173517286777	0.4669355	No	
row_14	SHPK	SHPK	7367	0.008173536509275436	0.44243887	No	
row_15	MLST8	MLST8	8685	0.003910460509359837	0.37807575	No	
row_16	TALDO1	TALDO1	10139	-4.3121929047629237E-4	0.30357087	No	
row_17	MTOR	MTOR	13857	-0.01433093287050724	0.1248828	No	
row_18	TIGAR	TIGAR	15221	-0.02402827888727188	0.07625775	No	
row_19	ALDOB	ALDOB	16569	-0.03843151405453682	0.041422468	No	
row_20	RPIA	RPIA	17609	-0.05815134570002556	0.040213466	No	
row_21	TKT	TKT	17633	-0.059083107858896255	0.09221162	No	
