NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NGB	NGB	2653	0.040113985538482666	-0.11831868	No	
row_1	IPCEF1	IPCEF1	9637	0.0010286084143444896	-0.47764754	No	
row_2	MB	MB	16781	-0.04171726107597351	-0.8265796	No	
row_3	HBB	HBB	17260	-0.050217851996421814	-0.8282022	Yes	
row_4	CYGB	CYGB	17543	-0.05640507489442825	-0.81689125	Yes	
row_5	HBA1	HBA1	17976	-0.0697547122836113	-0.8071932	Yes	
row_6	HBA2	HBA2	18539	-0.09683753550052643	-0.7917859	Yes	
row_7	BPGM	BPGM	18829	-0.11736986041069031	-0.75290567	Yes	
row_8	HBE1	HBE1	18990	-0.13707391917705536	-0.6983517	Yes	
row_9	HBM	HBM	19155	-0.17033573985099792	-0.6287654	Yes	
row_10	HBD	HBD	19348	-0.2405616044998169	-0.5284491	Yes	
row_11	HBQ1	HBQ1	19370	-0.2557762563228607	-0.41235164	Yes	
row_12	HBG2	HBG2	19398	-0.29316332936286926	-0.27943513	Yes	
row_13	HBG1	HBG1	19402	-0.29819613695144653	-0.14297628	Yes	
row_14	HBZ	HBZ	19407	-0.31422170996665955	7.728669E-4	Yes	
