NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3A	SEMA3A	4080	0.02602449059486389	-0.18519807	No	
row_1	PHOX2B	PHOX2B	5857	0.014505031518638134	-0.26275375	No	
row_2	GDNF	GDNF	7994	0.006130882538855076	-0.36692864	No	
row_3	PLXNA3	PLXNA3	9432	0.0016912114806473255	-0.43935648	No	
row_4	HOXB1	HOXB1	9875	3.238558419980109E-4	-0.46182334	No	
row_5	SIX1	SIX1	10156	-4.788423248101026E-4	-0.4757921	No	
row_6	PHOX2A	PHOX2A	11125	-0.003482818603515625	-0.5223239	No	
row_7	PLXNA4	PLXNA4	12425	-0.007739888969808817	-0.5818135	No	
row_8	TBX1	TBX1	12773	-0.009125680662691593	-0.5909062	No	
row_9	NRP2	NRP2	14980	-0.021903112530708313	-0.6834961	No	
row_10	ADARB1	ADARB1	17413	-0.0536147803068161	-0.7571872	Yes	
row_11	ACKR3	ACKR3	17493	-0.055506907403469086	-0.707792	Yes	
row_12	HOXB2	HOXB2	18235	-0.08004244416952133	-0.6688798	Yes	
row_13	NAV2	NAV2	18286	-0.0828482061624527	-0.5916539	Yes	
row_14	NRP1	NRP1	18658	-0.10388310253620148	-0.51070917	Yes	
row_15	SEMA3F	SEMA3F	18723	-0.10856733471155167	-0.409431	Yes	
row_16	EGR2	EGR2	19024	-0.14162619411945343	-0.2884716	Yes	
row_17	TFAP2A	TFAP2A	19086	-0.154519185423851	-0.14277613	Yes	
row_18	HES1	HES1	19139	-0.1661480814218521	0.014584603	Yes	
