NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP2R1B	PPP2R1B	1372	0.06221563369035721	-0.044612296	No	
row_1	SRPX	SRPX	1873	0.05144139379262924	-0.048752073	No	
row_2	TLR4	TLR4	1977	0.049735862761735916	-0.033117857	No	
row_3	BMPR1B	BMPR1B	3014	0.0361253023147583	-0.07137681	No	
row_4	GPER1	GPER1	3136	0.03457441180944443	-0.06305838	No	
row_5	BCL10	BCL10	3227	0.03360174968838692	-0.053549506	No	
row_6	HTRA2	HTRA2	3464	0.03129633143544197	-0.05254804	No	
row_7	PTPRC	PTPRC	3617	0.029975466430187225	-0.047767047	No	
row_8	TNFSF12	TNFSF12	4130	0.02559889666736126	-0.06341222	No	
row_9	FADD	FADD	5196	0.018055137246847153	-0.11078003	No	
row_10	FAF1	FAF1	5899	0.01425450574606657	-0.14101142	No	
row_11	INHBA	INHBA	6120	0.013278828002512455	-0.14677382	No	
row_12	PAK2	PAK2	6179	0.013052482157945633	-0.14426939	No	
row_13	CAV1	CAV1	6422	0.011942708864808083	-0.15173022	No	
row_14	WWOX	WWOX	6435	0.011884055100381374	-0.14734356	No	
row_15	AGT	AGT	6595	0.01121105719357729	-0.15082829	No	
row_16	PPP1CA	PPP1CA	7546	0.007577804382890463	-0.1966735	No	
row_17	BID	BID	7783	0.006828651763498783	-0.20597889	No	
row_18	PYCARD	PYCARD	8139	0.005653630010783672	-0.2219218	No	
row_19	PDIA3	PDIA3	8231	0.00531338294968009	-0.22438084	No	
row_20	TLR6	TLR6	8260	0.005255457013845444	-0.22361231	No	
row_21	RIPK1	RIPK1	8404	0.004814295098185539	-0.22896573	No	
row_22	PPP2R1A	PPP2R1A	8530	0.004431898705661297	-0.2335511	No	
row_23	HYAL2	HYAL2	8536	0.004418580327183008	-0.2319479	No	
row_24	DEDD2	DEDD2	9358	0.0018970445962622762	-0.27352735	No	
row_25	PML	PML	9647	9.979914175346494E-4	-0.28797302	No	
row_26	ZSWIM2	ZSWIM2	10918	-0.0028050770051777363	-0.35234654	No	
row_27	RBCK1	RBCK1	11917	-0.0060623809695243835	-0.4013078	No	
row_28	AGTR2	AGTR2	12133	-0.006806807592511177	-0.4095384	No	
row_29	PEA15	PEA15	12215	-0.007060079835355282	-0.41074544	No	
row_30	SKIL	SKIL	12752	-0.009032830595970154	-0.4346078	No	
row_31	CYLD	CYLD	13069	-0.010359250009059906	-0.4465554	No	
row_32	CTNNA1	CTNNA1	13453	-0.012293834239244461	-0.4611465	No	
row_33	STK4	STK4	16075	-0.032209742814302444	-0.5828697	No	
row_34	LTBR	LTBR	16659	-0.039509255439043045	-0.59632015	No	
row_35	STK3	STK3	16945	-0.04430713504552841	-0.5923673	No	
row_36	TNFSF10	TNFSF10	17035	-0.04572214558720589	-0.57770115	No	
row_37	TRAF2	TRAF2	18365	-0.0864570215344429	-0.60988235	Yes	
row_38	G0S2	G0S2	18439	-0.0903400331735611	-0.5755954	Yes	
row_39	TNFRSF12A	TNFRSF12A	18533	-0.09660672396421432	-0.5397009	Yes	
row_40	TNF	TNF	18593	-0.10033243149518967	-0.500482	Yes	
row_41	NF1	NF1	18700	-0.10707417130470276	-0.46084931	Yes	
row_42	ITM2C	ITM2C	18730	-0.10930956900119781	-0.41630033	Yes	
row_43	MAL	MAL	18734	-0.10976893454790115	-0.37021574	Yes	
row_44	THBS1	THBS1	18820	-0.11675246804952621	-0.3254221	Yes	
row_45	RET	RET	18839	-0.11909369379281998	-0.27618384	Yes	
row_46	ATF3	ATF3	18957	-0.1329912394285202	-0.2262015	Yes	
row_47	PMAIP1	PMAIP1	19145	-0.16787496209144592	-0.16513793	Yes	
row_48	LTB	LTB	19222	-0.18579299747943878	-0.09079687	Yes	
row_49	SFRP1	SFRP1	19347	-0.23993019759655	0.0038714332	Yes	
