NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	IL1B	96	0.17391660809516907	0.15201409	Yes	
row_1	OXT	OXT	111	0.1652531623840332	0.3004359	Yes	
row_2	IL1A	IL1A	121	0.16241909563541412	0.44655764	Yes	
row_3	PLA2R1	PLA2R1	147	0.15392546355724335	0.58418906	Yes	
row_4	EDN1	EDN1	1401	0.061457470059394836	0.575071	Yes	
row_5	CYP4A11	CYP4A11	1728	0.05412561818957329	0.6071169	Yes	
row_6	ACSL5	ACSL5	3551	0.030525829643011093	0.54075426	No	
row_7	FABP3	FABP3	3722	0.029060104861855507	0.55821896	No	
row_8	ACSL1	ACSL1	4429	0.023256570100784302	0.5428185	No	
row_9	PLA2G3	PLA2G3	6017	0.013705259189009666	0.47338778	No	
row_10	CYP4F2	CYP4F2	6478	0.011666996404528618	0.46020728	No	
row_11	TNFRSF11A	TNFRSF11A	7984	0.00615133810788393	0.38818565	No	
row_12	P2RX7	P2RX7	9356	0.0019039150793105364	0.3192375	No	
row_13	SSTR4	SSTR4	9787	5.879115778952837E-4	0.2976043	No	
row_14	TNFSF11	TNFSF11	10278	-8.423469844274223E-4	0.2731081	No	
row_15	AVPR1B	AVPR1B	13691	-0.013397365808486938	0.10933219	No	
row_16	MAP2K6	MAP2K6	14159	-0.016142359003424644	0.09982998	No	
row_17	PLA2G10	PLA2G10	14448	-0.01810692436993122	0.10132715	No	
row_18	NTSR1	NTSR1	14649	-0.019477827474474907	0.108597435	No	
row_19	MIF	MIF	15611	-0.027764566242694855	0.08412183	No	
row_20	PLA2G4A	PLA2G4A	16882	-0.043248143047094345	0.057693373	No	
row_21	PTGES	PTGES	18259	-0.08108032494783401	0.05994538	No	
