NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP1B1	CYP1B1	199	0.13759468495845795	0.027804682	No	
row_1	PRLR	PRLR	977	0.07311269640922546	0.007924496	No	
row_2	ERBB4	ERBB4	1051	0.07086922973394394	0.023768313	No	
row_3	IL6R	IL6R	2274	0.045366812497377396	-0.02676401	No	
row_4	CAMK2A	CAMK2A	3448	0.0314147062599659	-0.07862779	No	
row_5	PTK2B	PTK2B	4526	0.02266712673008442	-0.12795627	No	
row_6	F2R	F2R	4588	0.022175127640366554	-0.12496867	No	
row_7	IL26	IL26	5075	0.018851827830076218	-0.14484192	No	
row_8	IL23A	IL23A	5964	0.013973829336464405	-0.18681885	No	
row_9	IL5	IL5	5999	0.013789089396595955	-0.18475811	No	
row_10	TSLP	TSLP	6079	0.013434257358312607	-0.18511876	No	
row_11	CRLF2	CRLF2	6199	0.012958860024809837	-0.18767601	No	
row_12	TGFB1	TGFB1	6464	0.011741040274500847	-0.19805609	No	
row_13	AGT	AGT	6595	0.01121105719357729	-0.20166492	No	
row_14	PRL	PRL	7764	0.006896442733705044	-0.2600558	No	
row_15	IL4	IL4	8145	0.005627190228551626	-0.2781165	No	
row_16	IL12B	IL12B	8416	0.004779139533638954	-0.29073298	No	
row_17	VEGFA	VEGFA	8585	0.004216269124299288	-0.29823938	No	
row_18	IFNL1	IFNL1	8720	0.003787148045375943	-0.30410922	No	
row_19	PIBF1	PIBF1	10651	-0.00199304916895926	-0.40319628	No	
row_20	IL23R	IL23R	11270	-0.004002925008535385	-0.43399352	No	
row_21	WDR48	WDR48	11544	-0.004831341095268726	-0.44675043	No	
row_22	JAK2	JAK2	11913	-0.006047338712960482	-0.46407533	No	
row_23	EP300	EP300	12106	-0.006713622249662876	-0.4721296	No	
row_24	OCIAD1	OCIAD1	12776	-0.009144232608377934	-0.504137	No	
row_25	ADIPOR1	ADIPOR1	13392	-0.011933019384741783	-0.5325847	No	
row_26	MGAT5	MGAT5	14215	-0.016496485099196434	-0.5704562	No	
row_27	USP1	USP1	14517	-0.018625222146511078	-0.5808413	No	
row_28	TYK2	TYK2	15158	-0.02348744124174118	-0.6073821	No	
row_29	CALM1	CALM1	15172	-0.023602349683642387	-0.6015215	No	
row_30	OCIAD2	OCIAD2	15668	-0.02837727963924408	-0.61922324	No	
row_31	CRLF3	CRLF3	15891	-0.03033520095050335	-0.62228924	No	
row_32	HES5	HES5	16120	-0.03271704167127609	-0.62500584	No	
row_33	IL10	IL10	16137	-0.032941654324531555	-0.6167155	No	
row_34	IL10RB	IL10RB	17137	-0.047765035182237625	-0.6550715	Yes	
row_35	NOTCH1	NOTCH1	17212	-0.049398668110370636	-0.6452211	Yes	
row_36	CCL5	CCL5	17353	-0.05241023376584053	-0.63794464	Yes	
row_37	NLK	NLK	17517	-0.055909279733896255	-0.6308872	Yes	
row_38	GHR	GHR	17540	-0.05636335164308548	-0.61642486	Yes	
row_39	IL10RA	IL10RA	17577	-0.05741352215409279	-0.60239464	Yes	
row_40	IL7R	IL7R	17820	-0.06455627083778381	-0.5970227	Yes	
row_41	KIT	KIT	18159	-0.07710602879524231	-0.59313387	Yes	
row_42	CENPJ	CENPJ	18282	-0.08269297331571579	-0.5765476	Yes	
row_43	CD300A	CD300A	18347	-0.08594178408384323	-0.55606794	Yes	
row_44	TNF	TNF	18593	-0.10033243149518967	-0.5409501	Yes	
row_45	HES1	HES1	19139	-0.1661480814218521	-0.52310616	Yes	
row_46	LEP	LEP	19172	-0.17543824017047882	-0.476207	Yes	
row_47	IL6	IL6	19332	-0.22903284430503845	-0.42103243	Yes	
row_48	GH2	GH2	19351	-0.24366095662117004	-0.35453033	Yes	
row_49	CSHL1	CSHL1	19408	-0.31488993763923645	-0.27027798	Yes	
row_50	GH1	GH1	19409	-0.3155275881290436	-0.18295807	Yes	
row_51	CSH1	CSH1	19411	-0.32520225644111633	-0.0930124	Yes	
row_52	CSH2	CSH2	19415	-0.337963730096817	3.616654E-4	Yes	
