NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	APOA1	2	0.37892940640449524	0.18497066	Yes	
row_1	FGB	FGB	113	0.16432788968086243	0.2595545	Yes	
row_2	OLFM4	OLFM4	293	0.11976304650306702	0.30881196	Yes	
row_3	CARMIL1	CARMIL1	355	0.11280212551355362	0.36075836	Yes	
row_4	FGG	FGG	374	0.10995599627494812	0.41353345	Yes	
row_5	MDK	MDK	411	0.10482405126094818	0.46287325	Yes	
row_6	FLNA	FLNA	623	0.08992572873830795	0.4959066	Yes	
row_7	LIMS2	LIMS2	758	0.08263353258371353	0.5293515	Yes	
row_8	DOCK5	DOCK5	1278	0.06472784280776978	0.5341852	Yes	
row_9	FGA	FGA	2008	0.049140408635139465	0.52056986	Yes	
row_10	FERMT2	FERMT2	2167	0.04680744186043739	0.5352785	Yes	
row_11	CDC42	CDC42	2701	0.03955650329589844	0.5270958	No	
row_12	TRIOBP	TRIOBP	3423	0.031680312007665634	0.50536555	No	
row_13	ITGB3	ITGB3	3965	0.027026837691664696	0.49065042	No	
row_14	HAS2	HAS2	4057	0.02627401426434517	0.4987874	No	
row_15	TESK1	TESK1	4383	0.02351538836956024	0.49350277	No	
row_16	ABL1	ABL1	4808	0.020697111263871193	0.48173326	No	
row_17	P4HB	P4HB	4874	0.02022279053926468	0.48825637	No	
row_18	CRK	CRK	5124	0.018488431349396706	0.48443803	No	
row_19	ARPC2	ARPC2	5703	0.01526169665157795	0.46206748	No	
row_20	CASS4	CASS4	6445	0.011841431260108948	0.42961568	No	
row_21	ILK	ILK	6897	0.010063285008072853	0.4112593	No	
row_22	RAC3	RAC3	7006	0.0096398014575243	0.41039476	No	
row_23	RREB1	RREB1	7247	0.008585121482610703	0.40220392	No	
row_24	C1QBP	C1QBP	7257	0.00855559017509222	0.40591818	No	
row_25	MYOC	MYOC	9330	0.0019877348095178604	0.29997468	No	
row_26	HTN1	HTN1	9831	4.400425823405385E-4	0.2743898	No	
row_27	CALR	CALR	10199	-5.816166521981359E-4	0.25573683	No	
row_28	LIMS1	LIMS1	10688	-0.0021096484269946814	0.2315866	No	
row_29	MYADM	MYADM	10893	-0.0027338494546711445	0.22239554	No	
row_30	BRAF	BRAF	11253	-0.003953741397708654	0.20580234	No	
row_31	CIB1	CIB1	11644	-0.005182258319109678	0.18820958	No	
row_32	ARHGEF7	ARHGEF7	11959	-0.006204431410878897	0.17503762	No	
row_33	CRKL	CRKL	13769	-0.01381673477590084	0.088442236	No	
row_34	RAC1	RAC1	14108	-0.015843838453292847	0.078739904	No	
row_35	PREX1	PREX1	14147	-0.016064243391156197	0.0846251	No	
row_36	DOCK1	DOCK1	15396	-0.02584332786500454	0.032851018	No	
row_37	CSPG5	CSPG5	15472	-0.026506787165999413	0.041927297	No	
row_38	S100A10	S100A10	16011	-0.031556546688079834	0.029579328	No	
row_39	NEDD9	NEDD9	16895	-0.04350685700774193	0.0052661854	No	
row_40	DAB2	DAB2	17119	-0.04737856611609459	0.016899763	No	
row_41	NRP1	NRP1	18658	-0.10388310253620148	-0.0117226	No	
row_42	UNC13D	UNC13D	18664	-0.10461045801639557	0.03911246	No	
