NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTF1	CTF1	482	0.09952887892723083	-4.7297566E-4	No	
row_1	FYN	FYN	686	0.08589377254247665	0.0101186745	No	
row_2	HSF1	HSF1	885	0.07688111066818237	0.018757045	No	
row_3	ERBB4	ERBB4	1051	0.07086922973394394	0.027624676	No	
row_4	CLCF1	CLCF1	1184	0.06700321286916733	0.03724812	No	
row_5	IL6R	IL6R	2274	0.045366812497377396	-0.00786685	No	
row_6	HCLS1	HCLS1	2996	0.03638125956058502	-0.036179416	No	
row_7	ARL2BP	ARL2BP	3036	0.035879313945770264	-0.029389694	No	
row_8	IL6ST	IL6ST	4296	0.024234149605035782	-0.08847074	No	
row_9	TNFRSF1A	TNFRSF1A	4824	0.020558658987283707	-0.11064572	No	
row_10	IL2	IL2	5667	0.015384219586849213	-0.15036023	No	
row_11	IL23A	IL23A	5964	0.013973829336464405	-0.1622198	No	
row_12	TSLP	TSLP	6079	0.013434257358312607	-0.16481142	No	
row_13	PARP9	PARP9	6082	0.013419794850051403	-0.16162176	No	
row_14	LYN	LYN	6971	0.009799155406653881	-0.20508264	No	
row_15	IL3	IL3	7839	0.006645053159445524	-0.24823281	No	
row_16	IL4	IL4	8145	0.005627190228551626	-0.26260534	No	
row_17	CNTF	CNTF	8217	0.005372599232941866	-0.26495418	No	
row_18	IL12B	IL12B	8416	0.004779139533638954	-0.2740082	No	
row_19	IFNL1	IFNL1	8720	0.003787148045375943	-0.28872892	No	
row_20	PIBF1	PIBF1	10651	-0.00199304916895926	-0.38792482	No	
row_21	IL15	IL15	10838	-0.0025751993525773287	-0.39689985	No	
row_22	EPO	EPO	10872	-0.002664585132151842	-0.39795047	No	
row_23	IL21	IL21	10884	-0.0026997753884643316	-0.39785615	No	
row_24	IL23R	IL23R	11270	-0.004002925008535385	-0.41675925	No	
row_25	IL13	IL13	11418	-0.004477706737816334	-0.4232531	No	
row_26	TNFSF18	TNFSF18	11719	-0.005407069344073534	-0.43742138	No	
row_27	PARP14	PARP14	11737	-0.005457584746181965	-0.43696025	No	
row_28	JAK2	JAK2	11913	-0.006047338712960482	-0.44451514	No	
row_29	IL31RA	IL31RA	12121	-0.006758572068065405	-0.4535483	No	
row_30	PTK6	PTK6	12594	-0.008334006182849407	-0.4758822	No	
row_31	FLT3	FLT3	13866	-0.014371792785823345	-0.5380031	No	
row_32	IL24	IL24	13982	-0.015057726763188839	-0.540248	No	
row_33	OSBP	OSBP	14654	-0.01952476240694523	-0.5701143	No	
row_34	HDAC2	HDAC2	14872	-0.021167920902371407	-0.57612824	No	
row_35	IFNG	IFNG	15024	-0.022307157516479492	-0.57845366	No	
row_36	CD40	CD40	15137	-0.02328578755259514	-0.5785246	No	
row_37	IL18	IL18	15854	-0.029957832768559456	-0.60815513	No	
row_38	IGF1	IGF1	16109	-0.03251855820417404	-0.61329484	No	
row_39	HES5	HES5	16120	-0.03271704167127609	-0.6057832	No	
row_40	HPX	HPX	16584	-0.038631439208984375	-0.6202179	No	
row_41	LIF	LIF	16972	-0.04457396641373634	-0.62926894	Yes	
row_42	CSF1R	CSF1R	17139	-0.04779042303562164	-0.62611604	Yes	
row_43	OSM	OSM	17298	-0.050911594182252884	-0.6217841	Yes	
row_44	CCL5	CCL5	17353	-0.05241023376584053	-0.61171275	Yes	
row_45	GHR	GHR	17540	-0.05636335164308548	-0.6074892	Yes	
row_46	CSF2	CSF2	17689	-0.06059744209051132	-0.6002641	Yes	
row_47	TNFRSF18	TNFRSF18	17762	-0.06264439970254898	-0.5886111	Yes	
row_48	CRLF1	CRLF1	17839	-0.0650617852807045	-0.5765717	Yes	
row_49	KIT	KIT	18159	-0.07710602879524231	-0.5741278	Yes	
row_50	FGFR3	FGFR3	18479	-0.0926152691245079	-0.56787825	Yes	
row_51	TNF	TNF	18593	-0.10033243149518967	-0.5490951	Yes	
row_52	IL12A	IL12A	18737	-0.10990376770496368	-0.5295129	Yes	
row_53	HES1	HES1	19139	-0.1661480814218521	-0.50945514	Yes	
row_54	LEP	LEP	19172	-0.17543824017047882	-0.46805885	Yes	
row_55	ISL1	ISL1	19244	-0.19235455989837646	-0.42452598	Yes	
row_56	IL6	IL6	19332	-0.22903284430503845	-0.37281936	Yes	
row_57	GH2	GH2	19351	-0.24366095662117004	-0.31395945	Yes	
row_58	CSHL1	CSHL1	19408	-0.31488993763923645	-0.23958406	Yes	
row_59	GH1	GH1	19409	-0.3155275881290436	-0.16215979	Yes	
row_60	CSH1	CSH1	19411	-0.32520225644111633	-0.08241318	Yes	
row_61	CSH2	CSH2	19415	-0.337963730096817	3.61536E-4	Yes	
