NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APOA1	APOA1	2	0.37892940640449524	0.2372696	Yes	
row_1	APOC3	APOC3	39	0.21615789830684662	0.37082112	Yes	
row_2	SOAT1	SOAT1	388	0.10803837329149246	0.42055592	Yes	
row_3	SOAT2	SOAT2	738	0.08364833891391754	0.4549605	Yes	
row_4	APOM	APOM	756	0.08277128636837006	0.50593436	Yes	
row_5	DGAT1	DGAT1	1254	0.06518512219190598	0.52114177	Yes	
row_6	PLAGL2	PLAGL2	1262	0.0650515928864479	0.56153107	Yes	
row_7	PRKACB	PRKACB	2346	0.04443124309182167	0.5335221	No	
row_8	APOC1	APOC1	2829	0.038169801235198975	0.5325798	No	
row_9	PRKACG	PRKACG	3126	0.03473879396915436	0.5390788	No	
row_10	APOB	APOB	4154	0.025439878925681114	0.50206053	No	
row_11	ABCA1	ABCA1	4661	0.021667273715138435	0.48954302	No	
row_12	APOE	APOE	4924	0.019878143444657326	0.48848596	No	
row_13	CIDEB	CIDEB	5027	0.019164860248565674	0.49523205	No	
row_14	NR1H2	NR1H2	5275	0.017621979117393494	0.49353507	No	
row_15	APOA2	APOA2	5549	0.01602383889257908	0.48949638	No	
row_16	BIN1	BIN1	5776	0.014861581847071648	0.48715302	No	
row_17	APOA4	APOA4	7303	0.00840053241699934	0.41373125	No	
row_18	FECH	FECH	7647	0.007283071056008339	0.4006077	No	
row_19	ABCA7	ABCA7	9666	9.453909005969763E-4	0.29714713	No	
row_20	MTTP	MTTP	10393	-0.0011720347683876753	0.26044706	No	
row_21	PCDHGA3	PCDHGA3	11340	-0.004232797306030989	0.21432063	No	
row_22	PRKACA	PRKACA	12737	-0.008977348916232586	0.14796329	No	
row_23	SNX9	SNX9	12842	-0.00941689033061266	0.14849983	No	
row_24	ACSL3	ACSL3	13645	-0.013194037601351738	0.11541197	No	
row_25	ZDHHC8	ZDHHC8	14025	-0.015336701646447182	0.105477214	No	
row_26	LPCAT3	LPCAT3	14658	-0.019540000706911087	0.08513025	No	
row_27	MFSD2A	MFSD2A	18867	-0.12239852547645569	-0.055169966	No	
row_28	LCAT	LCAT	18964	-0.13367097079753876	0.023615545	No	
