NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	IL1B	96	0.17391660809516907	0.15687135	Yes	
row_1	OXT	OXT	111	0.1652531623840332	0.30990803	Yes	
row_2	IL1A	IL1A	121	0.16241909563541412	0.46056548	Yes	
row_3	PLA2R1	PLA2R1	147	0.15392546355724335	0.6024955	Yes	
row_4	EDN1	EDN1	1401	0.061457470059394836	0.59510034	Yes	
row_5	CYP4A11	CYP4A11	1728	0.05412561818957329	0.6286595	Yes	
row_6	PLA2G3	PLA2G3	6017	0.013705259189009666	0.42041466	No	
row_7	CYP4F2	CYP4F2	6478	0.011666996404528618	0.40756243	No	
row_8	TNFRSF11A	TNFRSF11A	7984	0.00615133810788393	0.33572057	No	
row_9	P2RX7	P2RX7	9356	0.0019039150793105364	0.26683286	No	
row_10	SSTR4	SSTR4	9787	5.879115778952837E-4	0.24521837	No	
row_11	TNFSF11	TNFSF11	10278	-8.423469844274223E-4	0.22074829	No	
row_12	AVPR1B	AVPR1B	13691	-0.013397365808486938	0.05736464	No	
row_13	MAP2K6	MAP2K6	14159	-0.016142359003424644	0.048315696	No	
row_14	PLA2G10	PLA2G10	14448	-0.01810692436993122	0.050320048	No	
row_15	NTSR1	NTSR1	14649	-0.019477827474474907	0.05813532	No	
row_16	MIF	MIF	15611	-0.027764566242694855	0.03444017	No	
row_17	PLA2G4A	PLA2G4A	16882	-0.043248143047094345	0.009226195	No	
row_18	SYK	SYK	17226	-0.04958707094192505	0.03768633	No	
row_19	PTGES	PTGES	18259	-0.08108032494783401	0.05993909	No	
