NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNB2	CACNB2	231	0.1301782876253128	0.17496717	Yes	
row_1	STAC2	STAC2	475	0.100118488073349	0.30616397	Yes	
row_2	GNB5	GNB5	1031	0.07136710733175278	0.38000396	Yes	
row_3	CACNB3	CACNB3	1182	0.06704980134963989	0.46852368	Yes	
row_4	CACNA2D1	CACNA2D1	2714	0.03943103924393654	0.44620657	Yes	
row_5	CRHR1	CRHR1	3086	0.0351872481405735	0.4775943	Yes	
row_6	NPPA	NPPA	3123	0.03481084108352661	0.5257106	Yes	
row_7	SRI	SRI	3728	0.02900669351220131	0.53621495	Yes	
row_8	NOS1AP	NOS1AP	3959	0.02707274816930294	0.56322247	Yes	
row_9	AHNAK	AHNAK	4427	0.02326289564371109	0.5725437	Yes	
row_10	GPR35	GPR35	4862	0.020350446924567223	0.57938504	Yes	
row_11	CALM3	CALM3	4972	0.019494568929076195	0.60175127	Yes	
row_12	CBARP	CBARP	5708	0.015221701003611088	0.585714	No	
row_13	DRD3	DRD3	7554	0.007555972319096327	0.5014528	No	
row_14	CACNB4	CACNB4	7723	0.0070289247669279575	0.5028828	No	
row_15	DMD	DMD	7794	0.006775182206183672	0.50900036	No	
row_16	DRD4	DRD4	7817	0.0067279222421348095	0.5175244	No	
row_17	FMR1	FMR1	8841	0.003442789427936077	0.46973196	No	
row_18	CACNB1	CACNB1	8989	0.0030468469485640526	0.4665281	No	
row_19	DRD2	DRD2	9120	0.002643341664224863	0.46362132	No	
row_20	HPCA	HPCA	9969	3.240359001210891E-5	0.41995424	No	
row_21	STAC	STAC	12499	-0.008012448437511921	0.3010888	No	
row_22	STAC3	STAC3	14001	-0.01518614124506712	0.24551387	No	
row_23	CALM1	CALM1	15172	-0.023602349683642387	0.2190834	No	
