NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP3A5	CYP3A5	31	0.22678923606872559	0.27850103	Yes	
row_1	CYP1B1	CYP1B1	199	0.13759468495845795	0.43983403	Yes	
row_2	CPT1A	CPT1A	257	0.12516537308692932	0.59148383	Yes	
row_3	FMO2	FMO2	958	0.07372839003801346	0.64647526	Yes	
row_4	N6AMT1	N6AMT1	1907	0.05090615525841713	0.66050154	Yes	
row_5	ARL1	ARL1	3030	0.03590790927410126	0.64703876	No	
row_6	AS3MT	AS3MT	4355	0.023690907284617424	0.6080792	No	
row_7	CYP2W1	CYP2W1	5082	0.018817495554685593	0.59391266	No	
row_8	NFE2L2	NFE2L2	5781	0.014830626547336578	0.5762648	No	
row_9	CYP1A1	CYP1A1	8373	0.00490592559799552	0.44882226	No	
row_10	FMO1	FMO1	8501	0.004516948014497757	0.4478573	No	
row_11	CYP3A4	CYP3A4	8789	0.0035898161586374044	0.4375032	No	
row_12	CYP1A2	CYP1A2	13064	-0.010335704311728477	0.23004995	No	
row_13	CYP2A13	CYP2A13	14444	-0.018086249008774757	0.18133438	No	
row_14	TH	TH	17697	-0.06081176549196243	0.088880785	No	
