NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT46	IFT46	1023	0.07167746871709824	0.009649872	Yes	
row_1	IFT22	IFT22	1113	0.06922302395105362	0.06535097	Yes	
row_2	TRAF3IP1	TRAF3IP1	1163	0.06767033040523529	0.12176346	Yes	
row_3	CLUAP1	CLUAP1	1168	0.06756555289030075	0.18040642	Yes	
row_4	DYNC2LI1	DYNC2LI1	1461	0.05993133783340454	0.21754086	Yes	
row_5	GLI1	GLI1	1611	0.056572459638118744	0.2591277	Yes	
row_6	IFT52	IFT52	1766	0.05332577973604202	0.29762876	Yes	
row_7	DYNC2H1	DYNC2H1	1782	0.053071342408657074	0.34307978	Yes	
row_8	IFT43	IFT43	2478	0.042306333780288696	0.3440704	Yes	
row_9	KIFAP3	KIFAP3	2576	0.04106723144650459	0.37483516	Yes	
row_10	IFT57	IFT57	2724	0.03933015093207359	0.40150723	Yes	
row_11	ARMC9	ARMC9	2767	0.03877967596054077	0.4331172	Yes	
row_12	WDR19	WDR19	3440	0.031462859362363815	0.4258499	Yes	
row_13	WDR35	WDR35	3503	0.0309394970536232	0.44959924	Yes	
row_14	SMO	SMO	3753	0.028813885524868965	0.46184906	Yes	
row_15	KIF7	KIF7	3801	0.028416423127055168	0.48417473	Yes	
row_16	KIF3B	KIF3B	3825	0.02819967083632946	0.5075499	Yes	
row_17	IFT27	IFT27	4120	0.025658797472715378	0.51472986	Yes	
row_18	IFT81	IFT81	4201	0.02510484866797924	0.53246856	Yes	
row_19	SUFU	SUFU	4244	0.02468787133693695	0.55180466	Yes	
row_20	DYNLL1	DYNLL1	4470	0.023015981540083885	0.5602428	Yes	
row_21	DYNLRB1	DYNLRB1	4733	0.021140996366739273	0.5651388	Yes	
row_22	IFT172	IFT172	6614	0.011125716380774975	0.47783202	No	
row_23	IFT122	IFT122	6638	0.011030389927327633	0.48625278	No	
row_24	IFT80	IFT80	7293	0.008441719226539135	0.45986286	No	
row_25	RP1	RP1	8769	0.0036505842581391335	0.38694096	No	
row_26	IFT74	IFT74	9618	0.0010952189331874251	0.34414294	No	
row_27	IFT140	IFT140	9626	0.0010638139210641384	0.34470838	No	
row_28	CDKL5	CDKL5	9878	3.055931010749191E-4	0.3320244	No	
row_29	GLI2	GLI2	10161	-4.847077652812004E-4	0.317897	No	
row_30	KIF3A	KIF3A	10194	-5.720267072319984E-4	0.3167442	No	
row_31	KIF3C	KIF3C	10381	-0.0011466044234111905	0.30814636	No	
row_32	SPEF1	SPEF1	10761	-0.002343019237741828	0.29063287	No	
row_33	IFT88	IFT88	11204	-0.003782205982133746	0.27112252	No	
row_34	TTC21B	TTC21B	12869	-0.009499052539467812	0.1935433	No	
row_35	CYLD	CYLD	13069	-0.010359250009059906	0.1922989	No	
row_36	DYNLRB2	DYNLRB2	14057	-0.015512367710471153	0.15488657	No	
row_37	ULK3	ULK3	14559	-0.018955716863274574	0.14554821	No	
row_38	DYNLL2	DYNLL2	15683	-0.028477372601628304	0.11241154	No	
row_39	IFT20	IFT20	16383	-0.035957466810941696	0.10766596	No	
row_40	GLI3	GLI3	17539	-0.05634630471467972	0.09715201	No	
