NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GRIA3	GRIA3	83	0.1788523644208908	0.25045645	Yes	
row_1	CBLN1	CBLN1	228	0.13059651851654053	0.4290399	Yes	
row_2	ATP2B3	ATP2B3	398	0.10635823011398315	0.5718131	Yes	
row_3	STXBP1	STXBP1	1269	0.0648745745420456	0.6193758	Yes	
row_4	CNTN6	CNTN6	3787	0.028492849320173264	0.5302418	No	
row_5	SLC16A7	SLC16A7	4752	0.021052198484539986	0.5105453	No	
row_6	SLC6A9	SLC6A9	5734	0.01505518052726984	0.48143137	No	
row_7	GPM6A	GPM6A	5761	0.014925736002624035	0.5013497	No	
row_8	SPTBN2	SPTBN2	6327	0.01226771343499422	0.48970452	No	
row_9	KCNJ9	KCNJ9	7536	0.007618852891027927	0.43830064	No	
row_10	ATP2B2	ATP2B2	7673	0.007182180881500244	0.4415211	No	
row_11	UNC13C	UNC13C	8624	0.004109426401555538	0.3984151	No	
row_12	GRID2IP	GRID2IP	8832	0.0034697786904871464	0.39268908	No	
row_13	SCN8A	SCN8A	8915	0.00323550240136683	0.39307135	No	
row_14	GRID2	GRID2	9105	0.002670892048627138	0.38713518	No	
row_15	P2RX6	P2RX6	10586	-0.0017515196232125163	0.31335688	No	
row_16	KCNJ3	KCNJ3	12610	-0.008432440459728241	0.22111009	No	
row_17	PPP3R1	PPP3R1	16198	-0.03371354937553406	0.08426848	No	
row_18	CALB2	CALB2	17578	-0.05745495855808258	0.095031984	No	
