NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLEC4D	CLEC4D	583	0.09225568175315857	-0.003710726	No	
row_1	CYSTM1	CYSTM1	1803	0.05265909805893898	-0.05161914	No	
row_2	TSPAN14	TSPAN14	2109	0.04765469953417778	-0.053734902	No	
row_3	PLD1	PLD1	2149	0.04697927460074425	-0.042300105	No	
row_4	FPR2	FPR2	3369	0.032243117690086365	-0.096053496	No	
row_5	CD59	CD59	3707	0.029187310487031937	-0.105109766	No	
row_6	HGSNAT	HGSNAT	4060	0.026264099404215813	-0.11577796	No	
row_7	FCAR	FCAR	4170	0.025314543396234512	-0.114162475	No	
row_8	SIGLEC5	SIGLEC5	4277	0.024385526776313782	-0.11265795	No	
row_9	STOM	STOM	4337	0.023850876837968826	-0.10887805	No	
row_10	DYNLL1	DYNLL1	4470	0.023015981540083885	-0.109109014	No	
row_11	ATP6AP2	ATP6AP2	4562	0.022384170442819595	-0.10740243	No	
row_12	LAMTOR2	LAMTOR2	4647	0.021786579862236977	-0.10550525	No	
row_13	CLEC12A	CLEC12A	4724	0.021207725629210472	-0.103360444	No	
row_14	CYBA	CYBA	5266	0.01766263134777546	-0.12625661	No	
row_15	MGAM	MGAM	5296	0.017468148842453957	-0.122753985	No	
row_16	LAMTOR3	LAMTOR3	5323	0.01729152724146843	-0.11914692	No	
row_17	TARM1	TARM1	5481	0.016418244689702988	-0.12255849	No	
row_18	SERPINB6	SERPINB6	5584	0.015838520601391792	-0.12329425	No	
row_19	RAP2C	RAP2C	6773	0.01051570475101471	-0.18166633	No	
row_20	ATP6V0C	ATP6V0C	7339	0.008256817236542702	-0.20849538	No	
row_21	SLC11A1	SLC11A1	7932	0.006329849362373352	-0.23727117	No	
row_22	COPB1	COPB1	8309	0.005090705119073391	-0.25524125	No	
row_23	KCNAB2	KCNAB2	10265	-8.131536887958646E-4	-0.35602117	No	
row_24	PTPRB	PTPRB	10384	-0.0011512929340824485	-0.36178848	No	
row_25	VAMP1	VAMP1	11065	-0.003326591569930315	-0.39597094	No	
row_26	RAP2B	RAP2B	11585	-0.004951800219714642	-0.42136943	No	
row_27	CLEC4C	CLEC4C	11765	-0.005528447218239307	-0.42903543	No	
row_28	SNAP23	SNAP23	11848	-0.0058068386279046535	-0.4316098	No	
row_29	CEACAM1	CEACAM1	12019	-0.006432392634451389	-0.43855196	No	
row_30	LAIR1	LAIR1	12278	-0.007231983356177807	-0.44981208	No	
row_31	PTAFR	PTAFR	12821	-0.009346705861389637	-0.47514072	No	
row_32	CD53	CD53	12988	-0.010006886906921864	-0.48085284	No	
row_33	NRAS	NRAS	13317	-0.011479786597192287	-0.49451366	No	
row_34	CEACAM8	CEACAM8	13347	-0.011609109118580818	-0.49268842	No	
row_35	SNAP25	SNAP25	13551	-0.012736925855278969	-0.4995307	No	
row_36	ATP11A	ATP11A	13978	-0.015040066093206406	-0.51723576	No	
row_37	UBR4	UBR4	15534	-0.02713315188884735	-0.5898129	No	
row_38	ANO6	ANO6	15692	-0.02851157821714878	-0.5897622	No	
row_39	TMC6	TMC6	16337	-0.03542423993349075	-0.61289525	No	
row_40	CD33	CD33	16491	-0.03746533393859863	-0.61007446	No	
row_41	ITGB2	ITGB2	16871	-0.04315502569079399	-0.61730194	Yes	
row_42	CD177	CD177	16900	-0.04354306682944298	-0.6062826	Yes	
row_43	GAA	GAA	16970	-0.04454585537314415	-0.59709454	Yes	
row_44	FRMPD3	FRMPD3	17051	-0.046075861901044846	-0.5880368	Yes	
row_45	ADAM10	ADAM10	17235	-0.04975908622145653	-0.58324647	Yes	
row_46	STBD1	STBD1	17457	-0.05459250509738922	-0.5790358	Yes	
row_47	FCER1G	FCER1G	17482	-0.05521639809012413	-0.5644677	Yes	
row_48	VAMP8	VAMP8	17507	-0.05580850690603256	-0.5497301	Yes	
row_49	ITGAM	ITGAM	17534	-0.056257303804159164	-0.5349674	Yes	
row_50	CD93	CD93	17630	-0.05885007232427597	-0.52302754	Yes	
row_51	LILRB2	LILRB2	17682	-0.06028182804584503	-0.5084043	Yes	
row_52	ITGAX	ITGAX	17715	-0.06138921529054642	-0.49248236	Yes	
row_53	LILRA3	LILRA3	17977	-0.0697815865278244	-0.4859899	Yes	
row_54	CYBB	CYBB	18287	-0.08286675065755844	-0.47823134	Yes	
row_55	ATP8B4	ATP8B4	18343	-0.0857347846031189	-0.45652777	Yes	
row_56	CD300A	CD300A	18347	-0.08594178408384323	-0.43207815	Yes	
row_57	NBEAL2	NBEAL2	18402	-0.08849384635686874	-0.40953302	Yes	
row_58	PLAU	PLAU	18411	-0.08910367637872696	-0.38443652	Yes	
row_59	GPR84	GPR84	18425	-0.08975391089916229	-0.35941222	Yes	
row_60	SIRPA	SIRPA	18452	-0.0910186693072319	-0.3346975	Yes	
row_61	RAB14	RAB14	18562	-0.09813492745161057	-0.31223398	Yes	
row_62	SLC2A3	SLC2A3	18854	-0.12070315331220627	-0.29271305	Yes	
row_63	TMEM63A	TMEM63A	18932	-0.12959127128124237	-0.25959036	Yes	
row_64	CLEC5A	CLEC5A	19080	-0.15294353663921356	-0.22339886	Yes	
row_65	MCEMP1	MCEMP1	19214	-0.18265728652477264	-0.17797714	Yes	
row_66	CD47	CD47	19302	-0.21076861023902893	-0.12213056	Yes	
row_67	OLR1	OLR1	19309	-0.21569187939167023	-0.06068928	Yes	
row_68	ADAM8	ADAM8	19337	-0.23219501972198486	0.004391697	Yes	
