NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A18	SLC25A18	21	0.24562129378318787	0.25786388	Yes	
row_1	SLC1A1	SLC1A1	217	0.13278169929981232	0.38779992	Yes	
row_2	UCP2	UCP2	244	0.12702059745788574	0.52037144	Yes	
row_3	SLC1A4	SLC1A4	839	0.07856489717960358	0.5725877	Yes	
row_4	SLC1A5	SLC1A5	1984	0.049651626497507095	0.56597906	Yes	
row_5	SLC1A3	SLC1A3	2272	0.045398373156785965	0.5990503	Yes	
row_6	SLC1A7	SLC1A7	2355	0.044287435710430145	0.64151454	Yes	
row_7	SLC17A8	SLC17A8	3193	0.033936455845832825	0.6341588	No	
row_8	SLC1A2	SLC1A2	4275	0.02440027706325054	0.6041755	No	
row_9	SLC25A12	SLC25A12	4391	0.023470750078558922	0.62299323	No	
row_10	SLC7A11	SLC7A11	5425	0.016789330169558525	0.5874596	No	
row_11	SLC17A6	SLC17A6	6749	0.010617287829518318	0.5304746	No	
row_12	SLC1A6	SLC1A6	8406	0.0048072501085698605	0.45020384	No	
row_13	SLC17A7	SLC17A7	10539	-0.0016229667235165834	0.34204626	No	
row_14	SLC25A22	SLC25A22	10590	-0.0017573059303686023	0.34132224	No	
row_15	SLC38A2	SLC38A2	14746	-0.020102625712752342	0.14839534	No	
row_16	SLC38A6	SLC38A6	15849	-0.02989792264997959	0.123125724	No	
row_17	SLC25A13	SLC25A13	17594	-0.05781422555446625	0.094202586	No	
