NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA1	ABCA1	4661	0.021667273715138435	-0.21114509	No	
row_1	LRP4	LRP4	5193	0.0181086678057909	-0.21424755	No	
row_2	PCSK9	PCSK9	6248	0.012648914940655231	-0.25161308	No	
row_3	PLG	PLG	6380	0.012088822200894356	-0.24216874	No	
row_4	TREM2	TREM2	9157	0.002540034241974354	-0.38180724	No	
row_5	LPA	LPA	10120	-3.704800910782069E-4	-0.43088067	No	
row_6	MTTP	MTTP	10393	-0.0011720347683876753	-0.44332615	No	
row_7	HSPD1	HSPD1	11289	-0.004049822222441435	-0.4840183	No	
row_8	LRP1	LRP1	12142	-0.00683246273547411	-0.51876706	No	
row_9	LIPC	LIPC	15030	-0.022346846759319305	-0.6375914	No	
row_10	VLDLR	VLDLR	18208	-0.07909717410802841	-0.69533485	Yes	
row_11	MAPT	MAPT	18254	-0.0809563472867012	-0.5892025	Yes	
row_12	LRP8	LRP8	18260	-0.08109153807163239	-0.48082805	Yes	
row_13	SCARB1	SCARB1	18611	-0.10116367787122726	-0.36334154	Yes	
row_14	LCAT	LCAT	18964	-0.13367097079753876	-0.20241055	Yes	
row_15	LPL	LPL	19149	-0.1686733216047287	0.014067082	Yes	
