NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP3A5	CYP3A5	31	0.22678923606872559	0.17094456	Yes	
row_1	CYP1B1	CYP1B1	199	0.13759468495845795	0.2670179	Yes	
row_2	CYP3A43	CYP3A43	267	0.1236288994550705	0.35762143	Yes	
row_3	CYP2C9	CYP2C9	314	0.11730456352233887	0.444496	Yes	
row_4	CYP4B1	CYP4B1	931	0.0748591274023056	0.46969184	Yes	
row_5	CYP2A7	CYP2A7	962	0.07358434796333313	0.5241287	Yes	
row_6	CYP2C8	CYP2C8	1017	0.07182340323925018	0.5759885	Yes	
row_7	CYP4A11	CYP4A11	1728	0.05412561818957329	0.58056396	Yes	
row_8	CYP3A7	CYP3A7	4315	0.024058710783720016	0.4655484	No	
row_9	CYP4Z1	CYP4Z1	5523	0.01617632620036602	0.41562933	No	
row_10	CYP2D7	CYP2D7	5877	0.01437290944159031	0.40836564	No	
row_11	CYP4F2	CYP4F2	6478	0.011666996404528618	0.38630936	No	
row_12	CYP4F8	CYP4F8	7488	0.007779748644679785	0.3402099	No	
row_13	CYP1A1	CYP1A1	8373	0.00490592559799552	0.2983683	No	
row_14	CYP3A4	CYP3A4	8789	0.0035898161586374044	0.2797044	No	
row_15	CYP4F11	CYP4F11	9717	7.82031798735261E-4	0.23250847	No	
row_16	CYP2F1	CYP2F1	10514	-0.0015606519300490618	0.19265854	No	
row_17	CYP2C18	CYP2C18	11401	-0.004430805798619986	0.15035236	No	
row_18	CYP26C1	CYP26C1	12047	-0.006526486482471228	0.12206519	No	
row_19	CYP4F12	CYP4F12	12792	-0.009202666580677032	0.09071019	No	
row_20	CYP1A2	CYP1A2	13064	-0.010335704311728477	0.08460243	No	
row_21	CYP2C19	CYP2C19	13885	-0.014482492581009865	0.053346224	No	
row_22	CYP2A13	CYP2A13	14444	-0.018086249008774757	0.038339026	No	
row_23	CYP2E1	CYP2E1	16745	-0.04108487069606781	-0.048978377	No	
row_24	CYP4F3	CYP4F3	16890	-0.043424054980278015	-0.023364902	No	
row_25	CYP19A1	CYP19A1	19277	-0.202218160033226	0.007475284	No	
