NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC25A18	SLC25A18	21	0.24562129378318787	0.2943308	Yes	
row_1	SLC1A1	SLC1A1	217	0.13278169929981232	0.44398218	Yes	
row_2	UCP2	UCP2	244	0.12702059745788574	0.5954123	Yes	
row_3	SLC1A4	SLC1A4	839	0.07856489717960358	0.6592977	Yes	
row_4	SLC1A5	SLC1A5	1984	0.049651626497507095	0.66006976	Yes	
row_5	SLC25A12	SLC25A12	4391	0.023470750078558922	0.5643289	No	
row_6	SLC16A1	SLC16A1	5139	0.0184338316321373	0.5480103	No	
row_7	SLC25A10	SLC25A10	5608	0.015700455754995346	0.54277974	No	
row_8	SLC1A6	SLC1A6	8406	0.0048072501085698605	0.40444568	No	
row_9	SLC25A22	SLC25A22	10590	-0.0017573059303686023	0.29407984	No	
row_10	SLC13A5	SLC13A5	13079	-0.010430779308080673	0.17843054	No	
row_11	SLC13A2	SLC13A2	14537	-0.01880386844277382	0.12597413	No	
row_12	SLC25A11	SLC25A11	14764	-0.020267851650714874	0.13870594	No	
row_13	SLC13A3	SLC13A3	15453	-0.02632448635995388	0.13491753	No	
row_14	SLC25A13	SLC25A13	17594	-0.05781422555446625	0.09418786	No	
