NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYLK3	MYLK3	11	0.27102938294410706	0.20374651	Yes	
row_1	PHKA1	PHKA1	336	0.114499032497406	0.27335718	Yes	
row_2	ITPKA	ITPKA	339	0.11428763717412949	0.359409	Yes	
row_3	CAMK1	CAMK1	744	0.08354665338993073	0.40156212	Yes	
row_4	CAMKK1	CAMKK1	818	0.07946754992008209	0.4577047	Yes	
row_5	CAMK1G	CAMK1G	918	0.07532447576522827	0.5093836	Yes	
row_6	CAMKK2	CAMKK2	1110	0.06928622722625732	0.5517677	Yes	
row_7	MAPKAPK2	MAPKAPK2	1456	0.06004379317164421	0.57924503	Yes	
row_8	CAMK2D	CAMK2D	1993	0.04946252703666687	0.5888989	Yes	
row_9	CAMK2A	CAMK2A	3448	0.0314147062599659	0.5376206	No	
row_10	PTK2B	PTK2B	4526	0.02266712673008442	0.49918398	No	
row_11	CAMKV	CAMKV	5447	0.016609128564596176	0.46427464	No	
row_12	MKNK2	MKNK2	6366	0.01214296743273735	0.42610162	No	
row_13	EEF2K	EEF2K	8207	0.005406394135206938	0.33531716	No	
row_14	MKNK1	MKNK1	8356	0.0049575683660805225	0.33142436	No	
row_15	MAPKAPK3	MAPKAPK3	8896	0.0032884967513382435	0.30611554	No	
row_16	PHKG1	PHKG1	9161	0.002522514434531331	0.29440677	No	
row_17	CAMK2B	CAMK2B	9210	0.002356932032853365	0.29370892	No	
row_18	CAMK4	CAMK4	9244	0.0022469256073236465	0.29370147	No	
row_19	CAMK1D	CAMK1D	10886	-0.0027128204237669706	0.21114579	No	
row_20	PHKG2	PHKG2	12570	-0.008260027505457401	0.13060656	No	
row_21	MAPKAPK5	MAPKAPK5	16699	-0.04029373824596405	-0.05183471	No	
row_22	CAMK2G	CAMK2G	16981	-0.04466770589351654	-0.032649048	No	
row_23	PHKA2	PHKA2	17503	-0.05576872080564499	-0.017468015	No	
row_24	MYLK2	MYLK2	17586	-0.05759255588054657	0.021720272	No	
row_25	DAPK1	DAPK1	18534	-0.09668055921792984	0.045780245	No	
