NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A5	SLC27A5	4431	0.023248646408319473	-0.21114688	No	
row_1	FABP2	FABP2	4980	0.019444122910499573	-0.22499642	No	
row_2	ABCD4	ABCD4	6253	0.012621486559510231	-0.28120777	No	
row_3	FABP1	FABP1	8171	0.005525263492017984	-0.3759122	No	
row_4	ABCD3	ABCD3	9813	5.06742624565959E-4	-0.4601073	No	
row_5	SLC27A4	SLC27A4	11031	-0.003192521631717682	-0.5204633	No	
row_6	ABCD2	ABCD2	11672	-0.005278298631310463	-0.5495393	No	
row_7	SLC22A9	SLC22A9	11839	-0.005775162018835545	-0.5538196	No	
row_8	SLC27A1	SLC27A1	13614	-0.013048107735812664	-0.63558614	No	
row_9	ABCD1	ABCD1	14731	-0.019987380132079124	-0.67830586	No	
row_10	SLC43A3	SLC43A3	15744	-0.028872357681393623	-0.70908946	No	
row_11	SLC5A8	SLC5A8	16898	-0.04353396221995354	-0.7362874	No	
row_12	SLC2A1	SLC2A1	18119	-0.07548391073942184	-0.74328965	Yes	
row_13	SLC27A6	SLC27A6	18660	-0.10427641123533249	-0.6939361	Yes	
row_14	MFSD2A	MFSD2A	18867	-0.12239852547645569	-0.61395603	Yes	
row_15	FABP5	FABP5	19077	-0.15258991718292236	-0.5117836	Yes	
row_16	CD36	CD36	19196	-0.17910997569561005	-0.38529196	Yes	
row_17	SLC27A2	SLC27A2	19287	-0.20574389398097992	-0.23764351	Yes	
row_18	FABP4	FABP4	19414	-0.3303934633731842	4.1225553E-4	Yes	
