NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASIP	ASIP	19	0.2501518130302429	0.029898655	No	
row_1	TRH	TRH	23	0.23990163207054138	0.059360698	No	
row_2	TTR	TTR	38	0.21711799502372742	0.08544012	No	
row_3	OXT	OXT	111	0.1652531623840332	0.10211193	No	
row_4	STC1	STC1	302	0.11896075308322906	0.10695591	No	
row_5	POMC	POMC	472	0.10039403289556503	0.110595554	No	
row_6	GAL	GAL	495	0.09861594438552856	0.12163069	No	
row_7	GNRH2	GNRH2	519	0.09576644748449326	0.13226223	No	
row_8	METRN	METRN	564	0.0931115597486496	0.14147815	No	
row_9	INHBB	INHBB	667	0.08745408058166504	0.14699106	No	
row_10	PMCH	PMCH	952	0.07404698431491852	0.14142068	No	
row_11	ADCYAP1	ADCYAP1	1336	0.06301677227020264	0.12936006	No	
row_12	EDN1	EDN1	1401	0.061457470059394836	0.13363203	No	
row_13	GUCA2A	GUCA2A	1590	0.05679388344287872	0.1309047	No	
row_14	RETN	RETN	2318	0.044726524502038956	0.098765895	No	
row_15	UCN2	UCN2	2582	0.040986720472574234	0.09020186	No	
row_16	UTS2	UTS2	2757	0.038934849202632904	0.08599495	No	
row_17	NPPA	NPPA	3123	0.03481084108352661	0.07138459	No	
row_18	UCN3	UCN3	4052	0.026322904974222183	0.026561387	No	
row_19	GPHA2	GPHA2	4172	0.02530863881111145	0.02352138	No	
row_20	VGF	VGF	4195	0.02514985017478466	0.025486637	No	
row_21	NMB	NMB	4597	0.022137772291898727	0.007446796	No	
row_22	BMP10	BMP10	4883	0.020182661712169647	-0.0048252987	No	
row_23	ENHO	ENHO	5008	0.019251776859164238	-0.008872078	No	
row_24	FBN1	FBN1	5012	0.01921490952372551	-0.0066552777	No	
row_25	PNOC	PNOC	5861	0.014489586465060711	-0.04879516	No	
row_26	HCRT	HCRT	5878	0.014363427646458149	-0.047850743	No	
row_27	ANGPTL8	ANGPTL8	5943	0.014058229513466358	-0.049430534	No	
row_28	INS	INS	6103	0.013327996246516705	-0.056021743	No	
row_29	INHBA	INHBA	6120	0.013278828002512455	-0.055211224	No	
row_30	CORT	CORT	6212	0.012878221459686756	-0.05833537	No	
row_31	SPX	SPX	6338	0.012232230976223946	-0.063300565	No	
row_32	COPA	COPA	6355	0.012164813466370106	-0.06262758	No	
row_33	PRLH	PRLH	6377	0.012105145491659641	-0.062220976	No	
row_34	KNG1	KNG1	6551	0.011389495804905891	-0.06977674	No	
row_35	AGT	AGT	6595	0.01121105719357729	-0.07062018	No	
row_36	GIP	GIP	6620	0.011095242574810982	-0.07049366	No	
row_37	GHRL	GHRL	6821	0.010374299250543118	-0.07957343	No	
row_38	TG	TG	6834	0.010279327630996704	-0.07892601	No	
