NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNRH2	GNRH2	519	0.09576644748449326	0.0032922733	No	
row_1	ADCYAP1	ADCYAP1	1336	0.06301677227020264	-0.019011917	No	
row_2	GNAO1	GNAO1	2037	0.04873121529817581	-0.039817512	No	
row_3	PTPN11	PTPN11	2203	0.0463482141494751	-0.03377953	No	
row_4	UCN2	UCN2	2582	0.040986720472574234	-0.040409427	No	
row_5	JAK1	JAK1	2803	0.038369178771972656	-0.039712377	No	
row_6	NPPA	NPPA	3123	0.03481084108352661	-0.045237917	No	
row_7	SOCS2	SOCS2	3912	0.02743191458284855	-0.077267244	No	
row_8	UCN3	UCN3	4052	0.026322904974222183	-0.0761738	No	
row_9	GPHA2	GPHA2	4172	0.02530863881111145	-0.07436725	No	
row_10	GNRH1	GNRH1	7210	0.008753505535423756	-0.22824688	No	
row_11	GPHB5	GPHB5	7843	0.0066277580335736275	-0.25876072	No	
row_12	JAK3	JAK3	8682	0.0039170878008008	-0.3007494	No	
row_13	PTH	PTH	8808	0.003536818316206336	-0.3060859	No	
row_14	GHRH	GHRH	8898	0.0032866671681404114	-0.30964428	No	
row_15	NPPC	NPPC	9608	0.001138946507126093	-0.34585205	No	
row_16	GNAS	GNAS	11450	-0.004582083784043789	-0.4393597	No	
row_17	JAK2	JAK2	11913	-0.006047338712960482	-0.4612883	No	
row_18	PSMC5	PSMC5	13677	-0.013346947729587555	-0.5480222	No	
row_19	UCN	UCN	14111	-0.015853064134716988	-0.5653774	No	
row_20	TYK2	TYK2	15158	-0.02348744124174118	-0.61195064	No	
row_21	VIP	VIP	16764	-0.04140681028366089	-0.6817287	No	
row_22	CRH	CRH	18385	-0.08736666291952133	-0.7378548	Yes	
row_23	PTHLH	PTHLH	18409	-0.08878205716609955	-0.71117455	Yes	
row_24	LEP	LEP	19172	-0.17543824017047882	-0.69540757	Yes	
row_25	CCK	CCK	19210	-0.18184180557727814	-0.64024025	Yes	
row_26	NPPB	NPPB	19288	-0.20584282279014587	-0.57960254	Yes	
row_27	GH2	GH2	19351	-0.24366095662117004	-0.50632113	Yes	
row_28	CSHL1	CSHL1	19408	-0.31488993763923645	-0.41037327	Yes	
row_29	GH1	GH1	19409	-0.3155275881290436	-0.3113372	Yes	
row_30	CSH1	CSH1	19411	-0.32520225644111633	-0.20931606	Yes	
row_31	FABP4	FABP4	19414	-0.3303934633731842	-0.10571712	Yes	
row_32	CSH2	CSH2	19415	-0.337963730096817	3.6108625E-4	Yes	
