NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC8	ABCC8	115	0.1639806181192398	0.21251291	Yes	
row_1	KCNH2	KCNH2	731	0.08422528952360153	0.29300508	Yes	
row_2	KCNJ16	KCNJ16	1366	0.06244715675711632	0.34350663	Yes	
row_3	KCNK6	KCNK6	1533	0.058255281299352646	0.41255158	Yes	
row_4	KCNJ10	KCNJ10	1862	0.051651205867528915	0.4644473	Yes	
row_5	KCNJ2	KCNJ2	1943	0.05038292706012726	0.527439	Yes	
row_6	KCNN2	KCNN2	2702	0.03954257071018219	0.5410362	Yes	
row_7	ABCC9	ABCC9	3379	0.03215353563427925	0.5490178	Yes	
row_8	KCNK1	KCNK1	3949	0.02718896046280861	0.55590224	Yes	
row_9	KCNE2	KCNE2	3999	0.02678370475769043	0.5890552	Yes	
row_10	KCNJ8	KCNJ8	5532	0.016124645248055458	0.5315538	No	
row_11	KCNJ15	KCNJ15	6984	0.009740229696035385	0.46972358	No	
row_12	KCNJ12	KCNJ12	7140	0.009080314077436924	0.4738287	No	
row_13	KCNJ9	KCNJ9	7536	0.007618852891027927	0.46361396	No	
row_14	KCNJ1	KCNJ1	8130	0.005685226526111364	0.44061562	No	
row_15	KCNH7	KCNH7	9594	0.0011855256743729115	0.36677083	No	
row_16	KCNN3	KCNN3	9797	5.599961150437593E-4	0.35710284	No	
row_17	KCNJ4	KCNJ4	10876	-0.002671671099960804	0.30508623	No	
row_18	KCNJ11	KCNJ11	11254	-0.003957305569201708	0.2909218	No	
row_19	KCNN1	KCNN1	11536	-0.004804210737347603	0.28283483	No	
row_20	KCNJ3	KCNJ3	12610	-0.008432440459728241	0.23875	No	
row_21	KCNH6	KCNH6	13365	-0.011717498302459717	0.21548711	No	
row_22	KCNJ13	KCNJ13	13468	-0.012384106405079365	0.22672567	No	
row_23	KCNJ14	KCNJ14	14078	-0.01561601273715496	0.21613145	No	
row_24	KCNJ6	KCNJ6	14230	-0.016601353883743286	0.2304617	No	
row_25	KCNJ5	KCNJ5	15623	-0.027893206104636192	0.1958551	No	
