NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCC4	ABCC4	988	0.07287203520536423	-0.018552117	No	
row_1	SLCO1B3	SLCO1B3	2648	0.040140219032764435	-0.08632599	No	
row_2	SLC51A	SLC51A	3004	0.036237817257642746	-0.08851391	No	
row_3	RBP4	RBP4	3188	0.03397848457098007	-0.08282797	No	
row_4	SLCO3A1	SLCO3A1	3939	0.027283262461423874	-0.109397665	No	
row_5	SLC22A1	SLC22A1	3951	0.027143092826008797	-0.09787604	No	
row_6	SLC27A5	SLC27A5	4431	0.023248646408319473	-0.11225133	No	
row_7	FABP2	FABP2	4980	0.019444122910499573	-0.13188355	No	
row_8	SLC10A7	SLC10A7	5309	0.017395155504345894	-0.14107001	No	
row_9	SLC22A8	SLC22A8	5571	0.015910055488348007	-0.1474588	No	
row_10	ABCD4	ABCD4	6253	0.012621486559510231	-0.17699647	No	
row_11	ABCG4	ABCG4	6722	0.010722464881837368	-0.196383	No	
row_12	ABCC11	ABCC11	7746	0.00693711219355464	-0.24610956	No	
row_13	SLCO1A2	SLCO1A2	7901	0.006417497526854277	-0.25120205	No	
row_14	SLCO2A1	SLCO2A1	7930	0.006333104334771633	-0.24982691	No	
row_15	SLC10A1	SLC10A1	7942	0.006307349074631929	-0.24758552	No	
row_16	SLC10A3	SLC10A3	8057	0.005933353677392006	-0.2508285	No	
row_17	FABP1	FABP1	8171	0.005525263492017984	-0.25420162	No	
row_18	SLC22A6	SLC22A6	8451	0.004677783697843552	-0.2665226	No	
row_19	AKR1C4	AKR1C4	8787	0.0035920559894293547	-0.28221837	No	
row_20	SLC22A2	SLC22A2	8795	0.0035738362930715084	-0.28098798	No	
row_21	SLC10A4	SLC10A4	8848	0.0034339474514126778	-0.2821432	No	
row_22	ABCD3	ABCD3	9813	5.06742624565959E-4	-0.33168775	No	
row_23	SLCO1B1	SLCO1B1	9977	1.6328325727954507E-5	-0.340096	No	
row_24	SLC10A5	SLC10A5	9984	-1.144393763752305E-6	-0.34040526	No	
row_25	SLCO1C1	SLCO1C1	10032	-1.4124832523521036E-4	-0.3427689	No	
row_26	SLCO2B1	SLCO2B1	10496	-0.0015018240083009005	-0.36600417	No	
row_27	ABCB11	ABCB11	10778	-0.0024106521159410477	-0.37943816	No	
row_28	SLC10A2	SLC10A2	10941	-0.0028892422560602427	-0.3865152	No	
row_29	SLC27A4	SLC27A4	11031	-0.003192521631717682	-0.3896882	No	
row_30	SLC51B	SLC51B	11479	-0.00466458685696125	-0.41068873	No	
row_31	ABCD2	ABCD2	11672	-0.005278298631310463	-0.4182505	No	
row_32	SLC22A9	SLC22A9	11839	-0.005775162018835545	-0.42424864	No	
row_33	CEACAM1	CEACAM1	12019	-0.006432392634451389	-0.43062523	No	
row_34	SLC22A7	SLC22A7	12173	-0.006934764329344034	-0.4354357	No	
row_35	SLCO1B7	SLCO1B7	13558	-0.012765870429575443	-0.5012042	No	
row_36	SLC27A1	SLC27A1	13614	-0.013048107735812664	-0.49823213	No	
row_37	SLCO4A1	SLCO4A1	14401	-0.017786933109164238	-0.5308901	No	
row_38	SLC10A6	SLC10A6	14720	-0.019927924498915672	-0.5384322	No	
row_39	ABCD1	ABCD1	14731	-0.019987380132079124	-0.5300461	No	
row_40	SLC43A3	SLC43A3	15744	-0.028872357681393623	-0.5694348	No	
row_41	ABCG1	ABCG1	16594	-0.03871968388557434	-0.59602195	No	
row_42	SLC5A8	SLC5A8	16898	-0.04353396221995354	-0.5922755	No	
row_43	ABCA4	ABCA4	18076	-0.07395612448453903	-0.6201026	Yes	
row_44	SLC2A1	SLC2A1	18119	-0.07548391073942184	-0.58865047	Yes	
row_45	STRA6	STRA6	18345	-0.08587880432605743	-0.5620165	Yes	
row_46	SLC27A6	SLC27A6	18660	-0.10427641123533249	-0.5317832	Yes	
row_47	ABCA12	ABCA12	18833	-0.11780466884374619	-0.48819318	Yes	
row_48	MFSD2A	MFSD2A	18867	-0.12239852547645569	-0.43538058	Yes	
row_49	FABP5	FABP5	19077	-0.15258991718292236	-0.37820742	Yes	
row_50	SLC22A11	SLC22A11	19165	-0.17342022061347961	-0.3054577	Yes	
row_51	CD36	CD36	19196	-0.17910997569561005	-0.22723094	Yes	
row_52	SLC27A2	SLC27A2	19287	-0.20574389398097992	-0.14023915	Yes	
row_53	FABP4	FABP4	19414	-0.3303934633731842	4.1296685E-4	Yes	
