NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRP1B	LRP1B	322	0.11652649939060211	0.050966445	No	
row_1	LRP12	LRP12	2258	0.04555739462375641	-0.022336708	No	
row_2	STAB1	STAB1	3785	0.028499580919742584	-0.08445265	No	
row_3	LRP10	LRP10	5126	0.01848374679684639	-0.14279045	No	
row_4	LRP6	LRP6	5283	0.01753494329750538	-0.14066315	No	
row_5	LDLR	LDLR	10312	-9.457993437536061E-4	-0.39922327	No	
row_6	LRP1	LRP1	12142	-0.00683246273547411	-0.48951596	No	
row_7	APOBR	APOBR	17950	-0.06878514587879181	-0.74888825	Yes	
row_8	SORL1	SORL1	18025	-0.07180850952863693	-0.71106833	Yes	
row_9	VLDLR	VLDLR	18208	-0.07909717410802841	-0.67458814	Yes	
row_10	LRP8	LRP8	18260	-0.08109153807163239	-0.63020086	Yes	
row_11	CXCL16	CXCL16	18303	-0.08365678787231445	-0.5838624	Yes	
row_12	SCARB1	SCARB1	18611	-0.10116367787122726	-0.5410301	Yes	
row_13	ILDR1	ILDR1	19057	-0.14896145462989807	-0.477597	Yes	
row_14	CD36	CD36	19196	-0.17910997569561005	-0.3808636	Yes	
row_15	LRP2	LRP2	19266	-0.1985355168581009	-0.26931185	Yes	
row_16	OLR1	OLR1	19309	-0.21569187939167023	-0.14642172	Yes	
row_17	STAB2	STAB2	19376	-0.2625007927417755	0.0023706493	Yes	
