NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC27A5	SLC27A5	4431	0.023248646408319473	-0.21005464	No	
row_1	FABP2	FABP2	4980	0.019444122910499573	-0.2230158	No	
row_2	ABCD4	ABCD4	6253	0.012621486559510231	-0.27864322	No	
row_3	FABP1	FABP1	8171	0.005525263492017984	-0.37308115	No	
row_4	ABCD3	ABCD3	9813	5.06742624565959E-4	-0.45724016	No	
row_5	SLC27A4	SLC27A4	11031	-0.003192521631717682	-0.51744133	No	
row_6	ABCD2	ABCD2	11672	-0.005278298631310463	-0.5462723	No	
row_7	SLC27A1	SLC27A1	13614	-0.013048107735812664	-0.63603663	No	
row_8	ABCD1	ABCD1	14731	-0.019987380132079124	-0.6778388	No	
row_9	SLC2A1	SLC2A1	18119	-0.07548391073942184	-0.7930603	Yes	
row_10	SLC27A6	SLC27A6	18660	-0.10427641123533249	-0.7389617	Yes	
row_11	MFSD2A	MFSD2A	18867	-0.12239852547645569	-0.6534153	Yes	
row_12	FABP5	FABP5	19077	-0.15258991718292236	-0.544304	Yes	
row_13	CD36	CD36	19196	-0.17910997569561005	-0.40966842	Yes	
row_14	SLC27A2	SLC27A2	19287	-0.20574389398097992	-0.25266543	Yes	
row_15	FABP4	FABP4	19414	-0.3303934633731842	4.12153E-4	Yes	
