NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CRYBB2	CRYBB2	171	0.14654813706874847	0.18080139	Yes	
row_1	CRYGN	CRYGN	211	0.13430820405483246	0.35256958	Yes	
row_2	HSPB6	HSPB6	391	0.10729214549064636	0.48216617	Yes	
row_3	CRYBG3	CRYBG3	599	0.09148654341697693	0.589869	Yes	
row_4	HSPB2	HSPB2	725	0.08443635702133179	0.69267637	Yes	
row_5	CRYAB	CRYAB	2086	0.04787958413362503	0.6845272	No	
row_6	VIM	VIM	4491	0.02292001247406006	0.5902718	No	
row_7	CRYBA1	CRYBA1	5860	0.014493478462100029	0.53851277	No	
row_8	CRYBA4	CRYBA4	6166	0.01310360711067915	0.53974634	No	
row_9	CRYBA2	CRYBA2	6302	0.012414831668138504	0.54885125	No	
row_10	CRYBB3	CRYBB3	7589	0.007437165826559067	0.49218878	No	
row_11	CRYGD	CRYGD	7609	0.007389964070171118	0.50077116	No	
row_12	CRYAA	CRYAA	9669	9.418337140232325E-4	0.3958612	No	
row_13	CRYGB	CRYGB	9885	2.953911025542766E-4	0.38516152	No	
row_14	BFSP2	BFSP2	10170	-5.047192680649459E-4	0.37117615	No	
row_15	CRYBB1	CRYBB1	10682	-0.00208831368945539	0.3475393	No	
row_16	LIM2	LIM2	10690	-0.002113447990268469	0.34991306	No	
row_17	MIP	MIP	11157	-0.003583672223612666	0.3305305	No	
row_18	CRYGC	CRYGC	13007	-0.010081667453050613	0.24827059	No	
row_19	CRYGS	CRYGS	13724	-0.013584645465016365	0.22894214	No	
row_20	CRYGA	CRYGA	14059	-0.01552632823586464	0.23181571	No	
row_21	BFSP1	BFSP1	16267	-0.034440476447343826	0.16262046	No	
