NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS	GOMF_STRUCTURAL_CONSTITUENT_OF_EYE_LENS	Details ...	22	0.69267637	1.8555171	0.0022779044	1.0	0.715	725	tags=23%, list=4%, signal=24%	
GOCC_CILIARY_TIP	GOCC_CILIARY_TIP	Details ...	41	0.5651388	1.769057	0.002631579	1.0	0.985	4733	tags=54%, list=24%, signal=71%	
GOBP_CELL_JUNCTION_DISASSEMBLY	GOBP_CELL_JUNCTION_DISASSEMBLY	Details ...	27	0.5925666	1.6935599	0.012048192	1.0	1.0	672	tags=26%, list=3%, signal=27%	
GOBP_MITOCHONDRIAL_TRANSLATION	GOBP_MITOCHONDRIAL_TRANSLATION	Details ...	126	0.45444894	1.6737889	0.0	1.0	1.0	6109	tags=52%, list=31%, signal=75%	
GOMF_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_ACIDIC_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	18	0.64151454	1.6633852	0.020547945	1.0	1.0	2355	tags=39%, list=12%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	Details ...	43	0.5352785	1.6560222	0.002570694	1.0	1.0	2167	tags=26%, list=11%, signal=29%	
GOBP_REGULATION_OF_ICOSANOID_SECRETION	GOBP_REGULATION_OF_ICOSANOID_SECRETION	Details ...	20	0.6286595	1.6505855	0.011261261	1.0	1.0	1728	tags=30%, list=9%, signal=33%	
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	Details ...	50	0.5174225	1.6497941	0.0	1.0	1.0	2508	tags=22%, list=13%, signal=25%	
GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GOBP_REGULATION_OF_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	Details ...	24	0.60175127	1.6487138	0.012106538	1.0	1.0	4972	tags=50%, list=26%, signal=67%	
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_TRANSPORT	Details ...	22	0.6071169	1.6456329	0.0070921984	1.0	1.0	1728	tags=27%, list=9%, signal=30%	
GOMF_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	GOMF_CALMODULIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	Details ...	26	0.5888989	1.6438271	0.011415525	1.0	1.0	1993	tags=35%, list=10%, signal=39%	
GOMF_AROMATASE_ACTIVITY	GOMF_AROMATASE_ACTIVITY	Details ...	26	0.58056396	1.6369699	0.016746411	1.0	1.0	1728	tags=31%, list=9%, signal=34%	
GOBP_TOXIN_METABOLIC_PROCESS	GOBP_TOXIN_METABOLIC_PROCESS	Details ...	15	0.66050154	1.6233287	0.027088037	1.0	1.0	1907	tags=33%, list=10%, signal=37%	
GOMF_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	GOMF_INWARD_RECTIFIER_POTASSIUM_CHANNEL_ACTIVITY	Details ...	26	0.5890552	1.6227877	0.0051282053	1.0	1.0	3999	tags=38%, list=21%, signal=48%	
GOBP_NADPH_REGENERATION	GOBP_NADPH_REGENERATION	Details ...	22	0.60402685	1.6179075	0.025	1.0	1.0	2384	tags=41%, list=12%, signal=47%	
