NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOMF_HORMONE_RECEPTOR_BINDING	GOMF_HORMONE_RECEPTOR_BINDING	Details ...	33	-0.76527697	-2.1149864	0.0	0.0020967983	0.002	1039	tags=33%, list=5%, signal=35%	
GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	Details ...	19	-0.8088311	-2.0366144	0.0	0.008358204	0.016	2011	tags=47%, list=10%, signal=53%	
GOBP_GAS_TRANSPORT	GOBP_GAS_TRANSPORT	Details ...	22	-0.80173314	-2.0355673	0.0	0.005930405	0.017	2164	tags=59%, list=11%, signal=66%	
GOMF_LONG_CHAIN_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_LONG_CHAIN_FATTY_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	16	-0.85236347	-2.0161095	0.0	0.008633028	0.033	1305	tags=44%, list=7%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	Details ...	53	-0.6682901	-2.0059025	0.0	0.008591935	0.04	2287	tags=36%, list=12%, signal=41%	
GOBP_OXYGEN_TRANSPORT	GOBP_OXYGEN_TRANSPORT	Details ...	15	-0.8512086	-1.9789064	0.0	0.012239049	0.068	2164	tags=80%, list=11%, signal=90%	
GOMF_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	GOMF_LIPID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	Details ...	54	-0.6530427	-1.9738199	0.0	0.011687719	0.074	1348	tags=20%, list=7%, signal=22%	
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN	Details ...	62	-0.6402065	-1.956714	0.0	0.015227572	0.109	2452	tags=34%, list=13%, signal=39%	
GOCC_TERTIARY_GRANULE_MEMBRANE	GOCC_TERTIARY_GRANULE_MEMBRANE	Details ...	69	-0.629657	-1.9556522	0.0	0.014003552	0.113	2553	tags=41%, list=13%, signal=47%	
GOBP_MESENCHYME_MORPHOGENESIS	GOBP_MESENCHYME_MORPHOGENESIS	Details ...	60	-0.6491087	-1.9534032	0.0	0.01354842	0.121	1928	tags=37%, list=10%, signal=41%	
