NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTA1	GSTA1	44	0.2110772281885147	0.14272188	Yes	
row_1	GSTT2	GSTT2	82	0.18145033717155457	0.26545373	Yes	
row_2	CYP1B1	CYP1B1	199	0.13759468495845795	0.35398877	Yes	
row_3	GSTT2B	GSTT2B	601	0.09141787141561508	0.39611402	Yes	
row_4	MGST1	MGST1	649	0.08836113661527634	0.454387	Yes	
row_5	GSTA4	GSTA4	4300	0.02418893203139305	0.2828582	No	
row_6	GSTO2	GSTO2	4342	0.023804185912013054	0.29709598	No	
row_7	GSTA2	GSTA2	5237	0.01783413626253605	0.26326385	No	
row_8	GSTO1	GSTO1	6972	0.009788455441594124	0.18060616	No	
row_9	ARNT	ARNT	7065	0.009430753998458385	0.18234192	No	
row_10	CYP1A1	CYP1A1	8373	0.00490592559799552	0.118340686	No	
row_11	GSTM4	GSTM4	13339	-0.011562761850655079	-0.12964463	No	
row_12	MGST2	MGST2	13568	-0.012820705771446228	-0.1325906	No	
row_13	GSTP1	GSTP1	13761	-0.013795655220746994	-0.1330112	No	
row_14	GSTM2	GSTM2	14467	-0.01820865459740162	-0.15684381	No	
row_15	GSTM3	GSTM3	14716	-0.019904915243387222	-0.15595454	No	
row_16	MGST3	MGST3	15887	-0.03029540739953518	-0.19545376	No	
row_17	GSTM5	GSTM5	16121	-0.0327482745051384	-0.18496913	No	
row_18	GSTA5	GSTA5	17026	-0.045477207750082016	-0.20032856	No	
row_19	GSTT1	GSTT1	17983	-0.06998614966869354	-0.20153311	No	
row_20	AHR	AHR	17986	-0.07009929418563843	-0.15348467	No	
row_21	GSTA3	GSTA3	18752	-0.11115040630102158	-0.11656794	No	
row_22	GSTM1	GSTM1	19318	-0.2199031263589859	0.0053608124	No	
