NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCT6B	CCT6B	401	0.10628434270620346	0.23269235	Yes	
row_1	NAF1	NAF1	2439	0.04286608844995499	0.2298972	Yes	
row_2	TCP1	TCP1	2465	0.0425536073744297	0.33004713	Yes	
row_3	CCT4	CCT4	3197	0.03389618173241615	0.3731754	Yes	
row_4	NHP2	NHP2	4583	0.02224072813987732	0.35481533	Yes	
row_5	CCT5	CCT5	4665	0.021647686138749123	0.4022442	Yes	
row_6	NOP10	NOP10	5350	0.017131168395280838	0.40783063	Yes	
row_7	TERC	TERC	5744	0.015010083094239235	0.42335775	Yes	
row_8	TERT	TERT	5795	0.014791183173656464	0.45603988	Yes	
row_9	CCT7	CCT7	7114	0.009191464632749557	0.41002613	No	
row_10	RUVBL1	RUVBL1	9052	0.0028111350256949663	0.3169025	No	
row_11	RUVBL2	RUVBL2	9226	0.0023100527469068766	0.31349343	No	
row_12	CCT6A	CCT6A	10494	-0.0014977114042267203	0.25176784	No	
row_13	CCT2	CCT2	12519	-0.00807641539722681	0.16671182	No	
row_14	CCT8	CCT8	12998	-0.010045686736702919	0.1660244	No	
row_15	DKC1	DKC1	13564	-0.012791477143764496	0.16739874	No	
row_16	GAR1	GAR1	13695	-0.013408216647803783	0.19266129	No	
row_17	CCT3	CCT3	14042	-0.01544124074280262	0.21163839	No	
row_18	WRAP53	WRAP53	15573	-0.027507785707712173	0.1983611	No	
