NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP1LC3C	MAP1LC3C	47	0.209865540266037	0.34450832	Yes	
row_1	RAB7B	RAB7B	690	0.08581952005624771	0.45329627	Yes	
row_2	MAP1LC3A	MAP1LC3A	1750	0.053643401712179184	0.4874066	Yes	
row_3	VPS16	VPS16	2261	0.045551322400569916	0.53642863	Yes	
row_4	PLEKHM1	PLEKHM1	3817	0.028276866301894188	0.5030476	No	
row_5	VPS33A	VPS33A	4165	0.025341706350445747	0.52706	No	
row_6	VPS11	VPS11	5375	0.01703243888914585	0.4929193	No	
row_7	VPS41	VPS41	7089	0.009279142133891582	0.41999158	No	
row_8	RAB7A	RAB7A	8293	0.005144044291228056	0.3665073	No	
row_9	MAP1LC3B	MAP1LC3B	8890	0.00330941379070282	0.34126753	No	
row_10	VPS18	VPS18	10723	-0.002210315316915512	0.2505225	No	
row_11	BIRC6	BIRC6	11741	-0.005479836370795965	0.20717746	No	
row_12	VPS39	VPS39	14094	-0.01575150340795517	0.112022996	No	
row_13	MAP1LC3B2	MAP1LC3B2	15098	-0.022982778027653694	0.0983336	No	
row_14	TECPR2	TECPR2	15226	-0.024085957556962967	0.13160622	No	
row_15	EPG5	EPG5	17312	-0.0511479526758194	0.10872378	No	
