NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNB2	CACNB2	231	0.1301782876253128	0.14324966	Yes	
row_1	CACNA1G	CACNA1G	261	0.12434118241071701	0.2899556	Yes	
row_2	CACNA2D4	CACNA2D4	365	0.11121415346860886	0.4172007	Yes	
row_3	CACNB3	CACNB3	1182	0.06704980134963989	0.45505047	Yes	
row_4	CACNA2D2	CACNA2D2	1522	0.05858976021409035	0.50740695	Yes	
row_5	CACNA1B	CACNA1B	1534	0.058231599628925323	0.5762455	Yes	
row_6	CACNA2D1	CACNA2D1	2714	0.03943103924393654	0.56246346	Yes	
row_7	CACNA1C	CACNA1C	3048	0.03574642539024353	0.58790255	Yes	
row_8	CACNA1D	CACNA1D	4967	0.019573576748371124	0.5123559	No	
row_9	CACNA1E	CACNA1E	5271	0.017651043832302094	0.5177738	No	
row_10	CACNG3	CACNG3	6453	0.011799604631960392	0.4709551	No	
row_11	CACNB4	CACNB4	7723	0.0070289247669279575	0.41391367	No	
row_12	CACNG1	CACNG1	7785	0.006817079149186611	0.41889423	No	
row_13	CACNG4	CACNG4	8396	0.004854065831750631	0.39323318	No	
row_14	CACNB1	CACNB1	8989	0.0030468469485640526	0.3663461	No	
row_15	CACNA1S	CACNA1S	9815	4.996609059162438E-4	0.32441148	No	
row_16	CACNG2	CACNG2	10178	-5.368957063183188E-4	0.3063897	No	
row_17	CACNG7	CACNG7	11405	-0.004441606346517801	0.24848118	No	
row_18	CACNG5	CACNG5	11597	-0.004999068100005388	0.24459314	No	
row_19	CACNA1I	CACNA1I	11605	-0.00504977535456419	0.25025105	No	
row_20	CACNA1A	CACNA1A	11711	-0.005381464492529631	0.25125223	No	
row_21	CACNG6	CACNG6	12223	-0.007082059048116207	0.23335035	No	
row_22	CACNA1F	CACNA1F	13267	-0.011236613616347313	0.19297472	No	
row_23	CACNA1H	CACNA1H	15881	-0.030245982110500336	0.09431997	No	
row_24	CACNA2D3	CACNA2D3	18077	-0.07397748529911041	0.06933695	No	
