NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNB2	CACNB2	231	0.1301782876253128	0.16655494	Yes	
row_1	CACNA2D4	CACNA2D4	365	0.11121415346860886	0.31216303	Yes	
row_2	CASQ1	CASQ1	378	0.10921969264745712	0.4612734	Yes	
row_3	CACNB3	CACNB3	1182	0.06704980134963989	0.5118042	Yes	
row_4	CACNA2D2	CACNA2D2	1522	0.05858976021409035	0.5746523	Yes	
row_5	ASPH	ASPH	2612	0.04062510281801224	0.57421684	Yes	
row_6	CACNA2D1	CACNA2D1	2714	0.03943103924393654	0.6230671	Yes	
row_7	CACNA1C	CACNA1C	3048	0.03574642539024353	0.65490854	Yes	
row_8	CACNG3	CACNG3	6453	0.011799604631960392	0.49563873	No	
row_9	CACNB4	CACNB4	7723	0.0070289247669279575	0.43986905	No	
row_10	CACNG1	CACNG1	7785	0.006817079149186611	0.44607052	No	
row_11	CACNG4	CACNG4	8396	0.004854065831750631	0.42128488	No	
row_12	RYR2	RYR2	8579	0.004265679512172937	0.41775224	No	
row_13	CACNB1	CACNB1	8989	0.0030468469485640526	0.40084884	No	
row_14	CASQ2	CASQ2	9098	0.002683148253709078	0.3989607	No	
row_15	CACNG2	CACNG2	10178	-5.368957063183188E-4	0.34408394	No	
row_16	CACNG7	CACNG7	11405	-0.004441606346517801	0.28698355	No	
row_17	CACNG5	CACNG5	11597	-0.004999068100005388	0.2839924	No	
row_18	TRDN	TRDN	11865	-0.005863037891685963	0.27826855	No	
row_19	CACNG6	CACNG6	12223	-0.007082059048116207	0.26957715	No	
row_20	CACNA2D3	CACNA2D3	18077	-0.07397748529911041	0.06932267	No	
