NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC7	CDC7	1462	0.05992604419589043	-0.031186102	No	
row_1	ORC3	ORC3	1927	0.05064190551638603	-0.017770695	No	
row_2	ORC4	ORC4	3011	0.03617030754685402	-0.046932887	No	
row_3	DBF4	DBF4	5102	0.018614662811160088	-0.14094733	No	
row_4	MCM6	MCM6	7380	0.008129907771945	-0.252331	No	
row_5	ORC5	ORC5	8041	0.005980229005217552	-0.28194463	No	
row_6	CCNE2	CCNE2	8506	0.004505010321736336	-0.3025422	No	
row_7	MTBP	MTBP	11459	-0.0046135359443724155	-0.45131382	No	
row_8	ORC6	ORC6	12034	-0.006475892383605242	-0.47612882	No	
row_9	ORC1	ORC1	13254	-0.011162113398313522	-0.5307382	No	
row_10	TICRR	TICRR	13856	-0.01432840432971716	-0.551156	No	
row_11	ORC2	ORC2	14034	-0.015374517068266869	-0.5489458	No	
row_12	CDC6	CDC6	16219	-0.0340271070599556	-0.6364435	No	
row_13	MCM3	MCM3	17338	-0.05191535875201225	-0.65580237	Yes	
row_14	MCM7	MCM7	17780	-0.0631566196680069	-0.63197523	Yes	
row_15	CCNE1	CCNE1	18389	-0.08767252415418625	-0.59868324	Yes	
row_16	MCM4	MCM4	18412	-0.08910652995109558	-0.5341263	Yes	
row_17	CCNA2	CCNA2	18501	-0.09396076947450638	-0.46939296	Yes	
row_18	CDC45	CDC45	18507	-0.09485790878534317	-0.3997197	Yes	
row_19	MCM5	MCM5	18529	-0.09647352248430252	-0.32968011	Yes	
row_20	CDT1	CDT1	18709	-0.10758853703737259	-0.2595911	Yes	
row_21	CDK2	CDK2	18739	-0.1099383607506752	-0.1800374	Yes	
row_22	CCNA1	CCNA1	18983	-0.135564386844635	-0.09262319	Yes	
row_23	MCM2	MCM2	19097	-0.15626510977745056	0.01675335	Yes	
