NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GINS1	GINS1	4578	0.022262848913669586	-0.20787117	No	
row_1	GINS3	GINS3	4802	0.020736241713166237	-0.1932389	No	
row_2	MCM6	MCM6	7380	0.008129907771945	-0.31579742	No	
row_3	UBB	UBB	8792	0.003580933902412653	-0.38399926	No	
row_4	PIF1	PIF1	9293	0.0020836112089455128	-0.40714082	No	
row_5	GINS4	GINS4	9352	0.001923279487527907	-0.40770674	No	
row_6	VCP	VCP	10777	-0.0024091436062008142	-0.47805476	No	
row_7	LRR1	LRR1	11778	-0.005567771382629871	-0.5225734	No	
row_8	CUL2	CUL2	13301	-0.011415060609579086	-0.5866258	No	
row_9	RBX1	RBX1	14887	-0.021261077374219894	-0.64152044	No	
row_10	NPLOC4	NPLOC4	15659	-0.028330421075224876	-0.6455609	No	
row_11	MCM3	MCM3	17338	-0.05191535875201225	-0.66662896	Yes	
row_12	MCM7	MCM7	17780	-0.0631566196680069	-0.6097884	Yes	
row_13	MCM4	MCM4	18412	-0.08910652995109558	-0.53004676	Yes	
row_14	CDC45	CDC45	18507	-0.09485790878534317	-0.415386	Yes	
row_15	MCM5	MCM5	18529	-0.09647352248430252	-0.29492795	Yes	
row_16	GINS2	GINS2	18788	-0.11428243666887283	-0.16424702	Yes	
row_17	MCM2	MCM2	19097	-0.15626510977745056	0.016748274	Yes	
