NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESR1	ESR1	179	0.14305517077445984	0.24053407	Yes	
row_1	ATF2	ATF2	999	0.07238633185625076	0.3246973	Yes	
row_2	MAPK1	MAPK1	1576	0.05696091055870056	0.39445496	Yes	
row_3	SRC	SRC	2690	0.039713870733976364	0.4064205	Yes	
row_4	MAP2K1	MAP2K1	3334	0.032542262226343155	0.4300919	Yes	
row_5	RAF1	RAF1	4819	0.020633479580283165	0.38962117	No	
row_6	CREB3L3	CREB3L3	6312	0.012355402112007141	0.33428532	No	
row_7	ATF6B	ATF6B	6420	0.011945676989853382	0.3496259	No	
row_8	MAP2K2	MAP2K2	6665	0.01093885488808155	0.35614678	No	
row_9	ESR2	ESR2	6666	0.010936900041997433	0.37524158	No	
row_10	MAPK3	MAPK3	6879	0.010098576545715332	0.3819449	No	
row_11	CREB3L1	CREB3L1	7672	0.007185410242527723	0.3536652	No	
row_12	KRAS	KRAS	8544	0.004399609286338091	0.3164496	No	
row_13	CREB3	CREB3	8961	0.0031097480095922947	0.30043563	No	
row_14	HRAS	HRAS	9520	0.0014151225332170725	0.27414343	No	
row_15	BRAF	BRAF	11253	-0.003953741397708654	0.19176793	No	
row_16	CREB3L4	CREB3L4	12949	-0.0098308390006423	0.12156052	No	
row_17	NRAS	NRAS	13317	-0.011479786597192287	0.12268562	No	
row_18	CREB1	CREB1	13668	-0.013293283991515636	0.12785321	No	
row_19	ARAF	ARAF	14110	-0.015848122537136078	0.13279058	No	
row_20	CREB3L2	CREB3L2	14811	-0.02062372677028179	0.1327152	No	
row_21	CREB5	CREB5	15440	-0.026208633556962013	0.14610186	No	
row_22	ATF4	ATF4	16206	-0.03385313227772713	0.16577326	No	
