NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADCY1	ADCY1	700	0.08539798110723495	0.02806673	No	
row_1	ATF2	ATF2	999	0.07238633185625076	0.06708495	No	
row_2	ADCY9	ADCY9	2249	0.045621421188116074	0.03696175	No	
row_3	PRKACB	PRKACB	2346	0.04443124309182167	0.065392695	No	
row_4	PRKACG	PRKACG	3126	0.03473879396915436	0.05132655	No	
row_5	ADCY2	ADCY2	4216	0.025012696161866188	0.013969806	No	
row_6	ADCY3	ADCY3	4245	0.02468721568584442	0.03107335	No	
row_7	GHRHR	GHRHR	5236	0.017836034297943115	-0.006570728	No	
row_8	CREB3L3	CREB3L3	6312	0.012355402112007141	-0.052714914	No	
row_9	ATF6B	ATF6B	6420	0.011945676989853382	-0.049257156	No	
row_10	CREB3L1	CREB3L1	7672	0.007185410242527723	-0.10836	No	
row_11	GHRH	GHRH	8898	0.0032866671681404114	-0.16905138	No	
row_12	CREB3	CREB3	8961	0.0031097480095922947	-0.16991176	No	
row_13	ADCY8	ADCY8	9830	4.481240757741034E-4	-0.21432889	No	
row_14	POU1F1	POU1F1	10985	-0.003015675814822316	-0.2715631	No	
row_15	ADCY5	ADCY5	11348	-0.004253776744008064	-0.28703192	No	
row_16	GNAS	GNAS	11450	-0.004582083784043789	-0.28879696	No	
row_17	PRKACA	PRKACA	12737	-0.008977348916232586	-0.34835815	No	
row_18	CREB3L4	CREB3L4	12949	-0.0098308390006423	-0.35185143	No	
row_19	CREB1	CREB1	13668	-0.013293283991515636	-0.3788842	No	
row_20	CREB3L2	CREB3L2	14811	-0.02062372677028179	-0.42227098	No	
row_21	CREB5	CREB5	15440	-0.026208633556962013	-0.43496025	No	
row_22	ATF4	ATF4	16206	-0.03385313227772713	-0.44896993	No	
row_23	ADCY4	ADCY4	16380	-0.03593509644269943	-0.43089214	No	
row_24	ADCY7	ADCY7	17914	-0.06740744411945343	-0.45929068	Yes	
row_25	ADCY6	ADCY6	19092	-0.15543478727340698	-0.4032001	Yes	
row_26	GH2	GH2	19351	-0.24366095662117004	-0.23344287	Yes	
row_27	GH1	GH1	19409	-0.3155275881290436	6.704188E-4	Yes	
