NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNA14	GNA14	233	0.1294938027858734	0.07486193	Yes	
row_1	ADRA1B	ADRA1B	241	0.12737011909484863	0.15996403	Yes	
row_2	BDKRB1	BDKRB1	357	0.11219645291566849	0.22931032	Yes	
row_3	ITPR1	ITPR1	371	0.11080218851566315	0.3029859	Yes	
row_4	AVPR1A	AVPR1A	617	0.09030162543058395	0.35093108	Yes	
row_5	EDNRB	EDNRB	911	0.07575991749763489	0.38664147	Yes	
row_6	EDNRA	EDNRA	2030	0.04880685359239578	0.3616839	Yes	
row_7	HTR2B	HTR2B	2595	0.04085865989327431	0.35998827	Yes	
row_8	TBXA2R	TBXA2R	2685	0.039750996977090836	0.3820668	Yes	
row_9	PTGER3	PTGER3	2827	0.038176096975803375	0.40040457	Yes	
row_10	GNAQ	GNAQ	3166	0.03428271412849426	0.4059617	Yes	
row_11	CYSLTR2	CYSLTR2	3389	0.03200214356184006	0.415976	Yes	
row_12	F2R	F2R	4588	0.022175127640366554	0.3690197	No	
row_13	CHRM1	CHRM1	4735	0.021124891936779022	0.3756583	No	
row_14	ITPR2	ITPR2	4895	0.020104072988033295	0.38094094	No	
row_15	PLCB3	PLCB3	5500	0.01629692316055298	0.36070013	No	
row_16	GNA11	GNA11	5983	0.013857079669833183	0.34511933	No	
row_17	PLCB4	PLCB4	6290	0.01247658021748066	0.33769655	No	
row_18	CCKAR	CCKAR	7091	0.00927085429430008	0.3026247	No	
row_19	TACR1	TACR1	7431	0.007965223863720894	0.29047155	No	
row_20	BDKRB2	BDKRB2	7825	0.006676528602838516	0.2746665	No	
row_21	ADRA1D	ADRA1D	8077	0.005862935911864042	0.26564494	No	
row_22	TACR2	TACR2	8343	0.00498813996091485	0.25531378	No	
row_23	GRPR	GRPR	8353	0.004977560602128506	0.2581891	No	
row_24	CCKBR	CCKBR	8741	0.003716034349054098	0.24070728	No	
row_25	TRHR	TRHR	9072	0.002764603588730097	0.22552915	No	
row_26	ADRA1A	ADRA1A	9814	5.034123896621168E-4	0.18761979	No	
row_27	TACR3	TACR3	9954	7.997855573194101E-5	0.1804989	No	
row_28	CHRM3	CHRM3	10131	-4.1136067011393607E-4	0.17169057	No	
row_29	HTR2A	HTR2A	11262	-0.003989058546721935	0.11604158	No	
row_30	CXCR4	CXCR4	11283	-0.004029240924865007	0.117712826	No	
row_31	CHRM2	CHRM2	12269	-0.007191792596131563	0.07169707	No	
row_32	LTB4R2	LTB4R2	12296	-0.007282251957803965	0.07524135	No	
row_33	ITPR3	ITPR3	12720	-0.008880571462213993	0.05936669	No	
row_34	PTAFR	PTAFR	12821	-0.009346705861389637	0.06047663	No	
row_35	HTR2C	HTR2C	13141	-0.010655918158590794	0.051161222	No	
row_36	AVPR1B	AVPR1B	13691	-0.013397365808486938	0.031813703	No	
row_37	HRH1	HRH1	13893	-0.014531650580465794	0.031189488	No	
row_38	OXTR	OXTR	14127	-0.015940099954605103	0.029858625	No	
row_39	CYSLTR1	CYSLTR1	14378	-0.01764141395688057	0.02879185	No	
row_40	NTSR1	NTSR1	14649	-0.019477827474474907	0.02792497	No	
row_41	LHCGR	LHCGR	15338	-0.02522280439734459	0.009337575	No	
row_42	AGTR1	AGTR1	15614	-0.027812227606773376	0.013804873	No	
row_43	PTGFR	PTGFR	15834	-0.02966955676674843	0.022408882	No	
row_44	GRM5	GRM5	16090	-0.03232850879430771	0.030938845	No	
row_45	PTGER1	PTGER1	16336	-0.035399340093135834	0.042045444	No	
row_46	PLCB2	PLCB2	16587	-0.038691531866788864	0.055102978	No	
row_47	GNA15	GNA15	17040	-0.04585103690624237	0.06253809	No	
row_48	PLCB1	PLCB1	18429	-0.08995525538921356	0.051254272	No	
