NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MPL	MPL	126	0.1614929884672165	0.10282143	No	
row_1	PRLR	PRLR	977	0.07311269640922546	0.10851248	No	
row_2	LEPR	LEPR	1642	0.055773571133613586	0.11205092	No	
row_3	EPOR	EPOR	2304	0.04494598135352135	0.1084148	No	
row_4	STAT3	STAT3	3039	0.03585353121161461	0.0948625	No	
row_5	PRL	PRL	7764	0.006896442733705044	-0.14388666	No	
row_6	CSF3	CSF3	9738	7.37696944270283E-4	-0.24505167	No	
row_7	EPO	EPO	10872	-0.002664585132151842	-0.301629	No	
row_8	JAK2	JAK2	11913	-0.006047338712960482	-0.35112453	No	
row_9	STAT5A	STAT5A	16144	-0.033021703362464905	-0.54673487	No	
row_10	STAT5B	STAT5B	17490	-0.05545641854405403	-0.5785015	Yes	
row_11	GHR	GHR	17540	-0.05636335164308548	-0.5428743	Yes	
row_12	LEP	LEP	19172	-0.17543824017047882	-0.5081627	Yes	
row_13	CSF3R	CSF3R	19301	-0.21033893525600433	-0.3723807	Yes	
row_14	GH2	GH2	19351	-0.24366095662117004	-0.20997246	Yes	
row_15	GH1	GH1	19409	-0.3155275881290436	6.697842E-4	Yes	
