NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	IL1B	96	0.17391660809516907	0.18000916	Yes	
row_1	IL1A	IL1A	121	0.16241909563541412	0.35150138	Yes	
row_2	MAPK10	MAPK10	347	0.11366862058639526	0.4607904	Yes	
row_3	MAP2K7	MAP2K7	1904	0.05096016824245453	0.43479988	Yes	
row_4	MYD88	MYD88	1932	0.0505363903939724	0.48715276	Yes	
row_5	MAP3K7	MAP3K7	3169	0.03423052653670311	0.45986122	Yes	
row_6	JUN	JUN	3267	0.033206675201654434	0.49017707	Yes	
row_7	TAB3	TAB3	5621	0.015645433217287064	0.38555822	No	
row_8	TRAF6	TRAF6	5994	0.013801648281514645	0.38106564	No	
row_9	TAB1	TAB1	7665	0.007225012872368097	0.302689	No	
row_10	IL1R1	IL1R1	12749	-0.009024357423186302	0.05034339	No	
row_11	IRAK1	IRAK1	12948	-0.009827070869505405	0.0505907	No	
row_12	FOS	FOS	14325	-0.01731434091925621	-0.0019054512	No	
row_13	IRAK4	IRAK4	15704	-0.02858348935842514	-0.042520188	No	
row_14	MAP2K4	MAP2K4	15930	-0.030720699578523636	-0.021444373	No	
row_15	MAPK8	MAPK8	16411	-0.036326825618743896	-0.007547515	No	
row_16	MAPK9	MAPK9	17869	-0.06589078158140182	-0.01255791	No	
row_17	IL1RAP	IL1RAP	18377	-0.0870138555765152	0.05385205	No	
