NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL1B	IL1B	96	0.17391660809516907	0.18931358	Yes	
row_1	MAPK14	MAPK14	100	0.17203496396541595	0.3813175	Yes	
row_2	IL1A	IL1A	121	0.16241909563541412	0.56170475	Yes	
row_3	MAPKAPK2	MAPKAPK2	1456	0.06004379317164421	0.560034	Yes	
row_4	MYD88	MYD88	1932	0.0505363903939724	0.5920061	Yes	
row_5	MAP3K7	MAP3K7	3169	0.03423052653670311	0.56655234	No	
row_6	ZFP36	ZFP36	3588	0.030154680833220482	0.5786957	No	
row_7	MAP2K3	MAP2K3	4249	0.02467694878578186	0.57225084	No	
row_8	TAB3	TAB3	5621	0.015645433217287064	0.5190818	No	
row_9	TRAF6	TRAF6	5994	0.013801648281514645	0.5153295	No	
row_10	TAB1	TAB1	7665	0.007225012872368097	0.43734822	No	
row_11	IL1R1	IL1R1	12749	-0.009024357423186302	0.18551238	No	
row_12	IRAK1	IRAK1	12948	-0.009827070869505405	0.18628645	No	
row_13	MAP2K6	MAP2K6	14159	-0.016142359003424644	0.1419684	No	
row_14	IRAK4	IRAK4	15704	-0.02858348935842514	0.09433648	No	
row_15	IL1RAP	IL1RAP	18377	-0.0870138555765152	0.05384637	No	
