NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADCY1	ADCY1	700	0.08539798110723495	0.048109412	No	
row_1	ADCY9	ADCY9	2249	0.045621421188116074	0.013314524	No	
row_2	PRKACB	PRKACB	2346	0.04443124309182167	0.052164815	No	
row_3	PRKACG	PRKACG	3126	0.03473879396915436	0.046267536	No	
row_4	ADCY2	ADCY2	4216	0.025012696161866188	0.014809383	No	
row_5	ADCY3	ADCY3	4245	0.02468721568584442	0.037701394	No	
row_6	ADCY8	ADCY8	9830	4.481240757741034E-4	-0.24958812	No	
row_7	ADCY5	ADCY5	11348	-0.004253776744008064	-0.32356274	No	
row_8	GNAS	GNAS	11450	-0.004582083784043789	-0.32425037	No	
row_9	PRKACA	PRKACA	12737	-0.008977348916232586	-0.38166595	No	
row_10	LHCGR	LHCGR	15338	-0.02522280439734459	-0.4907755	No	
row_11	ADCY4	ADCY4	16380	-0.03593509644269943	-0.5089938	No	
row_12	ADCY7	ADCY7	17914	-0.06740744411945343	-0.52154076	Yes	
row_13	ADCY6	ADCY6	19092	-0.15543478727340698	-0.42897314	Yes	
row_14	CGA	CGA	19268	-0.19992800056934357	-0.24091661	Yes	
row_15	LHB	LHB	19361	-0.25240352749824524	0.0031431392	Yes	
