NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBA3E	TUBA3E	1757	0.053425390273332596	-0.028778467	No	
row_1	TUBA3D	TUBA3D	2133	0.047220103442668915	0.006497264	No	
row_2	TUBB6	TUBB6	3275	0.03313666209578514	-0.013993058	No	
row_3	TUBA8	TUBA8	4742	0.021100463345646858	-0.06515246	No	
row_4	TUBA1A	TUBA1A	5185	0.01815858669579029	-0.06693568	No	
row_5	MAPRE3	MAPRE3	7985	0.006150748115032911	-0.20408665	No	
row_6	TUBB8	TUBB8	9243	0.0022486099041998386	-0.2662736	No	
row_7	TUBB	TUBB	10012	-7.682052091695368E-5	-0.30576828	No	
row_8	MAPRE1	MAPRE1	10774	-0.0023998881224542856	-0.34221593	No	
row_9	TUBA1B	TUBA1B	11339	-0.004230508115142584	-0.36639306	No	
row_10	TUBB4A	TUBB4A	12274	-0.007207843940705061	-0.40619755	No	
row_11	TUBA1C	TUBA1C	12722	-0.008888987824320793	-0.4189575	No	
row_12	TUBB4B	TUBB4B	13501	-0.012522940523922443	-0.44457537	No	
row_13	TUBA4A	TUBA4A	14389	-0.017715908586978912	-0.46980628	No	
row_14	TUBB3	TUBB3	15950	-0.03086906485259533	-0.5145145	No	
row_15	AURKA	AURKA	17116	-0.04733341187238693	-0.51982516	Yes	
row_16	TUBB2A	TUBB2A	18020	-0.0715578943490982	-0.48361978	Yes	
row_17	KIF2C	KIF2C	18109	-0.07501410692930222	-0.40141177	Yes	
row_18	TUBB2B	TUBB2B	18882	-0.12414263933897018	-0.2976474	Yes	
row_19	AURKB	AURKB	18889	-0.12464465200901031	-0.15382202	Yes	
row_20	TUBB1	TUBB1	19099	-0.15673424303531647	0.01664776	Yes	
