NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFAF2	NDUFAF2	1386	0.061869848519563675	0.0029837375	Yes	
row_1	NDUFS1	NDUFS1	1962	0.05002972483634949	0.03357196	Yes	
row_2	UQCRB	UQCRB	3180	0.034077756106853485	0.011798014	Yes	
row_3	COX16	COX16	3321	0.03261921927332878	0.04386834	Yes	
row_4	NDUFAF6	NDUFAF6	3367	0.03224692493677139	0.08039463	Yes	
row_5	NDUFC2	NDUFC2	3484	0.031111476942896843	0.111887544	Yes	
row_6	NDUFAF3	NDUFAF3	3529	0.030726319178938866	0.14663352	Yes	
row_7	NDUFA4	NDUFA4	3699	0.02926209196448326	0.17316218	Yes	
row_8	COX20	COX20	3786	0.0284954234957695	0.20305218	Yes	
row_9	NDUFV2	NDUFV2	4100	0.025816407054662704	0.2179955	Yes	
row_10	COX15	COX15	4176	0.025271393358707428	0.24456923	Yes	
row_11	SDHC	SDHC	4254	0.02460305206477642	0.27023453	Yes	
row_12	COX6B1	COX6B1	4425	0.023288223892450333	0.28951454	Yes	
row_13	COX11	COX11	4474	0.023001322522759438	0.31474733	Yes	
row_14	NDUFS4	NDUFS4	4949	0.019679700955748558	0.31398562	Yes	
row_15	NDUFS3	NDUFS3	4991	0.019349250942468643	0.33517995	Yes	
row_16	UQCRQ	UQCRQ	5554	0.016001209616661072	0.32544348	Yes	
row_17	COA3	COA3	5671	0.015361875295639038	0.33796203	Yes	
row_18	NDUFA8	NDUFA8	5726	0.015105441212654114	0.3533725	Yes	
row_19	NDUFA10	NDUFA10	5949	0.014042881317436695	0.35882965	Yes	
row_20	COA6	COA6	6668	0.010928917676210403	0.33492863	No	
row_21	COX10	COX10	6799	0.010434580966830254	0.34078828	No	
row_22	NDUFA13	NDUFA13	7269	0.008509322069585323	0.32682717	No	
row_23	NDUFAF1	NDUFAF1	7503	0.0077303028665483	0.32411134	No	
row_24	NDUFB3	NDUFB3	7630	0.007314323913305998	0.32641837	No	
row_25	NDUFAF5	NDUFAF5	7732	0.006979705300182104	0.3296129	No	
row_26	UQCRFS1	UQCRFS1	7868	0.006569557823240757	0.33055806	No	
row_27	CYC1	CYC1	7997	0.0061233993619680405	0.33132705	No	
row_28	COX5A	COX5A	8177	0.00551206199452281	0.32872662	No	
row_29	NDUFA1	NDUFA1	8427	0.004751971922814846	0.32159662	No	
row_30	NDUFS8	NDUFS8	8550	0.004369413014501333	0.32056227	No	
row_31	NDUFS6	NDUFS6	8609	0.0041600181721150875	0.32257974	No	
row_32	NDUFA12	NDUFA12	8620	0.0041227033361792564	0.3270303	No	
row_33	COX4I1	COX4I1	9887	2.9356087907217443E-4	0.26202518	No	
row_34	COX14	COX14	9993	-1.690006502030883E-5	0.2566248	No	
row_35	NDUFA11	NDUFA11	10127	-3.941986651625484E-4	0.2502334	No	
row_36	NDUFB10	NDUFB10	10234	-6.870569777674973E-4	0.24558875	No	
row_37	SDHD	SDHD	10374	-0.0011350024724379182	0.2397801	No	
row_38	COX8A	COX8A	10634	-0.0019207991426810622	0.22872299	No	
row_39	NDUFB8	NDUFB8	11024	-0.00316068553365767	0.21244822	No	
row_40	NDUFB11	NDUFB11	11522	-0.004773471038788557	0.19254082	No	
row_41	NDUFS7	NDUFS7	12030	-0.006461519747972488	0.17415084	No	
row_42	SDHB	SDHB	12213	-0.007056321483105421	0.17325597	No	
row_43	COX6A2	COX6A2	12423	-0.0077227321453392506	0.17177005	No	
row_44	SDHA	SDHA	12636	-0.008528788574039936	0.17110035	No	
row_45	NDUFB7	NDUFB7	12976	-0.009951677173376083	0.16558833	No	
row_46	NDUFA9	NDUFA9	13689	-0.013394049368798733	0.14496695	No	
row_47	UCP1	UCP1	13742	-0.01366982888430357	0.1587511	No	
row_48	NDUFV1	NDUFV1	13806	-0.014002053998410702	0.17236762	No	
row_49	UQCRC2	UQCRC2	14331	-0.01733430102467537	0.16619898	No	
row_50	NDUFAF4	NDUFAF4	14583	-0.01913030818104744	0.17628802	No	
row_51	COA5	COA5	15761	-0.029044490307569504	0.1505153	No	
row_52	NDUFS2	NDUFS2	16046	-0.03190422058105469	0.17429006	No	
