NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLE4	POLE4	3789	0.02848176844418049	-0.17298129	No	
row_1	GINS1	GINS1	4578	0.022262848913669586	-0.19610667	No	
row_2	GINS3	GINS3	4802	0.020736241713166237	-0.19129838	No	
row_3	RPA3	RPA3	5517	0.016197042539715767	-0.21537818	No	
row_4	RFC1	RFC1	6659	0.01094968430697918	-0.26560286	No	
row_5	RPA1	RPA1	6716	0.010758399032056332	-0.26002994	No	
row_6	WDHD1	WDHD1	6845	0.010210487060248852	-0.25860056	No	
row_7	MCM6	MCM6	7380	0.008129907771945	-0.2797428	No	
row_8	RPA2	RPA2	7513	0.007691791281104088	-0.28050044	No	
row_9	GINS4	GINS4	9352	0.001923279487527907	-0.3737644	No	
row_10	POLA2	POLA2	9923	1.7094248323701322E-4	-0.40302202	No	
row_11	PRIM1	PRIM1	10123	-3.8010385469533503E-4	-0.41298455	No	
row_12	PRIM2	PRIM2	12243	-0.007134221028536558	-0.5166403	No	
row_13	RFC5	RFC5	12964	-0.009889230132102966	-0.54599005	No	
row_14	PCNA	PCNA	14963	-0.021750299260020256	-0.6319122	No	
row_15	RFC2	RFC2	15580	-0.027544723823666573	-0.6420146	No	
row_16	POLE3	POLE3	16184	-0.033612508326768875	-0.64667493	No	
row_17	POLA1	POLA1	16870	-0.043140679597854614	-0.6480705	Yes	
row_18	MCM3	MCM3	17338	-0.05191535875201225	-0.63132435	Yes	
row_19	RFC3	RFC3	17440	-0.05414681136608124	-0.5939505	Yes	
row_20	RFC4	RFC4	17494	-0.055521994829177856	-0.5530201	Yes	
row_21	MCM7	MCM7	17780	-0.0631566196680069	-0.5180488	Yes	
row_22	MCM10	MCM10	17798	-0.06369578838348389	-0.46883413	Yes	
row_23	POLE	POLE	17909	-0.06727167963981628	-0.42160282	Yes	
row_24	POLE2	POLE2	18307	-0.08393518626689911	-0.37606624	Yes	
row_25	MCM4	MCM4	18412	-0.08910652995109558	-0.31135428	Yes	
row_26	CDC45	CDC45	18507	-0.09485790878534317	-0.2416037	Yes	
row_27	MCM5	MCM5	18529	-0.09647352248430252	-0.16681835	Yes	
row_28	GINS2	GINS2	18788	-0.11428243666887283	-0.09024869	Yes	
row_29	MCM2	MCM2	19097	-0.15626510977745056	0.01675852	Yes	
